44:7:001:1	Stephen Goots'ą' Giinkhii
44:7:017:0	“Gwehkįį ninghit dąį' gwanaa Vit'eegwijyąhchy'aa Abraham ts'ą' ginkhe', Egypt gwats'an cheenakhwahihłyaa nyąą chy'ah, ąįįt'ee juk nagwiindhat. Zhat Egypt gwizhit diitsii nąįį t'inchy'aa nihzhyaaneedijii gwandaa lęįį gilii. 
44:7:018:0	Ąįįtł'ęę Egypt gwizhit k'eedeegwaadhat choh k'eejit Pharaoh deek'it nineezhii, Joseph haandaii kwaa. 
44:7:019:0	Diitsii nąįį ininjigwaazhii ąįįts'ą' gwiizųų goots'ą' t'ii'in. Nijin googii tr'iinin tsal gwilik dąį', digizheh gwats'an cheegoogahahchik oo'ok zhyąą nigiheedhaa geenjit, googahtsii. 
44:7:020:0	Ąįį jyaa gwii'in gwizhit, Moses adan t'ee vagoodlit. Łyaa tr'iinin tsal gwinzii viyiichy'a' nilįį ts'ą' Vit'eegwijyąhchy'aa yeenjit shoo nilįį. Shree nan tik gwizhit gwizhrįh viyehghan nąįį nehshrit giik'aahtį'. 
44:7:021:0	Ąįįtł'ęę adan t'ee oo'ok zhyąą niheedhaa eenjit cheegiiyąhchįį. Izhik dąį' Pharaoh vichi' yagwąh'ąįį. Yuunjik ts'ą' dizheh gwits'ee yihiłchįį. Akhai' digii tsyaa dinky'ahkhit k'it dink'iyahthat. 
44:7:022:0	Egypt gwizhit dinjii goonzhįį nąįį googwizhi' datthak eeroołtin. Gwizhįh haa ginkhii ts'ą' k'eegwiichy'aa gwinlęįį gwinzii gwitr'it t'agwah'in. 
44:7:023:0	“Nijin 40 years dhidlit dąį', valak Jews nilįį nąįį nats'ąą gook'aantii li' geenjit gooveenihihshyaa, yiindhan. 
44:7:024:0	Izhik zhat valak ch'ihłak Egypt dinjii khaiinjich'iiyahthat, nah'in. Nijin yąąh'in dąį', yits'inyąą ts'ą' ąįį Egypt dinjii diłkhwąįį. 
44:7:025:0	Shalak nąįį gaageheendaii Vit'eegwijyąhchy'aa goots'ą' shihił'e' goots'ihįhjyaa ts'ą' Egypt gwats'an tr'ineegoohihłyaa eenjit, yiindhan. Gąą geedan jyąhts'ą' ninjich'agadhat kwaa. 
44:7:026:0	Gęhdaa drin chan valak neekwąįį nihłaaghwąįį, gwąąh'in. ‘Nihłagahaaghwaa kwaa gavoołtsyaa, nihlak nąįį ǫhłįį, jaghaii nihłooghwaii?’ gavahnyąą. 
44:7:027:0	Dinjii ch'ihłee gaiich'ahtsii, ąįį Moses an yąąhtrat. ‘Juu diineenjit k'eedeegwaadhat ts'ą' ch'oohahkat choh hinlyaa geenjit niłtsąįį?’ yahnyąą. 
44:7:028:0	‘K'ehdąį' Egypt dinjii dǫǫhkhwąįį gwik'it shįį chan shookhwaa niindhan lee t'iinyąą?’ Moses ahnyąą. 
44:7:029:0	Nijin Moses jyaa dinyąą yiitth'ak dąį', jii geenjit Egypt gihłeehilghaa. Midian nahkat gwats'ą' haazhii, ts'ą' zhat gwich'įį. Izhik zhat gwats'an tr'injaa oonjik ts'ą' vidinji' neekwąįį nąįį goodlit. 
44:7:030:0	“Zhat dąį' 40 years gitł'eegoodhat, tł'ęę gwats'an tr'ineezhii. Ąįįtł'ęę Ddhah Sinai geeghaih gwa'an nangwinjir gwa'an tr'ał daak'a', nah'in. Izhit zheekat gwich'in vats'ą' agweelkįį. 
44:7:031:0	Łyaa geegoolii kwaa veenjit t'igwiizhik, jyąhts'ą' gwahąąh'yaa łyaa, yiindhan kwaa. Gwats'ą' ninghyuk kwaa niinzhii, gwinzii gwahąąh'yaa eenjit. Izhik zhat gwats'an K'eegwaadhat yits'ą' ginkhii gwiitth'ak. 
44:7:032:0	“Shįį t'ee deenaa dąį' niti' nąįį Goovit'eegwijyąhchy'aa ihłįį. Abraham, Isaac, Jacob nąįį haa Goovit'eegwijyąhchy'aa ihłįį,” K'eegwaadhat yahnyąą. Moses naajat ts'ą' daatrat naanaii, ąįį tr'ał daak'a' nooł'ya', niindhan kwaa. 
44:7:033:0	‘Nakwaiitryaa zhit tr'iin'yaa, shahǫǫh'ęę gwik'eech'ahąhtyaa eenjit. Ąįį nan juk vakat nindhat, shroodiinyąą nilįį t'inchy'aa. Shįį dząą gwakat t'ihchy'aa, Vit'eegwijyąhchy'aa ihłįį geh'an. 
44:7:034:0	Nats'ahts'ą' shigii nąįį datthak Egypt gwizhit khaiinjich'igiijii, ąįį gwąął'in. Khagiitree chan giviihtth'ak ts'ą' khaiinjich'igiighit gwats'an tr'ineegoohihłyaa geenjit dzaa gwats'ą' hoiizhii. Juk aanaii, Egypt gwats'ą' nahał'aa eenjit.’ K'eegwaadhat yahnyąą. 
44:7:035:0	“Moses t'ee Israel dinjii nąįį gwehkįį dąį', an-giiyąąhtrat. ‘Juu k'eegwaadhat hinlyaa eenjit diineenjit niłtsąįį,’ giiyaiinyą' chy'ąh. Ąįįtł'ęę tr'ał daak'a' zhit zheekat gwich'in nah'ya', gwats'an k'eedeegwaadhat heelyaa geenjit Vit'eegwijyąhchy'aa goots'ą' neeyihił'e'. Gwehkįį dąį' giiyeet'iindhan kwaa googaa chan goots'eeyihił'e'. 
44:7:036:0	Egypt gwizhit Chųų Choh Daatsik oozhii deetaa neegiinjil ąįįts'ą' nijin nangwinjir gwa'an neegihiidal dąį', jii kwaii gwizhit łyaa gwigwee'in gwintsii gwitr'it t'agwah'ya'. 40 (years) neegwiidhat gąhkhyuk gwilii giinjil. 
44:7:037:0	‘Dinjii ch'ihłak nakhwatee gwats'an shik'it t'inchy'aa Vit'eegwijyąhchy'aa Eenjit Ginkhii heelyaa yeendaa ji', nakhwats'ą' nahahchyaa.’ Moses, Israel gwich'in nąįį jyaa ahnyąą. 
44:7:038:0	Nijin nangwinjir gwa'an datthak nihłaałigiiljil dąį', izhik zhat Moses zhrįh gavaa t'inchy'aa. Nijin zheekat gwich'in Sinai-Ddhah kat ginkhii dąį', Moses zhrįh ts'ą' ginkhe'. Izhik dąį' Moses diitsii nąįį haa t'inchy'aa. Izhik Vit'eegwijyąhchy'aa viginjik nats'ahts'ą' gwigweheendaii geenjit jyaa danakhwahnyąą. Ąįį Moses nakhweenjit vintł'eerinlii chy'ah. Ąįį juk tr'ii'įį. 
44:7:039:0	“Gąą diitsii nąįį dahnyąą gwik'it t'igii'in kwaa. Moses goots'ą' k'eedeegwaadhat giiyeet'iindhan kwaa. Egypt gwits'ee tr'ahoojyaa, ąįį gwizhrįh datthak giindhan. 
44:7:040:0	Nijin Moses Sinai-Ddhah kiit'ik dhidii gwiizhik Aaron ts'ą' giginkhii, ‘Adan ataiinjii ąhtsii nilįį eenjit. Moses, Egypt gwats'an dząą gwats'ą' nakhwats'įį niinzhii, ąįį juk deezhik vaagwiindaii kwaa ginyąą. Ch'ik'itiltsį' kwaii diivit'eegwijyąhchy'aa heelyaa ts'ą' tąįį gwinjik diits'ii giheehaa geenjit ąhtsii!’ jyaa Aaron agahnyąą. 
44:7:041:0	Izhik zhat dąį' larąą daatsik (gold) haa aak'ii viji' gwanlii giik'itiltsį' vit'eegwijyąhchy'aa gahaa'yaa gooveenjit iłtsąįį. Aak'ii ts'ą' divii k'it t'inchy'aa ąįį kwaii giiłkhwąįį. Ąįį giiyandah niinlii, ataiinjii heelyaa eenjit. Ąįįtł'ęę jii ch'ik'itiltsį' geedąhkhai' giiyiłtsąįį eenjit łyaa shoo ginlii. 
44:7:042:0	Jii geh'an Vit'eegwijyąhchy'aa goots'į' an-nil'ee ts'ą' zheekat są' dhidlii kwaii ts'ą' khadigiheejyaa geenjit gwintł'ee goovinlii. Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį nąįį gwehkįį ninghit dąį' hee geenjit ch'adagąąntł'oo:‘Israel gwich'in nąįį, nijin 40 years gahkhyuk datthaknangwinjir gwa'an neehakhwadal dąį' nin dohkhwąįįąįį ataiinjii ohtsii ąįį shįį sheenjit t'akhwa'in kwaa. 
44:7:043:0	Nakhwazheh gwadhah zhit nakhwavit'eegwijyąhchy'aa voozhri' Moloch oozhii vik'iteeyiltsį' neehoozhik, ts'ą'ch'ik'itiltsį' Rephan (są' k'it t'inchy'aa) dhohtsąįį ts'ą' khagadǫhjii,ąįįts'ą' t'ee Babylon kwaiik'it gwachoh gehji' gwa'an gwats'ą' nanahkhwahihłyaa.’ 
44:7:044:0	“Diitsii nąįį nangwinjir neegihiidal dąį' zhee gwadhah adahaa neegahaazhik, ąįį zhit Moses va-law khagilzhii. Vit'eegwijyąhchy'aa deegihee'yaa ts'ą' deegihee'yaa kwaa gavahnyąą ąįį zhee gwadhah zhit chan ts'ą' khadigigiinjii. Jii zhee gwadhah Moses, Vit'eegwijyąhchy'aa nats'ahts'ą' yats'ą' gwigweelkįį gwik'it hohtsyaa gavahnyąą, k'it giiyiłtsąįį. 
44:7:045:0	Niighyuk gwahaadhat ąįįtł'ęę nijin Jews nilįį kwaa nahkat gwats'ą' nich'itsigahthat ąįį gwits'ii Joshua ahaa dąį', Vit'eegwijyąhchy'aa jii nan ts'ą' gihłeegoohaanzhit, zheh gwadhah zhit khagigidiinjii eenjit t'eegaahchy'aa ąįį dahaa ch'adanh nahkat gwats'ą' giihiłtsuu. Ts'ą' dahthee King David niheehaa gwats'ą' datthak giit'aahchy'a'. 
44:7:046:0	Vit'eegwijyąhchy'aa łyaa David eet'iinghya', ‘Shik'eegwaadhat, deenaa dąį' Jacob Vivit'eegwijyąhchy'aa ąįį inlii. Łyaa zheh gwintsii neenjit gwołtsyaa yiihthan, Kharigidiinjii Zheh gweheelyaa eenjit.’ David Vit'eegwijyąhchy'aa ahnyąą. 
44:7:047:0	Vit'eegwijyąhchy'aa gwahahtsyaa gwats'ą' geenjit t'iiyahthan kwaa. Gąą vidinji' Solomon oozhii, ąįį zheh gwintsii Vit'eegwijyąhchy'aa eenjit gwiłtsąįį. 
44:7:048:0	“Gaa Vit'eegwijyąhchy'aa jiintsii ąįį zheh dinjii gwiłtsąįį gwizhit gwich'įį kwaa; Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį ąįį ch'ihłak gwadąąntł'oo, 
44:7:049:0	‘Zheekat, izhik gwats'an t'ee k'eegwaaldhat.Jii nan datthak eenjit K'eegwaadhat ihłįį.Ts'ą' nankat t'ee vakat shakwai' doołdlii.Jidii k'it t'inchy'aa zheh sheenjit gwahohtsyaa?Neehalzhii gwideek'it deegwaajii? 
44:7:050:0	Shįį k'eegwiichy'aa datthakgoołtsąįį t'oonchy'aa.’ Vit'eegwijyąhchy'aa nyąą. 
44:7:051:0	“Datthak ts'ą' łyaa nakhwaki' tth'an dach'at. Vit'eegwijyąhchy'aa deenakhwa'in, nakhwahnyąą gwik'it t'akhwa'in geet'ohthan kwaa. Ąįįts'ą' chan łyaa gwik'injohjii kwaa. Yeenii Nakhwati' nąįį łąą k'it t'ohchy'aa. Ch'anky'aa Shroodiinyąą deekhwa'in, nakhwahnyąą khit gwik'it t'akhwa'in geet'ohthan kwaa. 
44:7:052:0	Yeenii nakhwatsįį nąįį Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį nąįį khaiinjich'igiłthat, ts'ą' Christ neeheedyaa ginyąą geenjit googiiłkhwąįį. Christ t'ee khit Vit'eegwijyąhchy'aa k'eegwahthat, ts'ą' niighit kwaa dąį' juu yitr'ii'ee nąįį antł'ohchįį ts'ą' giiyiiłkhwąįį t'oonchy'aa. 
44:7:002:1	Stephen Kii Haa Giiyeełkhwąįį
44:7:053:0	Vit'eegwijyąhchy'aa zheekat gwich'in k'iighai' Moses va-law yeenii nakhwats'įį nąįį ts'an iłtsąįį. Ąįį juk t'ee datthak vakhwa'įį. Gąą vik'injuhkhit kwaa ts'ą' datthak vik'eegohthat kwaa.” jii datthak Stephen k'eedeegwaadhat kįh dilk'ii nąįį ąįįnyą' ts'ą' ndaanich'igįįnkhee. 
44:7:054:0	Nijin k'eedeegwaadhat nąįį deenyąą giiyiitth'ak dąį', gwintł'oo geenjit gook'įį gwanlii. It'ee shrit gook'įį gwanlii ts'ąįį googho' gąą igweech'in. 
44:7:055:0	Gąą Stephen, Ch'anky'aa Shroodiinyąą gwintł'oo vizhit deehee'yaa haa, zheekat k'iidak gwizhrįh gwąąh'in. Izhik Vit'eegwijyąhchy'aa ch'eegwąhndit nah'in ts'ą' Jesus, Vit'eegwijyąhchy'aa vishriits'ąįį nadhat ts'ą' yaa K'eegwaadhat nilįį ąįį gwąąh'in. 
44:7:056:0	“K'iidak gooh'in! Zheekat nihky'aa t'igwiizhik, ts'ą' Gwidinji' ąįį Vit'eegwijyąhchy'aa vishriits'ąįį nadhat, yaa K'eegwaadhat nilįį gwąął'in.” Stephen gavahnyąą. 
44:7:057:0	Shraa haa daganli' digidzii gihdangahtrat. Datthak khaihłok gwintł'oo gazhral ts'ą' gaagal haa giik'aahaajil. Giiyiitth'ak geet'igiindhan kwaa eenjit. 
44:7:058:0	Ąįįtł'ęę gwagwahkhan giiyuunjik ts'ą' kwaiik'it gwachoh gwats'an geh'at gwa'an nigiiyąąhchįį. Ąįįtł'ęę ndakhąįį digi'ik nineegilzhii. Ąįį tsyaa, Saul oozhii, yik'eehąąhtyąą eenjit antł'eegiiyinlii, ąįį gwiizhik Stephen gwint'aii kii haa gookit, jyąhts'ą' giihaahkhwaa eenjit.  
44:7:059:0	Kii haa giiyuukit gwiizhik K'eegwaadhat ts'ą' khagidiinjii, “K'eegwaadhat Jesus shanky'aa oiinjii!” nyąą. 
44:7:060:0	Ąįįtł'ęę nikiigwiintthaii ts'ą', “K'eegwaadhat, jii tr'agwaanduu t'igii'in geenjit googǫǫhshii shrǫ'!” gwintł'oo azhral ts'ą' jyaa nyąą, tł'ęę niindhat. Saul łyaa Stephen tr'iiłkhwąįį geenjit shoo nilįį.
