44:16:001:1	Timothy, ąįį Paul, ts'ą' Silas Haa Haazhii
44:16:015:0	Ąįįtł'ęę adan ąįįts'ą' juu yizheh gwizhit gwich'įį nąįį datthak haa chųų goots'an tr'iłtsąįį, “Łyaa łi'deegwidlii haa Jesus k'injihkhit t'ihchy'aa, shoohnyąą ji', shats'ą' hohjyaa ts'ą' shaa gohch'įį!” diinahnyąą. Jyaa dinyąą geh'an vats'ą' tr'ahaajil ts'ą' vaagwirich'įį. 
44:16:016:0	Ch'ihłan drin kharigeheejyaa gwats'ą' tr'eedaa gwizhit dąį', nich'it ch'ihłak vizhit ch'anky'aa iizųų t'inchy'aa tr'ąąh'in. Ąįį k'iighai' dinjii ts'ą' yeendaa deegwehee'yaa geegwaandak nilįį. Dinjii yats'ą' k'eedeegwaadhat nilįį nąįį, ąįį nich'it deegwehee'yaa datthak geegwaandak gwik'iighai' larąą lęįį gahtsii. 
44:16:017:0	Diitąįį neehidik, “Jii dinjii nąįį t'ee Vit'eegwijyąhchy'aa jiintsii nilįį ąįį vitsyaa nąįį t'igiinchy'aa. Nats'ahts'ą' nakhwatr'agwaanduu gwats'an neenakhwahahshii geenjit nakhwaa googwahaandak t'igii'in.” jyaa nyąą ts'ą' gwintł'oo azhral. 
44:16:018:0	Drin gwinlęįį gwizhit khit jyaa dinyąą. Gohch'it dee Paul jyaa dinyąą yiitth'ak yeecheendak. Gohch'it yits'ą' łihts'eediil'ee ts'ą' yąąh'in ts'ą' t'iiyahnyąą, “Jesus Christ voozhri' zhit vats'an cheehinkhaii!” ch'anky'aa iizųų ahnyąą. Ąįįtł'ęę googwahkhan ch'anky'aa iizųų yats'an cheediindhat. 
44:16:019:0	Dinjii yits'ą' k'eedeegwaadhat nąįį jii t'igwiizhik datthak gwagwąąh'ya' dąį', larąą yik'iighai' neehahtsyaa kwaa giky'aanjik dąį', Paul ts'ą' Silas haa gąhtsit. Ąįįtł'ęę kwaiik'it dinjii łinaadal gwats'ą' googehełchįį. 
44:16:020:0	Rome gwich'in k'eedeegwaadhat nilįį nąįį andaa nagoogąąhchįį ts'ą' jyaa diginyąą, “Jii dinjii Jews nąįį ginlii. Dząą diikwaiik'it gwachoh gwizhit dinjii gwintł'oo haa nagwagwii'aii ginyąą. 
44:16:021:0	Gwarandaii gwizhit deegwehee'yaa goo'aii ąįį geediigwahtan ąįį jyąhts'ą' gwarandaii dii-law gwinehts'į' t'igwii'in t'oonchy'aa. Roman gwich'įį tr'iinlii ts'ą' duuyeh jyaa digwii'in t'oonchy'aa.” 
44:16:022:0	Ąįįtł'ęę dinjii lęįį łeeljil nąįį Paul ts'ą' Silas haa nich'itsigahthat, “Gookat digwigwiłchaa. Ąįįtł'ęę viitrii haa gavoohtrii.” k'eedeegwaadhat nąįį googahnyąą. 
44:16:023:0	Gwintł'oo googąhtrii tł'ęę, zhee gwaazhrąįį nagoogiinlii, “Jii nąįį cheegihee'al gwits'į' gook'ǫǫhtii!” niveet'ah'in zhee gwaazhrąįį gwak'ąąhtii nilįį agahnyąą. 
44:16:024:0	Jyaa digiinyą' geh'an, zhee gwaazhrąįį gwizhit gwatł'an zheh goo'aii, izhik givehdeech'igidiintin. Dachan deetak gootth'an geegiintthaii, ąįį haa gootth'an łigiłtł'įį.  
44:16:025:0	Izhik zhat tǫǫ tł'an gwandaa dąį', Vit'eegwijyąhchy'aa deegihił'ee ts'ą' khagigidiinjii ts'ą' ch'igiilii. Gaa zhat zhee gwaazhrąįį dilk'ii nąįį datthak gavoołk'įį. 
44:16:026:0	Ąįįtł'ęę khants'ą' zhat gavaa gwint'aii nan daatrat nagwaanąįį. Zhee gwaazhrąįį ąįįts'ą' gwitł'ee haa datthak gwint'aii gwaadhak. Googwahkhan gindeiinvyaa datthak nihky'aa t'iizhik. Zhee gwaazhrąįį dilk'ii nąįį datthak kat ch'iitsii tły'ah gwats'an tr'iinjil. 
44:16:027:0	Nan daatrat geh'an zhee gwaazhrąįį gwak'ąąhtii khakee'ąįį dąį', gindeiinvyaa datthak nihky'aa t'inchy'aa gwąąh'in. Ąįįtł'ęę dishriichoo khaiintin, adahaaghwaa eenjit, zhee gwaazhrąįį dilk'ii nąįį datthak gihłeegahaajil, yiindhan geh'an. 
44:16:028:0	Gaa Paul yineeshraadiintrat, “Adǫǫnghwaa shrǫ'! Datthak tth'aii dząą tr'iilk'įį t'oonchy'aa!” yahnyąą. 
44:16:029:0	Ąįįtł'ęę “Neech'ǫhdrii!” gavahnyąą. Ąįįtł'ęę neech'agahdrii dąį', gwagwahkhan zhee gwaazhrąįį gwats'ą' haazhii. Łyaa zhyąą datthak daatrat ts'ą' naajat gwizhit Paul ts'ą' Silas haa ts'ą' nikiigwiintthaii. 
44:16:030:0	Ąįįtł'ęę ninehjin ts'ą' chineegavąąhchįį, “Shalak nąįį, deehishi'yaa ts'ą' shatr'agwaanduu gwats'an nats'ahts'ą' neehishizhii t'oonchy'aa?” gavahnyąą. 
44:16:031:0	“K'eegwaadhat Jesus k'injiinghit ąįį gwik'iighai' natr'agwaanduu ts'an neehįįnzhii t'oonchy'aa nan ąįįts'ą' nizheh k'ąą nąįį haa.” giiyahnyąą. 
44:16:032:0	Ąįįtł'ęę dizheh gwits'ee goohaadlii. Izhik adan ts'ą' gah zhat gwich'įį nąįį datthak Gwandak Nizįį K'eegwaadhat eenjit gavaa gwagwaandak. 
44:16:033:0	Tth'aii tǫǫ gwanlii gwiizhit, googaa nijin googwiinjik gwa'an datthak giveenjit gwik'eech'ąhtryaa. Ąįįtł'ęę khants'ą' adan ts'ą' vizhehk'aa nąįį haa datthak chųų goots'an dhidlit. 
44:16:034:0	Ąįįtł'ęę dizheh nihdeegaviinlii. Ts'ą' shih tr'ihee'aa goovandaa niinlii. Adan ts'ą' vizhehk'aa datthak łyaa gwintł'oo shoo ginlii, juk Vit'eegwijyąhchy'aa k'injigiighit geh'an. Ąįįtł'ęę zhee gwaazhrąįį gwits'ee goohiłchįį. 
44:16:035:0	Gęhdaa vanh, Rome k'eedeegwaadhat nąįį Police nąįį zhee gwaazhrąįį gwak'ąąhtii ts'ą' googihił'e', “Ąįį dinjii neekwąįį nąįį chineegavohchįį.” googahnyąą. 
44:16:036:0	Ąįįtł'ęę zhee gwaazhrąįį gwak'ąąhtii, Paul jyaa ahnyąą, “K'eedeegwaadhat nąįį ‘juk zhat cheeho'oo,’ nakhwagahnyąą. Ąįį geh'an, tsinehdan zhit khai' ts'ą' cheeho'oo.” gavahnyąą. 
44:16:037:0	Gąą Paul geet'iindhan kwaa ts'ą' Police nąįį haa ginkhii, “Diikhwan Rome gwich'in tr'iinlii, googaa dinjii andaa nidiigąąhchįį ts'ą' viitrii haa diigąhtrii. Gwak'ąąhtii choh andaa łi'didlii haa tr'agwahaandak, izhik nidiigąąhchįį kwaa. Zhyąą zhee gwaazhrąįį nidiigąąhchįį gwizhrįh t'igiizhik. Ąįįtł'ęę juk dinjii diihąąh'yaa kwaa ts'ą' nagwaan'įį haa zhee gwaazhrąįį gwats'an cheeho'oo, diigahnyąą. Łyaa duuyeh gwik'it t'igwii'in. Dząą gwats'ą' hohjyaa ąįįts'ą' diineenjit gach'adǫǫhchįį. Ąįįts'ą' cheediinohchįį. Jyaa digwinyąą gavaiinyąą,” Paul yahnyąą. 
44:16:038:0	Ąįįtł'ęę Police k'eedeegwaadhat nąįį ts'eehoozhii ts'ą' gavaa gwaandak. Łyaa nijin Paul ts'ą' Silas haa Rome gwich'in nąįį ginlii łee, gik'igaanjik dąį', gwintł'oo gąąnjat. 
44:16:039:0	Ąįįtł'ęę k'eedeegwaadhat nąįį zhee gwaazhrąįį gwats'ą' gahaajil. “Jidii nakhwats'ą' t'igwee'ya' gineedhoondee ji', łyaa geenjit shootr'iheelyaa.” jyaa Silas, Paul haa agahnyąą. Ąįįtł'ęę zhee gwaazhrąįį cheegoogąąhchįį. “Khants'ą' diikwaiik'it gwachoh gihłeehoo'oo ji', łyaa gweheezyaa!” googahnyąą. 
44:16:040:0	Ąįįtł'ęę Paul ts'ą' Silas haa, Lydia vizheh gwats'ą' gahaa'oo. Izhik juu Jesus k'injigiighit nąįį haa giginkhe'. Paul ts'ą' Silas haa łyaa gahąąnjat kwaa eenjit goots'ą' giginkhe'. Ąįįtł'ęę zhat gwats'an gihłeegahoo'oo.
