44:17:001:1	Paul ts'ą' Silas Haa Thessalonica gwizhit T'igiinchy'aa Dąį'
44:17:023:0	Nijin gwa'an nakhwavit'eegwijyąhchy'aa nąįį ts'ą' khadagohjii goodlii kwaii datthak, gwąął'in dąį'. Nakhwavit'eegwijyąhchy'aa nąįį ch'ihłak ts'ą' ataiinjii tr'ahtsii deek'it, gwakat nin deerahchik, ataiinjii eenjit, ąįį nał'in. Ąįį vakat jyąhts'ą' ginjik danakhwatł'oo. ‘Jii ataiinjii tr'ahtsii deek'it vit'eegwijyąhchy'aa vaagwiindaii kwaa eenjit t'inchy'aa,’ gwinyąą. Ąįį Vit'eegwijyąhchy'aa vats'ą' khadagohjii, gąą vaakhwandaii kwaa, ąįį geenjit juk veenjit nakhwaa gwahaaldak t'ihnyąą. 
44:17:024:0	Ąįį Vit'eegwijyąhchy'aa jii nan ts'ą' vakat jidii goodlii datthak gwiłtsąįį. Zheekat, nankak haa gwats'ą' k'eegwaadhat nilįį. Dinjii yeenjit zheh gwiłtsąįį, izhik gwizhit gweheechy'aa eenjit, gąą zheh gwat'aahchy'aa kwaa t'inchy'aa. 
44:17:025:0	Ąįįts'ą' chan jidii datthak di'įį. Jidii dinjii yiłtsąįį, ąįį chan t'aahchy'aa kwaa t'inchy'aa. Adan t'ee nin datthak gwandaii ts'ą' dazhak iłtsąįį ts'ą' dinjii nąįį jidii t'eegąhchy'aa datthak goots'an iłtsąįį t'inchy'aa. 
44:17:026:0	Tr'ookit dinjii ch'ihłak iłtsąįį, ąįį yats'an dinjii nihłich'ijuk t'inchy'aa nąįį iłtsąįį. Ąįįtł'ęę nankak nihła'adan datthak gwigweheechy'aa giviłtsąįį. Jii gwehkįį ninghit dąį' gwanaa dinjii gweheechy'aa giveenjit gwinzii gwiłtsąįį. Ąįįts'ą' nihła'adan nankak googweheelyaa. Izhik gwiteegagahąąnchy'aa ts'ą' gwigweheechy'aa ts'ą' gwigweheendaii, gavoonyąą eenjit. 
44:17:027:0	Jii jyaa diizhik gwik'iighai' dinjii nąįį giiyankeegwahah'yaa ts'ą' duulee giiyankeeheetrat haa gigwiihah'aa. Googaa Vit'eegwijyąhchy'aa łyaa diineeghaii niighit kwaa t'inchy'aa t'oonchy'aa. 
44:17:028:0	Dinjii ch'ihłee jyaa nyąą gwik'it,‘Adan vik'iighai' tr'agwandaii ts'ą' neereheediindik ts'ą' diigwiiłkįį.’Nakhwatee dinjii goonzhįį dęhtły'aa dantł'oo nąįį lat jyaa diginyąą,‘Diikhwan t'ee vigii tr'iinlii t'oonchy'aa.’ 
44:17:029:0	“Łyaa dinjii nąįį larąą daatsik (gold), ch'iitsii daagąįį (silver), kii haa vit'eegwijyąhchy'aa idigeenjit gahtsii. Ąįį łyaa Vit'eegwijyąhchy'aa t'inchy'aa kwaa. Jii jyąhts'ą' ninjich'aradhat gishrigwąąhchy'aa kwaa, Vit'eegwijyąhchy'aa vigii tr'inlii geh'an. 
44:17:030:0	Gwehkįį dinjii Vit'eegwijyąhchy'aa haandaii kwaa dąį', k'eegwiichy'aa tr'agwaanduu t'iginjik, ąįį geenjit k'eegwiichy'aa t'ii'in kwaa. Gaa juk nijin gwa'an datthak nakhwatr'agwaanduu ts'an łihts'eedǫǫ'ee ts'ą' shik'eegohthat Vit'eegwijyąhchy'aa dinjii nąįį datthak jyaa ahnyąą. 
44:17:031:0	Diitr'agwaanduu gwats'an łihtseedaroo'ee Vit'eegwijyąhchy'aa vats'ą' diinoonyąą, dinjii datthak nijin drin Ch'aroahkat Drin gwigwiiłkįį, izhik vandaa narahaazhyaa geh'an. Ch'adąį' ąįį dinjii yeenjit gwinzii ch'oohahkat igwiiłkįį. Ąįįt'ee nijin niindhat tł'ęę, gwandaii neeyiłtsąįį. Ąįį haa dinjii datthak ts'ą' gwik'eech'įįłtii, ‘nats'ąą deehishi'yaa,’ diinyą' chy'ąą, ąįį gwik'it t'iizhik.” Paul gavahnyąą. 
44:17:032:0	Nijin Paul, dinjii niindhat neegwiindaii, nyąą, giiyiitth'ak dąį', łyaa dinjii lat nąįį gwintł'oo giiyeedlaa. Gąą ch'izhii dinjii nąįį, “Ąįį chan ji' diinaaneegwandak naroonyąą.” giiyahnyąą. 
44:17:033:0	Ąįįtł'ęę Paul nihłaa łagaajil gihłeehoozhii. 
44:17:034:0	Dinjii lat nąįį giiyahaajil ts'ą' Jesus k'injigiighit. Gootee dinjii ch'ihłee Dionysius oozhii, Areopagus k'eedeegwaadhat nąįį ch'ihłee nilįį. Izhik chan tr'injaa Damaris oozhii ąįįts'ą' ch'izhii dinjii shriit'aanchy'aa nąįį haa datthak Jesus k'injigiighit gaadlit.
