18:34:001:1	Iiláíhu éí Diyin God doo haa dayit'ée da , ní
18:34:023:0	Ła'da Diyin God bidááhdóó haa náhódóot'įįłígííéí Diyin God doo hach'į' ííshjání áyósin da .
18:34:024:0	Diyin God éí diné ayóó ádaat'éii t'áadoo baa hwiinít'íní niyiiłchxǫǫh , áádóó náánáła' yitsásk'ehjį' ayiinííł .
18:34:025:0	Éí bąą honaanish danilíinii bił bééhózingo biniinaat'áá ła' óotł'éé' hak'eh hididleehgo áhoołdįįł .
18:34:026:0	Diné dabinááł diné doo yá'áshóonii ádajit'éego atííł'į́ ,
18:34:027:0	háálá bits'á dziiskai , índa bihonít'i'ii doo baa nitsídadzikees da ,
18:34:028:0	áádóó honiinaa diné badahojoobá'íii Diyin God yich'į' nída'ookąąhgobich'į' nidahwii'nánígíí bisodizin yá yidiizts'ą́ą́' .
18:34:029:0	Dine'é t'áá kéédahat'į́į́ nít'éé' , doodaii' diné t'áá łah dilt'éhígo yich'į' áhodéeszée'go háísh bik'ijį' hadoodzih ? Binii'jį' néidees'į́į'go háísh bidááhdóó nidoogááł ?
18:34:030:0	Áko diné t'áá kééhat'į́į́ nít'éé' doo yiya'iidooloh da biniyédiné doo Diyin God k'ehgo ádaat'éii doo naat'áanii ábi'dilnéeh da .
18:34:031:0	T'áá aaníí Diyin God kóbizhdííniidgoéí t'áá áko , Atíshi'diilyaa ; doo ádił náá'deesih da .
18:34:032:0	Doo baa ákonisinígíí bínashiníłtin . Doo ákwii áát'įįdgóogo éí doo ánáádeesh'níił da .
18:34:033:0	Éí doo ninizį́į́'góogo nínízinígíísh bik'é nich'į' ni'doolééł ? Shí éí doo ná nidideesh'áał da ; ts'ídá yee' t'áá ni nididíí'ááł ; éí bąą nił bééhózinígíí baa hodíílnih .
18:34:034:0	Diné ak'idi'yiitįįh bee dahólóoniiínda diné dahóyáanii dashidiizts'ą́ą'ii ádashididooniił .
18:34:035:0	Job t'áadoo bił bééhózinii yaa yáłti'áádóó bizaad hódzą́ bąąh ádin .
18:34:036:0	Diné doo yá'áshóonii yáłti'ígíí nahalingo saad nináyii'níłígíí bąąJob t'áá nabíhodi'nitaahgo daotsa' laanaa nisin .
18:34:037:0	Naalteehígíí yee ádił asiihígíí yíyiinííł ; nihitahdóó ahíkadgo Diyin God yik'ijį' nilį́įgo hayánídíníltih .
