10:11:001:1	David áádóó Bath-shííba
10:11:012:0	Áádóó David éí Yuráíyah áyidííniid, Díí jį́ ałdó' t'áá kǫ́ǫ́ nanináago yiską́ągo nílááhgóó néé'deeshnih. Áko Yuráíyah éí Jerúsalem kin haal'áagi bee i'íí'ą́, náábiiskání ałdó' t'áá ákǫ́ǫ́ bee anáá'oot'ą́. 
10:11:013:0	Áko David hágo hodííniidgo binááł ajííyą́ą́' áádóó ajoodlą́ą́', índa ho'iiłdlą́ągo hoł honiidoi, áádóó bóhojółníihii bá nidaal'a'í daneezhjée'gi hó ałdó' hatsásk'eh bikáá' ajiiłhaazh, nidi haghangóó t'áadoo nízdeesdzáa da. 
10:11:014:0	Ákódzaadóó hoos'įįdgo David éí Jó'ab yich'į' naaltsoos áyiilaago Yuráíyah yeiníłtsoozgo Jó'ab yich'į' yił anáyííł'a'. 
10:11:015:0	Naaltsoos áyiilaaígíí biyi' kóníigo bee ak'e'ashchį́, Anaa'di alą́ąjį' ts'ídá yéego da'ahijigą́ą'jį' Yuráíyah bi'dííłnihgo ni éí áádę́ę́' nídíídááł, áko bíni'dii atíbi'dilnéehgo dadootsaał. 
10:11:016:0	Ákódzaadóó Jó'ab kin haal'áhígíí hazhó'ó hayíísidgo doo nídanilyéésgóó nidaabaahígíí bitahjį' Yuráíyah bizhníłnii'. 
10:11:017:0	Áko kin haal'áhídóó siláo ch'íkaigo siláo éí Jó'ab yił nidaabaahígíí yił da'ahoogą́ą'go David bá nidaal'a'ídóó siláo ła' dabi'doogą́ą́' índa Het dine'é Yuráíyah ałdó' bi'diisyį́. 
10:11:018:0	Nít'éé' Jó'ab éí David yich'į' i'ííł'a'go anaa'gi ádahóót'įįdígíí t'áá ałtso yee yił hoolne'. 
10:11:019:0	Áádóó kóníigo hane' yideez'ánígíí bich'į' hadzoodzíí', Anaa'gi áhóót'įįdígíí aláahgo naat'áanii ałtso bee bił hwíínílne'go, 
10:11:020:0	éí yik'ee aláahgo naat'áanii báhóóchįįd ládą́ą́' kóni'didoolnííł, Ha'át'éegoshą' kin haal'áii bit'ááh woojée'go bił da'ahoohgą́ą́'? Da' díísh doo nihił béédahózin da? Shą́ą́', kin haal'á binaa ahéé'ítł'inígíí bighą́ą́'dę́ę́' da'diłt'oh ni'. 
10:11:021:0	Háishą' Jeróbesheth biye' Abímelek yiyiisxį́? Shą́ą́', kin haal'á binaa ahéé'ítł'inígíí bighą́ą́'dę́ę́' asdzání léi' tsé daashjéé' hak'ijį' hadah ayiyííłhango Thííbez kin haal'áadi dadziztsą́. Ha'át'éegoshą' kin haal'á binaa ahéé'ítł'inígíí bit'ááh woojéé'? Áko ábididííniił, Ná naal'a'í Het dine'é Yuráíyah ałdó' daaztsą́. 
10:11:022:0	Áko hane' yideez'ánígíí dah diiyáago Jó'ab hane' yił biníł'a'ígíí t'áá át'é David yee yił hoolne'. 
10:11:023:0	Áádóó hane' yiní'ánígíí David áyidííniid, T'áá aaníí diné nihik'eh dadeesdlį́į́'; kin haal'áádę́ę́' halgaijį' nihich'į' ch'ídahaazhjéé', áádóó kin haal'á bił yah a'atiinjį' t'ą́ą́' anídaniilkaad. 
10:11:024:0	Nít'éé' da'diłt'ohii kin haal'á binaa ahéé'ítł'inígíí bighą́ą́'dę́ę́' ná nidaal'a'í dayółt'óohgo aláahgo naat'áanii bá nidaal'a'í ła' nidabi'diztseed. Áádóó índa ná naal'a'í Het dine'é Yuráíyah joolyéhígíí ałdó' ho'diisyį́. 
10:11:025:0	Áko David hane' yiní'ánígíí áyidííniid, Jó'ab kóbididííniił, Díí áhóót'įįdígíí t'áadoo ni'diił'áhí; jó, diltłish bee ła' ho'diilyééh áádóó náádaała' nidabi'ditsi'. Kin haal'áhígíí bik'ijį' hózhǫ́ yéego anaa' ádaahłéehgo bik'eh dadohdleeh. Áádóó Jó'ab chánah ádíílííł. 
10:11:026:0	Nít'éé' Yuráíyah be'asdzą́ą́ éí bahastiin Yuráíyah daaztsą́ągo yaa hodiizts'ą́ą'go bahastiin yę́ę yaa atínídindleeh. 
10:11:027:0	Áádóó yínííł ałtso hwiih haaldogo David háká i'ííł'a'go bighanjį' baa ho'deedlóóz, áko be'asdzą́ą́ dzizlį́į́', áádóó ashkii bá jishchį́. Nidi David kójíít'įįdígíí bee Bóhólníihii doo bił hojííshǫǫd da.
