7:9:001:1	Abimelech Rules over Shechem
7:9:025:0	The citizens of Shechem set an ambush for Abimelech on the hilltops and robbed everyone who passed that way . But someone warned Abimelech about their plot .
7:9:026:0	One day Gaal son of Ebed moved to Shechem with his brothers and gained the confidence of the leading citizens of Shechem .
7:9:027:0	During the annual harvest festival at Shechem , held in the temple of the local god , the wine flowed freely , and everyone began cursing Abimelech .
7:9:028:0	“ Who is Abimelech ? ” Gaal shouted . “ He 's not a true son of Shechem , so why should we be his servants ? He 's merely the son of Gideon , and this Zebul is merely his deputy . Serve the true sons of Hamor , the founder of Shechem . Why should we serve Abimelech ?
7:9:029:0	If I were in charge here , I would get rid of Abimelech . I would say to him , ‘ Get some soldiers , and come out and fight ! ' ”
7:9:030:0	But when Zebul , the leader of the city , heard what Gaal was saying , he was furious .
7:9:031:0	He sent messengers to Abimelech in Arumah , telling him , “ Gaal son of Ebed and his brothers have come to live in Shechem , and now they are inciting the city to rebel against you .
7:9:032:0	Come by night with an army and hide out in the fields .
7:9:033:0	In the morning , as soon as it is daylight , attack the city . When Gaal and those who are with him come out against you , you can do with them as you wish . ”
7:9:034:0	So Abimelech and all his men went by night and split into four groups , stationing themselves around Shechem .
7:9:035:0	Gaal was standing at the city gates when Abimelech and his army came out of hiding .
7:9:036:0	When Gaal saw them , he said to Zebul , “ Look , there are people coming down from the hilltops ! ” Zebul replied , “ It 's just the shadows on the hills that look like men . ”
7:9:037:0	But again Gaal said , “ No , people are coming down from the hills . And another group is coming down the road past the Diviners ' Oak . ”
7:9:038:0	Then Zebul turned on him and asked , “ Now where is that big mouth of yours ? Was n't it you that said , ‘ Who is Abimelech , and why should we be his servants ? ' The men you mocked are right outside the city ! Go out and fight them ! ”
7:9:039:0	So Gaal led the leading citizens of Shechem into battle against Abimelech .
7:9:040:0	But Abimelech chased him , and many of Shechem 's men were wounded and fell along the road as they retreated to the city gate .
7:9:041:0	Abimelech returned to Arumah , and Zebul drove Gaal and his brothers out of Shechem .
7:9:042:0	The next day the people of Shechem went out into the fields to battle . When Abimelech heard about it ,
7:9:043:0	he divided his men into three groups and set an ambush in the fields . When Abimelech saw the people coming out of the city , he and his men jumped up from their hiding places and attacked them .
7:9:044:0	Abimelech and his group stormed the city gate to keep the men of Shechem from getting back in , while Abimelech 's other two groups cut them down in the fields .
7:9:045:0	The battle went on all day before Abimelech finally captured the city . He killed the people , leveled the city , and scattered salt all over the ground .
7:9:046:0	When the leading citizens who lived in the tower of Shechem heard what had happened , they ran and hid in the temple of Baal-berith .
7:9:047:0	Someone reported to Abimelech that the citizens had gathered in the temple ,
7:9:048:0	so he led his forces to Mount Zalmon . He took an ax and chopped some branches from a tree , then put them on his shoulder . “ Quick , do as I have done ! ” he told his men .
7:9:049:0	So each of them cut down some branches , following Abimelech 's example . They piled the branches against the walls of the temple and set them on fire . So all the people who had lived in the tower of Shechem died—about 1,000 men and women .
7:9:050:0	Then Abimelech attacked the town of Thebez and captured it .
7:9:051:0	But there was a strong tower inside the town , and all the men and women—the entire population—fled to it . They barricaded themselves in and climbed up to the roof of the tower .
7:9:052:0	Abimelech followed them to attack the tower . But as he prepared to set fire to the entrance ,
7:9:053:0	a woman on the roof dropped a millstone that landed on Abimelech 's head and crushed his skull .
7:9:054:0	He quickly said to his young armor bearer , “ Draw your sword and kill me ! Do n't let it be said that a woman killed Abimelech ! ” So the young man ran him through with his sword , and he died .
7:9:055:0	When Abimelech 's men saw that he was dead , they disbanded and returned to their homes .
7:9:056:0	In this way , God punished Abimelech for the evil he had done against his father by murdering his seventy brothers .
7:9:057:0	God also punished the men of Shechem for all their evil . So the curse of Jotham son of Gideon was fulfilled .
