23:22:001:1	Honíts'aa'gi ił áhodooníłígíí át'ée dooleełii
23:22:011:0	Naakigo astł'inígíí bita'gi ałk'idą́ą́' tó sikánígíí siką́ą dooleełígíí biniyé tó bá hadahoyoogeed. Nidi í'iilaii doo baa dadzíínóhłíígóó éí ałk'idą́ą́' yinahaz'áanii doo nihił dáálįįd da. 
23:22:012:0	Áádóó éí yoołkáałdi Diyin God t'áá ałtsoní bee Bóhólníihii díí yee nich'į' ádííniid, Dadoohcha áádóó yínííł danohłį́į doo áádóó nihitsii' dadoohshih índa tł'oh azis danihi'ée' doo. 
23:22:013:0	Nidi, shoo, nihił dahózhǫ́ áádóó nihił dahoneeni; béégashii áádóó dibé nidaołtseedgo atsį' daołghał áádóó wáin daohdlą́ągo kódadohní, Da'iidą́ą doo índa da'iidlą́ą doo, háálá yiską́ągo dadíníi'nééł. 
23:22:002:1	Iiláíyakim éí Shébna bitsásk'ehgi ninádooltééł
23:22:014:0	T'áá ałtsoní bee Bóhólníihii shijaayi'jį' haadzíi'go diséts'ą́ą́', T'áá aaníí, nida'soołdįįd bijį́įjį' díí nihibąąhági át'éii doo nihąąh dadooldah da, ní t'áá ałtsoní bee Bóhólníihii Diyin God. 
23:22:015:0	T'áá ałtsoní bee Bóhólníihii Diyin God ání, Nílááh, béeso yaa áhályáanii Shébna éí kin bee bóhólníhígíí bich'į' dínáahgo kóbidiní, 
23:22:016:0	Kwe'é lá ha'át'íí haniná; háí lá diné ílíinii nik'éí nilį́įgo bąą wók'ą́ągi nitséní'ootséél dooleełii ádá bii' íínítséél áádóó ákwii háánílyį́įh dooleełgo ádá íinilaa? 
23:22:017:0	Jó, diné nílíinii, t'óó báhádzidgo Bóhólníihii nahgóó andiyoołhą́ą́ł, áádóó yéego nisiłgo, 
23:22:018:0	t'áá aaníí, t'áá na'níle'dii joołgi át'éego nidínóołmasgo kéyah hótsaajį' andiyoołhą́ą́ł; áadi dadíítsaał, índa tsindaabąąs bijáád naakiígíí bee ayóó ánít'éii ndaazį́į doo, ninanit'a'í bits'ą́ą́dóó oochíiłii yaa yádínóozįįł ii nílíinii. 
23:22:019:0	Nił haz'ánídóó nahjį' handínéeshchééł, éí nił haz'ánígi a'ohgo ándeeshłííł. 
23:22:020:0	Áko éí yoołkáłígíí baa hodoolzhish, éí Hilkáíyah biye' shá naal'a'í Iiláíyakim hágo bidideeshniił; 
23:22:021:0	éí ni'éénééz bee hadideeshłííł áádóó bee áká sínílzaazii yee bidziilgo ádeeshłííł índa bee níhólníhígíí baa dideesh'ááł, áko éí Jerúsalemgi kéédahat'íinii índa Júdah dine'é náás ahoolchíiłii ałdó' yizhé'é nilį́į doo. 
23:22:022:0	Áádóó David bikin bibee ąą ńdítį́hí biwosgi dah deeshtį́į́ł, áko éí aididootį́į́ł áádóó t'áá háiida doo dá'didoołkał da índa bí éí dá'didoołkał, áádóó t'áá háiida doo aididootį́įł da. 
23:22:023:0	Áádóó tsin ił adaalkaałí niłdzilgo ajiłkaałígi át'éego hwiideesįįłgo hazhé'é bits'ą́ą́dóó oochíiłii bá bikáá'dóó nahat'áii ayóó át'éii jidooleeł. 
23:22:024:0	Áko ha'áłchíní náás ahoolchíiłii t'áá ałtso éí bee adlání áłts'ísídóó nitsaaíjį' hazhé'é bits'ą́ą́dóó oochíiłii yee ayóó át'éii t'áá ałtso éí hanahjį' dah hidínil doo. 
23:22:025:0	T'áá ałtsoní bee Bóhólníihii ádííniid, Éí yoołkáałdi tsin ił adaalkaałí niłdzilgo eelkaalígíí nahjį' kódoolníiłgo k'ídootsiłgo nidookǫs, áádóó bąąh dah hidínilígíí ádooldįįł; kót'éego Bóhólníihii yee haadzíí'.
