23:43:001:1	Bóhólníihii t'áá bí t'éiyá ak'é niná'iidléii nilį́
23:43:014:0	Nik'é niná'ídláii, Ízrel bidiyin nilíinii Bóhólníihii ání, Niniinaa Bábilan kéyahgóó i'ííł'a' áádóó nidanichéii, t'áá éí Kaldíya dine'é danilíinii daachago tsinaa'eeł biyi' góyaa bi'níłnii'. 
23:43:015:0	Bóhólníihii nishłį́; niDiyin aláahgo ninanit'a'í nilíinii Ízrel dine'é áyiilaii ásht'į́. 
23:43:016:0	Bóhólníihii éí tónteel biyi'góó ch'íhonít'i' índa tó ayóó át'éii náádadiidáahii biyi'góó atiin áyoolíiłii; 
23:43:017:0	éí tsinaabąąs bijáád naakiígíí áádóó łį́į́' índa siláo dah deínéehii áádóó bee adziilii yi'iiłníihii, (éí t'áá ła' naazhjée' doo, índa doo de anáádadoo'níił da; deineestsiz, bee hool'iní biih yít'i'í nahalingo deineestsiz,) t'áá éí Bóhólníihii kóní, 
23:43:018:0	Ałk'idą́ą́' yę́ę t'áadoo béédaałniihí, doo nidi t'áadoo le'é t'áá ałk'idą́'ígíí baa nitsídaohkeesí. 
23:43:019:0	Jó, t'áadoo le'é ániidíígíí baa nideeshaał; k'ad hadínóosééł. Nił bééhodoozįįł. Jó, honoojíidi nidi, honít'i'go índa halgaidi tooh danílį́įgo ádeeshłííł. 
23:43:020:0	Shidine'é nídiinilii da'adlą́ą doo biniyé honoojíidi tó baa diní'ą́ągo áádóó halgaidi tooh danílį́įgo áshłaago bąą naaldlooshii áádóó mą'ii índa né'éshjaa' shaa dahaniih doo. 
23:43:021:0	Díí dine'é t'áá shí ádá hasht'eeshłaa; éí shaa ha'niihgo yit'íní ádayósin doo. 
23:43:022:0	Nidi t'áadoo shich'į' ádííníniid da, Jéíkab nílíinii; t'óó shąąh ch'ééh díníyá, Ízrel nílíinii. 
23:43:023:0	Dibé didlidgo nááhániihii doo shéíníłtį́į da; náádahołniihii nidi, doo bee shił danohłį́į da nít'éé'. Shich'į' nááda'di'yoołnihgi doo bínihinishkad da nít'éé', doo nidi tsin bijeeh dilidgo łikání halchinii bąąh ch'ééh dohkáahgo ánihiishłaa da. 
23:43:024:0	Akaz łikanii kálamas wolyéii t'áadoo shéínítą́ą da, doo nidi ak'ah dilidgo náádahołniihii bee hwiih nishłį́įgo ádashoohłaa da, nidi nihibąąhági át'éii shide ádaahłaa áádóó doo ákwii ádaoht'įįdii bąąh niníyá. 
23:43:025:0	Shí, t'áá shí ádił nida'iyohsíhígíí shinahjį' k'ééda'ashchǫǫhii nishłį́, áádóó nihibąąhági át'éii doo béénáshniih da doo. 
23:43:026:0	Bééhéshníihgo ádashíínóhsingo baa nída'ahiikąąh doo; baa dahołne', áko t'áá ákogi ádanoht'éego nihá ha'doodzih. 
23:43:027:0	Átsé nihizhé'é yę́ę bąąhági ádzaa, áádóó nidanihinitinii shich'į' ádił da'asziih. 
23:43:028:0	Éí bąą hodiyingo haz'ą́ągi nihá nááda'iiłniihii dááchxǫ'go ádaashłaa, áádóó Jéíkab t'óó báhádzidgo bá ha'oodzíi'go índa Ízrel bá nahat'i'go áshłaa.
