23:14:001:1	Bábilan dine'é aláahgo binanit'a'í bá nahat'i'
23:14:018:0	Ał'ąą dine'é aláahgo binanit'a'í danilíinii ts'ídá t'áá ałtso aláahdi áhoot'éegi t'ááłá'í nítínígo t'áá bí dabitséní'ootséél góne' naazhjéé'. 
23:14:019:0	Nidi ni ats'áoz'a' doo nidziniigi át'éego nitséní'ootséél dooleeł nít'éé' yę́ę bits'ą́ąjį' daneeznáanii diltłish bee nidabi'diztseedii dabits'íís bee nik'é'ésti'go ats'íís daaztsáanii t'óó bik'i na'aldeeh nahalingo a'áán góyaa tsé nik'iistł'in doo. 
23:14:020:0	Nidine'é bikéyah atíinilaaígíí biniinaa bitahgi doo yóó'ándi'doolníił da, áádóó doo yá'áshóonii ádaaníiłii nisíníłtseed; ba'áłchíní náás ahoolchíiłii hool'áágóó doo ch'ínáádabidit'áah da doo. 
23:14:021:0	Doo náádidoojah da áádóó nahasdzáán doo bíí' nídadoodleeł da áádóó nihokáá'góó doo kin hadaas'áago áńdeidoodlíił da biniyé dabiye'ké dabizhé'é yę́ę bada'át'e' biniinaa nidabidi'dootsił. 
23:14:022:0	Jó, bik'ijį' nídideeshdááł, ní t'áá ałtsoní bee Bóhólníihii, áádóó Bábilan kin haal'áhígíí áádóó diné daadzí'ígíí áádóó aye'ké índa atséłké ałtso áhodeeshdįįł, ní Bóhólníihii. 
23:14:002:1	Diyin God éí Asíriya dine'é íidoołdįįł
23:14:023:0	Kintahgo nahaz'ánígíí dahsání bíí' dooleeł áádóó tó naazką́ągo ałdó' ádeeshłííł; í'ooldįįł bee ch'íhodiyeesho, ní t'áá ałtsoní bee Bóhólníihii. 
23:14:024:0	T'áá ałtsoní bee Bóhólníihii ádee hadoodzíi'go ání, T'áá baa nitsísíkézígi át'éii hodooleeł; t'áá binahosí'ánígi át'éii bidziilgo ádeeshłííł: 
23:14:025:0	éí shikéyahgi Asíriya dine'é atíhodeeshłííł áádóó shidziłghą́ą'di hak'i nideeshaał áádóó ho'azéédéetį́hí ájiilaa yę́ę éí shidine'é bits'ádideesh'ááł índa biwos yee hondaalte' yę́ę nahjį' kódeeshłííł. 
23:14:026:0	Díí yinaha'áhígíí nahasdzáán t'áá át'éé nít'éé' yee yinahaz'áanii át'é; díí ał'ąą dine'é t'áá ałtso yik'ijį' dah doolnihii át'é. 
23:14:003:1	Filístiya át'ée dooleełii
23:14:027:0	Jó, t'áá ałtsoní bee Bóhólníihii yinahaz'áanii, háishą' nahgóó kónéidoodlííł? Bíla' yee ak'i dah doolnihii, háishą' t'ą́ą́' kónéidoodlííł? 
23:14:028:0	Aláahgo naat'áanii Éíhaz daaztsą́ yę́ędą́ą́' éí yihahígíí biyi' díí át'ée dooleełii ch'ét'ą́. 
23:14:029:0	Filístiya dine'é nílíinii, gish bee náni'doolghaalii k'é'éltǫ' biniinaa t'áadoo baa nił nihoozhǫǫhí, háálá tł'iish behétł'óól bits'ą́ą́dóó tł'iish báhádzidii háádínóosééł áádóó bineest'ą' tł'iish naat'a'ii adiłhashii át'ée doo. 
23:14:030:0	Té'é'į́ danilíinii da'ayą́ą doo, áádóó hojooba' nahas'áanii bił hasht'edahodít'éego náníjah doo; nehétł'óól dichin bee diyeeshxééł, índa daohdzí'ígíí nanihideestsił. 
23:14:031:0	Dáń'dítį́hí nílíinii, hadílgháásh; kin haal'áii nílíinii, yéego nichxa; Filístiya dine'é nohłíinii, t'áá ánółtso nihitah nidahaztseed, háálá łid nahalingo náhookǫsdę́ę'go siláo nídahidiibaa', áko doo ła' nida'áhodilziidgo deíbáah da doo. 
23:14:032:0	Áko éí dine'é bindaal'a'í díigi át'éego bił náhozhdoolnih, Bóhólníihii éí Záíyangi náhodii'ą́, áádóó ákwii bidine'é hojooba' ádaat'éii bine' nidahadziih doo.
