23:65:001:1	Nidaalteehii atídoolnííł
23:65:012:0	Éí bąą nanihidi'dootsiłjį' yaa ádadoohnííł biniyé diltłish baa nihidiní'ą́, háálá nihich'į' ádííniidgo t'áadoo t'ą́ą́' hadasoohdzíi' da, áádóó haasdzíi'go t'áadoo dasidoots'ą́ą' da, nidi shinááł doo yá'áshóonii baa nisoohkai, áádóó doo baa shił hózhóonii nidasidoo'ą́. 
23:65:013:0	Éí bąą Bóhólníihii Diyin God kóní, Shoo, shá nidaal'a'í da'dooyį́į́ł, nidi nihí éí dichin danohłį́į doo; shoo, shá nidaal'a'í da'doodlį́į́ł, nidi nihí éí dibáá' danohłį́į doo; shoo, shá nidaal'a'í bił nidahoozhǫǫh doo, nidi nihí ádaa yádanohdzin doo; 
23:65:014:0	shoo, shá nidaal'a'í bijéí bił dahózhǫ́ǫgo dahataał doo, nidi nihí éí nihijéí yínííł danilį́įgo daohcha doo, áádóó nihich'į' nidahwii'nánígíí bik'ee hahooł'áa doo. 
23:65:015:0	Nídiinilii bich'į'go nihízhi' hóyée'go bá ha'oodzíi'go bee béého'dílzingo óolzin doo; jó, Bóhólníihii Diyin God ánihidoołdįįł, áádóó bá nidaal'a'í yízhí náánáła' bee náádabi'dójíi doo, 
23:65:002:1	Yádiłhił índa nahasdzáán ániidíii
23:65:016:0	áko nihokáa'gi t'áá háiida t'áá bí ák'iníjídlíii éí Diyin God t'áá aaníinii bik'ijidlíi doo, áádóó nihokáa'gi t'áá háiida ádee hadoodzíi'ii éí Diyin God t'áá aaníinii yee ádee hadidoodzih, háálá ach'į' nahwii'ná yę́ę baa hoyoosnahgo shits'ąą nídees'į́į́'. 
23:65:017:0	Háálá yádiłhił índa nahasdzáán ániidíii áshłééh, jó'akon, áádóó áłtséédą́ą́' yę́ę doo bééhániih da, doo nidi baa nitsáhákees da. 
23:65:018:0	Nidi áshłéhígíí baa nihił dahózhǫ́ áádóó hool'áágóó baa nihił nidahoozhǫǫh, háálá Jerúsalem bił nihoozhǫǫhgo índa bidine'é bił dahózhǫ́ǫgo áshłééh, jó'akon. 
23:65:019:0	Áádóó Jerúsalem baa shił nihoozhǫǫh doo áádóó shidine'é baa shił hózhǫ́ǫ doo índa atínídadindleehígíí daachago biinéé' doo náádidoots'į́įł da. 
23:65:020:0	Awééchí'í doo t'áá díkwíí biidoołkáał da índa diné haastihii są́ bidiyoołhéłígíí t'áá bich'į'dóó doo dadootsaał da, háálá neeznádiin binááhaígíí áłchínígo baa nitsáhákees doo índa bąąhági ááníiłii neeznádiin binááhaigo daaztsą́ągo hóyée'go bá ha'oodzíi'go baa nitsáhákees doo. 
23:65:021:0	Áádóó kin ádeidoolíiłgo yii' kéédahat'į́į doo índa ch'il na'atł'o'ii k'ideididooléełgo bineest'ą' deiyą́ą doo. 
23:65:022:0	Bighan ádeidoolíiłii doo náánáła' yii' kéédahat'į́į da doo; k'ideidiléhígíí doo náánáła' deidooyį́įł da, háálá t'iis nooséłígi át'éego shidine'é bídayéełkaah doo, áádóó náháláa'ii binaanish ádayoolíłígíí nízaadgóó yaa bił dahózhǫ́ǫ doo. 
23:65:023:0	Doo t'áadoo biniyéhígóó nidadoolnish da, doo nidi ach'į' nahwii'ná biniyé ba'áłchíní nidahwiileeh da doo, háálá Bóhólníihii yik'ijidlíhígíí bits'ą́ą́dóó da'ahílchíihii danilį́, ba'áłchíní náás da'ahílchíihii t'áá bił. 
23:65:024:0	Áádóó baa hodoolzhishgo t'ah doo nída'ookąąhgóó bich'į' ééhodeesįįł; t'ahdii yádaałti'go dideests'į́į́ł. 
23:65:025:0	Mą'iitsoh áádóó dibé yázhí t'ááłáhájį' ayą́ą doo, áádóó náshdóítsoh bitsiijį' ditł'ooígíí dóola nahalingo tł'oh yiłchozh doo, índa na'ashǫ́'ii éí łeezh bich'iyą' doo. Shidził diyiniigi doo atídazh'doolíił da, doo nidi ádazh'dooł dįįł da, ní Bóhólníihii.
