23:37:001:1	Júdah dine'é éí Senákerib bits'ą́ąjį' yisdáá'nil
23:37:028:0	Nidi kééhót'į́įgi áádóó ch'éénídáahgi índa yah anáhídáahgi áádóó shich'į' náháchį'ígíí shił bééhózin. 
23:37:029:0	Shich'į' náháchį'ígíí áádóó yéego náháchį'go diséts'ą́'ígíí biniinaa shibéésh názhahígíí níchį́į́h bighá deestsih índa she'azáát'i'í nizadeesht'ih áádóó yíníyáhídę́ę́' ákǫ́ǫ́ t'ą́ą́' kónándeeshdlííł. 
23:37:030:0	Áko díí nich'į' bee ééhózin doo, Díí yihahígíí nanise' t'áá bí hadahineesáanii éí niyą́ą doo, áádóó naaki náhááh góne' t'áá ákót'éego hadanéeséhígíí bąąh náá'ídą́ą doo, áádóó táá' náhááh góne' k'idi'díílééł áádóó adííyish índa ch'il na'atł'o'ii k'ididííléełgo bineest'ą' niyą́ą doo. 
23:37:031:0	Áádóó Júdah dine'é daadziihígíí éí yóó'adahineezhchą́'ígíí behétł'óól łeeh náádínóoséełgo dego dadínóoséełgo bineest'ą' dahodooleeł, 
23:37:032:0	háálá daadziihígíí Jerúsalem kin haal'áádóó ch'ídookah, t'áá éí Dził Záíyandóó yisdádahineezhchą́'ígíí éí t'áá ałtsoní bee Bóhólníihii hóneedlį́įgo haa hą́ą́h nízingo ákódoonííł. 
23:37:033:0	Éí bąą Bóhólníihii éí Asíriya dine'é aláahgo binanit'a'í bídéét'i'go haadzíi'go ání, Díí kin haal'áajį' doo yah adoogáał da, áádóó bik'aa' doo áajį' yee azdoołt'oh da, índa bidááhdóó naagé doo yił nidoogáał da, áádóó tsé ahénátł'inígíí doo bíilk'idgo íidoolíił da. 
23:37:034:0	Bóhólníihii haadzíi'go ání, Jiníyáhídę́ę́' ákǫ́ǫ́ t'ą́ą́' nihéézhdoodááł, díí kin haal'áajį' doo yah azhdoogáał da. 
23:37:035:0	Háálá díí kin haal'áhígíí shá doodzih áádóó shá naal'a'í yę́ę David bá doodzih biniyé bich'ą́ą́h naasháa doo. 
23:37:036:0	Áko Bóhólníihii bidiyingo naal'a'í honíle'go t'áá łáhídi neeznádiindóó ba'aan tseebídiindóó ba'aan ashdladi mííl Asíriya dine'é bisiláo dah yinéłígíí neistseed, áko hoos'įįdgo nízhdiijée'go éí t'áá ałtso daneeznáago bits'íís dadziiłtsą́, jó'akon. 
23:37:037:0	Áko Asíriya dine'é aláahgo binanit'a'í Senákerib dah diiyáago bighangóó t'ą́ą́' anáádzáago Níneveh kin haal'áagi kééhat'į́į́ nít'éé'. 
23:37:038:0	Ákohgo bidiyin Nísrak wolyéii bikin góne' yich'į' nahałáago haye'ké Adrámelek áádóó Sharíízer diltłish yee hwiisxį́įgo Armíniya kéyahgóó yóó'ahi'noolchą́ą́', áko haye' Íísar-hádan hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́'.
