2:10:001:1	Nahachagiitsoh bee atí'ályaaígíí
2:10:011:0	Dooda lą́ą! Nihílááh, diné danohłínígíí t'éiyá Bóhólníihii bich'į' nidahohłá, jó, éí t'éí danohsingo ádadohní. Áko Féro sidáhídóó ch'ídahoneeshchą́ą́'. 
2:10:012:0	Áko Bóhólníihii éí Mózes áyidííniid, Nahachagiitsoh bíká Ííjip kéyah bikáá'góó dah didiilnííh, áko Ííjip kéyah bikáá'góó hadooldahgo kéyah bikáa'gi nanise' éí nílótsoh yi'oh ni'nítseedígíí ałtso deidooyį́į́ł. 
2:10:013:0	Áko Mózes bigish Ííjip kéyah yik'ijį'go yił dah didiilnii', áko Bóhólníihii éí ha'a'aahdę́ę'go shá bíighah áádóó tł'éé' bíighah kéyah bikáá'góó níyolgo áyiilaa, áko hoos'įįdgo ha'a'aahdę́ę'go nahachagiitsoh bił deeyol. 
2:10:014:0	Áko Ííjip kéyahgi t'áá át'éé nít'éé' nahachagiitsoh níłnii', áko Ííjip t'áá nahaz'ą́ą́ nít'éé' bikáa'gi hazlį́į́'; hádą́ą'da doo ákót'éego nahachagiitsoh haleeh da nít'éé', áádóó doo ákónáádoo'níił da. 
2:10:015:0	Háálá kéyah bikáá' t'áá át'éé bee yíłhéél, áko kéyah bikáa'gi nílótsoh éí nanise' áádóó tsin naazkaadii bineest'ą' yi'oh niinítseedígíí ałtso dayííyą́ą́', índa Ííjip kéyah bikáá' t'áá át'éé nít'éé' ch'il áádóó tsin naazkaadii índa nanise' daditłée'ii doo ła' yidzíi' da. 
2:10:016:0	Ákohgo Féro éí Mózes áádóó Éran tsį́įłgo yíká i'ííł'a'go ádííniidgo ání, Bóhólníihii nihiDiyin God bich'į' índa nihí nihich'į' ádił asésiih. 
2:10:017:0	Éí bąą k'ad íít'įįdii shá yóó'anídidíí'áałgo baa nánooshkąąh; ádił lá asésiih ni, áádóó Bóhólníihii niDiyin God díí t'éiyá shá baa néidííkąął: díí aninéhígíí shits'ą́ąjį' nahgóó kwíidoolííł. 
2:10:018:0	Áko Féro bits'ą́ą́dóó ch'ízhníyáago Bóhólníihii níjooskan. 
2:10:019:0	Áko Bóhólníihii éí e'e'aahdę́ę'go níyol ayóó ábóodziilgo níyolgo áyiilaago Tónteel Łichíi'ii biyi' góne' nahachagiitsoh ałtso bił ííyol, áko Ííjip haz'ą́ągi nahachagiitsoh doo ła' yidzíi' da. 
2:10:002:1	Chahałheeł bee atí'ályaaígíí
2:10:020:0	Nidi Bóhólníihii éí Féro bijéí yiyííłtł'isgo t'áadoo Ízrel dine'é yéé'níłnii' da. 
2:10:021:0	Áko Bóhólníihii éí Mózes ánéidoo'niid, Yá bich'į'go yadidiilnííh, áko Ííjip kéyah bikáa'gi chahałheeł diłhiłii hak'iildoh nahalingo chahodoołhił. 
2:10:022:0	Áko Mózes yá bich'į'go yadidiilnii'go Ííjip kéyahgi t'áá át'éé nít'éé' tágí jį́ t'áá íiyisí chahodinoolyéél. 
2:10:023:0	Doo da'ahijoot'į́į da; t'áadoo nidi nídazhdii'néhí táá' yiską́, nidi Ízrel dine'é dabighan góne' t'éí dahool'in. 
2:10:024:0	Áko Féro éí Mózes yíká anáá'ííł'a'go ádííniid, Nihílááh, Bóhólníihii bich'į' nidahohłá, nidi nihidibé nidanilkaadii índa nihibéégashii bíni' t'áá da'akǫ́ǫgo nihada'áłchíní t'éiyá bił wohnééł. 
2:10:025:0	Áko Mózes ádííniid, Náádahidiilnihígíí índa didlidgo náádahidiilnihígíí t'áá bił nihi' níłnííh, háálá éí Bóhólníihii nihiDiyin God bich'į' náádahidiilnih. 
2:10:026:0	Danihilį́į́' t'áá bił yii'néeł doo; t'ááłá'í nidi doo ła' bits'ą́ą́' dah didii'néeł da, háálá éí bee Bóhólníihii nihiDiyin God bich'į' nidahwiidlá. Bóhólníihii bich'į' náádahidiilnihígíí doo nihił béédahózin da; áadi niikaigo índa nihił béédahodoozįįł. 
2:10:027:0	Nidi Bóhólníihii éí Féro bijéí yiyííłtł'isgo doo hwéé'ółnííh át'ée da. 
2:10:028:0	Áko Féro áhodííniid, Níwohjį' shits'ánínááh; hazhó'ó ádaa áhólyą́; doo nááshiidííltséeł da, háálá nááshiiniltsą́ bijį́ dadíítsaał. 
2:10:029:0	Áko Mózes ádííniid, T'áá ákóne' háínídzíí'; shí doo náániideestséeł da.
