2:6:001:1	Mózes bíká ánááhodoo'niid
2:6:020:0	Ámram éí hazhé'é bilah Jákebed hwe'asdzą́ą́ ájiilaa, áko Éran áádóó Mózes yishchį́. Ámram bíídíiską́ą́dóó neeznádiindóó ba'aan tádiindóó ba'aan tsosts'id binááhai. 
2:6:021:0	Ízxar biye'ké éí Kórah áádóó Níífeg índa Zíkrai daolyé. 
2:6:022:0	Azáíyel biye'ké éí Mísheiyel áádóó Élzefan índa Zítrai daolyé. 
2:6:023:0	Amínadab bitsi' éí Néíshan bilah nilíinii Iiláísheba wolyéii Éran be'asdzą́ą́ silį́į́'. Áko Néídab áádóó Abáíhu áádóó Eliyéízar índa Íthamar díí Éran yá niyiishchį́. 
2:6:024:0	Kórah biye'ké éí Áser áádóó Elkéínah índa Iibáíyasaf daolyé. Díí Kórah dine'é ba'áłchíní ádaat'į́. 
2:6:025:0	Éran biye' Eliyéízar éí Pútiyel bitsi'ké ła' be'asdzą́ą́ áyiilaa, áko Fíniyas yishchį́; díí Líívai dabizhé'é yę́ę bighandóó alą́ąjį' nidaakaii ba'áłchíní ádaat'į́. 
2:6:026:0	Éran áádóó Mózes lą́ą Bóhólníihii kóhodííniid, Ízrel dine'é t'áá dah deínéhígíí bik'ehgo Ííjip kéyahdóó bił ch'ídoohnééł. 
2:6:003:1	Bóhólníihii yee hooł'a'ígíí Mózes áádóó Éran yee yich'į' haadzíí'
2:6:027:0	Ííjip dine'é aláahgo binanit'a'í Féro Ííjipdę́ę́' Ízrel dine'é ch'ídoot'ishgo bee bich'į' yájííłti'ígíí éí díí Mózes áádóó Éran ájít'į́. 
2:6:028:0	Ííjip kéyahdi Bóhólníihii éí Mózes yich'į' haadzíí' yę́ędą́ą́' 
2:6:029:0	Bóhólníihii éí Mózes áyidííniid, Shí Bóhólníihii nishłį́; nich'į' hahásdzí'ígíí t'áá ałtso Ííjip dine'é aláahgo binanit'a'í Féro bee bił hólne'. 
2:6:030:0	Nidi Mózes éí Bóhólníihii binááł ájíní, Shoo, shí éí saad doo sheiszįįd da, ákoshą' haash yit'éego Féro shíists'ą́ą' doo?
