60:1:001:1	K'é ha'níinii
60:1:010:0	Diyin God bá dahojilne'ii díí yisdá'iildéhígíí hazhó'ó bínda'ízhdééłkidgo nidadziskáá', áádóó Diyin God bibee ajooba' yee nihik'izhdoodliiłígíí nee'ni'jį' baa dahojoolne'. 
60:1:011:0	Christ ti'hwiidoonihígíí áádóó bik'ijį' ayóó át'éii dooleełígíí t'áá átséedi Christ biNíłch'i Diyinii hwii' dahólónígíí éí hoł éédahoosįįd, áko, Hahgo lá índa haa'í lá hoolzhishgo áhodoonííł lá, dajiníigo nidadziskáá'. 
60:1:003:1	Diyingo iinánígíí bee dahinohná, ha'ní
60:1:012:0	Yá'ąąshdę́ę́' Níłch'i Diyinii hadaal'a'ígíí bibee adziilii bee hane' yá'át'éehii yaa dahalne'ii díí yee nihił dahoolne'. Éidí diyingo nidaal'a'í nidi hoł béédahoozį́į́' laanaa ch'ééh danízin. Diyin God yá dahalne'ii díí t'áá bítséedi yaa dahalne'go doo t'áá bí ádá ádáát'įįd da, nidi nihí nihá nidaal'a'go Diyin God bił ííshją́ą́ áyiilaa. 
60:1:013:0	Áko hasht'e'nitsídanohkees, ádaa ádahołyą́, áádóó Jesus Christ yit'íní í'diilyaadi Diyin God bibee ajooba' yee nihik'izhdoodliiłígíí nideínóhłíigo bíká nihił chodahoo'į́į le'. 
60:1:014:0	Áłchíní ak'eh hół'ínígi át'éego Diyin God bik'eh dahonoł'į́. Jesus t'ah doo béédahonohsįįh yę́ędą́ą́' nihił adáádahaníí nít'ée'ii t'áadoo bik'ehgo dahinohnání. 
60:1:015:0	Nidi Diyin God nihíká ádííniidígíí diyin nilínígi át'éego nihí ałdó' t'áá ałtsojį' diyingo dahinohnáa doo. 
60:1:016:0	Háálá Diyin God bizaad bee ak'e'ashchíinii kóní, Dadinohyin, háálá shí dinishyin. 
60:1:017:0	Diyin God éí, aTaa' nílíinii, dabidohníigo, nahasdzáán bikáa'gi t'ah dahinohnáago dahodíínóhsingo bá dahinohná. Diyin God doo ał'ohgo aa nitsíkeesii éí t'ááłá'í jinítínígo ádajíít'įįdii bik'ehgo haa nídóot'įįł. 
60:1:018:0	Háálá nihił béédahózingo danihizhé'é yę́ę bi'é'él'į' t'áadoo nánídlínígóó yee nidanihineestą́'ígíí bits'ą́ąjį' náádanihi'diiznii'. T'áadoo le'é áádįįłii, béésh łigaii, doodaii' óolada éí doo bee náádanihi'diiznii' da, 
60:1:019:0	nidi dibé yázhí hadaałt'éii, doo bąąh dahaz'áaniigi át'éii, Christ bidił ílíinii bee náádanihi'diiznii'. 
60:1:020:0	Éí nahasdzáán t'ah doo álnééhdą́ą́' Diyin God hak'i diilnii', áádóó nihoolzhíísh t'ah doo baa yíłkaahgóó nihá yit'íní áho'diilyaa. 
60:1:021:0	Honiit'aa Diyin God baa dadzíínóhłí, éí dadziztsą́ą́dę́ę́' nááhodiisá áádóó ayóó át'éii áhoolaa. Áko Diyin God deisoohdląądgo biniiłt'aa nihił chodahooz'įįd. 
60:1:022:0	Saad t'áá aaníinii bik'eh dahonoł'ínígíí bee nihii' sizíinii bąąhági át'éii bąąh ádingo ádanihi'diilyaa, áádóó Níłch'i Diyinii bee nihik'isóó danilíinii t'áá aaníí ayóó'ádeínóh'ní dasoolį́į́'. Áyąądą́ą́' ts'ídá haleebee ayóó'áda'ahíínóh'níi le'. 
60:1:023:0	Háálá náádanihi'dizhchį́, álástsii' diłdzidii bee éí dooda, nidi doo diłdzidii, éí Diyin God bizaad hináanii, doo bá nihonít'i'ii bee náádanihi'dizhchį́. 
60:1:024:0	Háálá nihokáá' dine'é t'áá ádzíłtso ch'ilgi ádajít'é,áádóó bee ayóó ádajít'éii ch'ilátah hózhóonii nidahalin.Ch'il dahiniiłnééh, áádóó ch'ilátah hózhóonii nidahindéeh łeh. 
60:1:025:0	Nidi Bóhólníihii bizaad éí hool'áágóó hólǫ́. Éí saadígíí hane' yá'át'éehii át'éego bee nidanihidi'neestą́ą́'.
