60:2:001:1	Tsé hináanii áádóó Diyin God t'áá bí bidine'é
60:2:011:0	Ayóó'ánihósh'níinii, nahasdzáán bikáá'góó t'óó tádadohnéehgo naałdeehii índa dé'éyóní danilínígi ádanoht'éego nánihooshkąąh! Nihits'íís bibee adáhonooni' bits'ą́ąjį' ádadíí'nółzin, háálá éí ii' sizíinii yik'ijį' anaa' áhósin. 
60:2:012:0	Doo Jew dine'é danilíinii bitahgóó niha'át'e' ádaadingo dahinohnáa le'. Áko bąąhági ádaaníiłii k'ehgo nihaa yádaałti' nidi yá'át'éehgo ádaahníłígíí yaa ákodahiniizįįhgo Diyin God bik'i hoole'go yaa dahaniih doo. 
60:2:013:0	Bóhólníihii bá ádaaht'į́įgo diné bi'óhólnííh t'áá ałtso bídahwíínółnííh: alą́ąjį' naat'áanii nilíinii, éí ts'ídá aláahdi nant'áii bi'óhólníihii bídahwíínółnííh, 
60:2:014:0	áádóó naat'áaniishchíín danilíinii, éí doo ákǫ́ǫ́ ádaat'íinii atídeidoolííł áádóó yá'át'ééh ádajooníiłii haa daha'niih doo biniyé nihich'į' nabidi'nilgo bídahwíínółnííh. 
60:2:015:0	Jó, Diyin God nihá íinízingo diné doo ádahalyą́ą́góó t'óó dzólníígóó yádaałti'ii éí nihí t'áá ákogi áda'oohłíłígíí dayoo'į́įgo ádaa yádadínóodzįįłgo dadidoołhił. 
60:2:016:0	Diné doo bohodiit'i'ii danohłį́įgo dahinohná, nidi doo nihidahodiit'i'ígíí t'óó bik'ijį' nisooł'ą́ągo t'áadoo bąąhági ádaaht'íní. Diyin God yá naalte' danohłį́įgo dahinohná. 
60:2:003:1	Christ ti'hooznii'ígíí bi'doolnííł
60:2:017:0	Diné t'áá ałtso nihił danilį́į le'. Christ bee ałk'isóó danidlíinii ayóó'ádeínóh'ní. Diyin God dadíínóhsin. Aláahgo naat'áanii nihił danilį́į le'. 
60:2:018:0	Naal'a'í danohłíinii, nihinanit'a'í íiyisí nihił danilį́įgo bídahwíínółnííh, dajooba'ii áádóó bá ádahwiinít'į́'íii doo éí t'éiyá da, nidi doo daats'íidii ałdó' nihił danilį́įgo bídahwíínółnííh. 
60:2:019:0	Azhą́ doo ákwii át'éégóó atího'dil'į́į nidi Diyin God hoł hólónígíí bee ádaa ákoznidzingo, éí ti'hojooníhígíí bich'į' ha'jólníigo Diyin God haa bił hózhǫ́. 
60:2:020:0	Doo ákǫ́ǫ́ ájít'ínígíí biniinaa náhodi'nilghałgo ha'jólníi nidi, t'áadoo bee haa hó'niihí da, nidi ts'ídá yá'át'ééh góne' ájít'ínígíí biniinaa ti'hodi'yoolníihgo ha'jólnínígíí éí Diyin God haa bił hózhǫ́. 
60:2:021:0	Ti'hoo'nííh bich'į' hada'íínółní biniyé Diyin God nihíká ádííniid, háálá Christ nihá ti'hooznii'go nihá áát'įįdígíí bik'ehgo bikéé' dayínóhkáah dooleeł nihó'ní. 
60:2:022:0	Christ t'áadoo asiihígi da, índa ts'ídá t'áadoo yooch'ííd yee haadzíi' da. 
60:2:023:0	Bi'déédzíí' yę́ędą́ą́' t'áadoo nát'ą́ą́' ná'éédzíi' da, ti'hooznii' yę́ędą́ą́' t'áadoo ił hóółyée' da, nidi Diyin God ts'ídá t'áá ákogi át'éego ánihwii'aahii yaa ádeet'ą́. 
60:2:024:0	Bąąhági át'éii bich'į' danee'náago ts'ídá t'áá ákogi ádaniit'éego dahinii'náa doo biniyé Christ t'áá bí bits'íís yee nihibąąhági át'éii ák'iidiit'ą́ągo tsin ałnáoszid bąąhjį' yił ti'hooznii'. Éí bik'i nidzisk'ą́ągo ábi'diilyaaígíí bee hadaałt'é nídasoohdlį́į́'. 
60:2:025:0	Háálá dibé yóó'ahekáhígi át'éego yóó'ahohkááh nít'éé', nidi k'ad Na'niłkaadii éí nihii' naazíinii yaa áhályáanii baa nináhisoohkai.
