20:24:001:0	Diné doo yá'ádaashóonii t'áadoo yiníłch'į́dí ; bił nijildeeh laanaa t'áadoo níníziní .
20:24:016:0	Háálá diné t'áá ákogi át'éii tsosts'idi naa'iigoh , nidi t'áá bíighahdi nídii'nah , nidi diné doo yá'ádaashóonii bich'į' hodii'náahgo dahidigeeh .
20:24:017:0	Ni'ana'í bide áhoodzaago t'áadoo baa nił nihoozhǫǫhí ; bik'eh hodidleehgo nijéí t'áadoo baa bił hózhóní .
20:24:018:0	Éí doodaléi' Bóhólníihii niidoołtsééł , áko doo bił hodííshǫǫł da áádóó t'óó báhádzidgo yee até'éł'íinii yits'ą́ąjį' kónéidoodlííł .
20:24:019:0	Doo yá'át'ééh ádaaníiłii biniinaa t'áadoo bik'ee ádił náhodílchiłí , índa diné doo yá'ádaashóonii t'áadoo yiníł ch'į́dí .
20:24:020:0	Háálá diné doo yá'áshóonii doo náás bá honít'i' da doo , diné doo yá'áshóonii bibee hool'iní diltłi'ii dínóoltsis .
20:24:021:0	Shiye' , Bóhólníihii áádóó aláahgo naat'áanii díínísin ; nahat'á łahgo ándayoodlíiłii t'áadoo béédiilwo'í .
20:24:022:0	Háálá t'áá hoo'neehee báhádzidgo áhooníiłii hak'iidoot'ih ; éí t'áá áłah bits'ą́ą́dóó atídahodi'doolníłígíí háísh bił bééhózin ?
20:24:023:0	Díí ałdó' diné dahóyáanii dabizaad . Diné ał'oh át'éego baa nízhdóot'įįłgo doo yá'át'éeh da .
20:24:024:0	Diné doo yá'áshóonii , T'áá ákogi ánít'é , yi łníinii éí diné dahódziih doo ; diné t'áá kééhat'į́į́ nít'éé' t'óó haa'ih danízin doo .
20:24:025:0	Nidi diné doo yá'áshóonii deideeztehii bił dahózhǫ́ǫ doo , áádóó yá'át'éehii bee bik'idahozhdoodliił .
20:24:026:0	T'áá ákogi át'éego hááhádziihii éí adaa' deizts'ǫs nahalin .
20:24:027:0	Dá'ák'ehdi ninaanish dooleełii t'áá áłdįįłt'éego hasht'edíílííł , áko índída kin nidíí'ááł .
20:24:028:0	Bił kééhót'íinii t'áadoo át'éégóó doo baa ch'íhodíí'áał da , índa doo niyooch'íídgóó baa hodíílnih da .
20:24:029:0	Áshijiilaaígi át'éego shí ałdó' t'áá ákóhodeeshłííł ; ájíít' įįdii t'áá éí bik'ehgo k'ééhodideeshdlííł , doo didííniił da .
20:24:030:0	Bił hóyée'ii bidá'ák'eh áádóó diné doo ak'i'dootą́ą́ át'éii bich'il na'atł'o'ii yíl'áago bíighahgóó ch'íníyá .
20:24:031:0	Áko , shoo , bidá'ák'ehgóó t'áá át'é hosh t'éí yíl'á , áádóó ch'il deeníní t'áá át' é bił yíl'á , índa tsé binaagóó ahénátł'inii naa'ahineezkaad lá .
20:24:032:0	Áko éí yiiłtsą́ągo baa nitsísékééz , áádóó nééł'į́į'go nashineeztą́ą́' .
20:24:033:0	T'óó kónígháníjį' náá'iideeshhosh ; t'óó kónígháníjį' ánáádínéeshyił ; t'óó kónígháníjį' shijaat'ah díníshnii'go adínéeshyił .
20:24:034:0	Ákónít'į́įgo agha'ii'níiłii nahalingo té'é'į́ nik'i hwiidooleeł , áádóó té'é'į́ éí diné bee na'abaahii neijaahgo haatįįh yíyá nahalin doo .
