20:10:001:1	T'áá ákogi át'éii áádóó doo yá'áshóonii doo aheełt'ée da
20:10:023:0	Diné doo áhályáanii bąąhági ááníiłgo daané'é nahalingo bił honeełnih , nidi diné ak'i'diitįįhii hódzą́ bił honeełnih .
20:10:024:0	Diné doo yá'áshóonii yináldzidii bik'éidoot'ih , áádóó diné t'áá ákogi ááníiłii yídin nilíinii baa didoot'ááł .
20:10:025:0	Nááts'ó'oołdísii ch'ígháhígi át'éego diné doo yá'áshóonii ábi'dildįįh , nidi diné t'áá ákogi át'éii hool'áágóó bohoníłdzilgo sizį́ .
20:10:026:0	Ch'il na'atł'o'ii bitoo' dók'ǫ́zhígíí hawoo' yidíníłtsi' , áádóó łid éí hanáá' yiyiiłch'ih ; t'áá ákót'éego bił hóyée'ii nidajił'a'ígíí hach'į' ákót'é .
20:10:027:0	Bóhólníihii jidósingo iiná há binéidoo'nił , nidi diné doo yá'áshóonii éí a'ohgo béédoohah .
20:10:028:0	Diné t'áá ákogi ááníiłii bił hózhǫ́ǫ dooleełgo bíká bił chohoo'į́ , nidi diné doo yá'áshóonii nayólíii bits'ą́ą́' ádoodįįł .
20:10:029:0	Bóhólníihii bik'ehgo áhoot'éii éí t'áá ákogi ádaat'éii yee dabidziil , nidi doo ákwii ádaaníiłii éí ábidoołdįįł .
20:10:030:0	Diné t'áá ákogi ádaaníiłii ts'ídá doo nahjį' kódabidi'doolníił da , nidi diné doo yá'ádaashóonii nihokáá'góó doo kéédahojit'į́į da doo .
20:10:031:0	Diné t'áá ákogi ááníiłii éí hódzą́ yee yáłti' , nidi diné doo yá'áshǫ́ǫ́góó yáłti'ii éí hodi'doolyił .
20:10:032:0	Diné t'áá ákogi át'éii éí Diyin God yee lą́ ni'iiłeehii bił bééhózingo yee yáłti' , nidi diné doo yá'áshóonii éí doo yá'áshǫ́ǫ́góó yáłti' .
