58:12:001:1	Vit'eegwijyąhchy'aa Diiti' Nilii
58:12:002:1	Deekhwa'yaa ts'ą' Idik'eehoontyaa
58:12:011:0	Diihaa shrigweheechy'aa kwaa geenjit diigwąąhshii k'it diineenjit t'oonchy'aa, shoo tr'inlii kwaa googaa yeendaa juu vigwiriiłshii nąįį googwireełshii geh'an Vit'eegwijyąhchy'aa k'eegwagwahthat ts'ą' tsinehdan zhit gwagwandaii. 
58:12:012:0	Jyąhts'ą' dik'eeneehaandak, gwiindaii gwizhit nat'aii ookwaa shrǫ' gaa nigwik'iinjigwiighit zhit nat'aii gwahtsii. 
58:12:013:0	Jesus vatąįį gwinjik k'igwąą'ee goo'aii gwizhrįh inkhaa, jyąhts'ą' gwik'iighai' nat'aii kwaa ąįį nizįį neeheelyaa. 
58:12:014:0	Juu nąįį datthak haa tsinehdan hohłyaa ts'ą' shroodiinyąą zhit gǫhdaii gwik'eegǫhdaii, jyaa dakhwa'in kwaa ji' ch'ihłee gaa duuyeh K'eegwaadhat nah'in t'oonchy'aa. 
58:12:015:0	Vit'eegwijyąhchy'aa vich'eegoonzhrii ts'an łihts'eedahoo'ee gwits'į' adak'ǫǫntii. Nakhwatee dinjii ch'ihłee gwanzhįh tr'aakaii nahshii k'it t'inchy'aa ts'ą' poison nilii k'it tr'igiinkhii zheh gwizhit ch'ik'eegwandaii ohli' shrǫ'. 
58:12:016:0	Deenaadąį' deezhik Esau gwik'it nakhwatee ch'ihłak gaa yeedhidii kwaa haa ohchi' shrǫ' ts'ą' jidii Ch'anky'aa Shroodiinyąą eenjit deehił'ee kwaa oolį' shrǫ'. Ch'oondee nilii gaa jidii shih ch'ihłok tr'ihee'aa viti' yantł'eehahchyaa ąįį laraa t'įį gwantł'eiin'ąįį. 
58:12:017:0	Ąįįtł'ęę Vit'eegwijyąhchy'aa yats'ą' gwinzii t'ihee'yaa geenjit Vit'eegwijyąhchy'aa yakat noonjii yiindhan itree haa diti' oahkwat gaa deezhit ąįį ch'ijuk neegwahahtsyaa khyų' gwankeegwah'in geh'an viti' gwik'it t'iizhik kwaa. 
58:12:018:0	Israel gwich'in nąįį nijin nagaajil aiizhit nadhoojil kwaa, ddhah Sinai ts'an kwankyaa choo niin'ee ts'ą' tǫǫ gwaazhrąįį gweech'in gaa kwaa gwiizhit gwaanjak gwaahchy'aa, ts'ą' ahtr'aii choo haa gwint'aii ahtr'aii. 
58:12:019:0	Trumpet vaach'ilik tr'ahtsii gwint'aii hahchik, ts'ą' Vit'eegwijyąhchy'aa videezhuh chan giitth'ak. Nijin dinjii nąįį gwideezhuh giitth'ak dąį', ch'oodigiikwat haa chan ginjik neerootth'ak giindhan kwaa ginyąą. 
58:12:020:0	Jii jyaa dakhwa'in gwinyąą gwik'eegahohthat gwizhrįh goo'aii ąįį goovandaa t'igwinyąą geh'an, “Dinjii akwat nin k'eerahtii ddhah kat khadhizhii ji', kii haa oohohkit ts'ą' hohkhwaa gwizhrįh goo'aii.” 
58:12:021:0	Gęhdaa kwaa gwagwaanjat jiintsii gwanlii gwąąh'in ts'ąįį Moses jii jyaa nyąą, “Gwint'aii daltrat ts'ą' shizhit gaa najat choh dha'aii,” nyąą. 
58:12:022:0	Gaa nakhwan ąįį Zion ddhah ts'ą' zheekat gwizhit Jerusalem kwaiik'it gwachoo izhit Vit'eegwijyąhchy'aa khit gwandaii nilii gwich'įį datthak ładhoojil ąįį zhit zheekat gwich'in thousands nąįį chan t'iginchy'aa. 
58:12:023:0	Vit'eegwijyąhchy'aa vigii k'it googoodlit nąįį haa ładhoojil t'akhwa'in. Izhit dąį' łyaa shroonchy'aa ts'ą' goovoozhri' zhat zheekat gwizhit danakhwatł'oo. Datthak ts'ą' Vit'eegwijyąhchy'aa vats'a' noojil ts'ą' adan t'ee dzaa nankat dinjii nąįį oohaahkat geenjit nilii ts'ą' dinjii nizįį nąįį nats'ąą goovanky'aa shroodiinyąą heelyaa goo'aii gwik'it t'inchy'aa gooviłtsąįį. 
58:12:024:0	Datthak ts'ą' Jesus vats'a' khadhoojil, ts'ą' Vit'eegwijyąhchy'aa deeshi'yaa nyąą ąįį gwik'it t'iizhik ąįįt'ee Jesus k'iighai' k'eejit neegwiłtsąįį, Cross kat giriłtsak ts'ą' vadaa k'iighai', gwandaa gwinzii goodlit, ąįį Abel, voondee Cain yuułkhwąįį vadaa andaa gwinzii goodlit. 
58:12:025:0	Gwak'ǫǫhtii ts'ą' Vit'eegwijyąhchy'aa ginkhii oodǫǫhk'įį gatr'oh'ee shrǫ'. Zhit juu Moses k'iighai' Vit'eegwijyąhchy'aa vagwaandak diitth'ak gitr'ii'ee t'ee googwarahshii gideegijyaa kwaa t'oonchy'aa. Zhit juu zheekat gwats'an ginkhii vits'į' neediriil'ee ji', deegwiłtsal zhyaa diigwarahshii gideereheedaa. 
58:12:026:0	Zhat dąį' videezhuh nankat gwiłtrat, gaa juk jyaa dihihjyaa nyąą, “Chan hee ch'ihłok gwagwaanchy'aa nankat, nan daatrat neehałtsyaa ts'ą' zheekat goodlii datthak chan gwahaałtrat.” 
58:12:027:0	Ginjik “Chan hee ch'ihłok” gwagaahch'in ąįį jidii iłtsąįį kwaii datthak gwaatrat haa gwihiljii nagwahaadhal, ts'ą' t'ee jidii Zheekat gwizhit diltrat kwaa kwaii zhrįh zhat heedlyaa. 
58:12:028:0	Veegwinii'ee duuyeh gwik'it daatrat nihdeeriinjil geenjit mahsį' tr'oo'ya'. Mahsį' tr'iindhan haa Vit'eegwijyąhchy'aa shoo tr'ahahtsyaa geenjit vats'a' kharigidoojyaa ts'ą' deerahoh'e', 
58:12:029:0	Diivit'eegwijyąhchy'aa t'ee łyaa kǫ' haa an gwahtsii k'it t'inchy'aa geh'an.
