40:24:001:1	Kin bii' sohodizin ádooldįįłígíí t'áá bítséedi baa hojoolne'
40:24:014:0	Áádóó yá'ąąshii bee bóhólníihgo bił haz'áanii baa Hane' Yá'át'éehii nahasdzáán nidahonees'ą́ą́góó, ał'ąą dine'é t'áá ałtso bee hwéédahodoozįįł biniyé bee hoł dahodoonih, áko áadi índa nihodoogááł. 
40:24:015:0	Éí bąą (díí t'áá jółta' shį́į́ háni' bik'izh'diitįįh) doo yildingóó ni'iiłchxǫǫhii, Daniel éí Diyin God yá halne'ii nilį́įgo yaa ch'íhoní'áanii hodiyinígi sizį́įgo deidoołtsééł. 
40:24:016:0	Áko índa Judíyagi kéédahat'ínígíí dziłjį' choda'iidooł'įįł; 
40:24:017:0	ła'da bikin bighą́ą'di naagháago, wóne'dę́ę́' t'áadoo le' é ch'íidoojih biniyé doo yah anídoolwoł da, 
40:24:018:0	áádóó ła'da dá'ák'ehgi naagháago bi'éétsoh t'ááká t'ą́ą́' yaa náolyeed lágo. 
40:24:019:0	Áko éí beiníłką́ągo dadzooltsánígíí índa awéé' dahałt'o'ígíí doo hasht'e'ígóó yínííł biishdínóodah! 
40:24:020:0	Haigo, éí doodaii' háá'áyį́į́h jį́ aleeh góne' doo dadínóohchéłígíí bíká sodadołzin. 
40:24:021:0	Háálá ákohgo ayóó át'éego ach'į' nahwii'náa doo, nahasdzáán hazlį́į́'dóó wóshdę́ę́' díí jį́įjį' ach'į' nahwii'ná ákót'éii t'ah doo yiiltséeh da nít'éé', áádóó ts'ídá doo ákónááhodoo'níił da. 
40:24:022:0	Índa éí yoołkáłígíí doo áłts'ísí ánályaagóogo, nihokáá' dine'é doo ła' doodzih da, nidi bitah haasdláa'ii biniinaa éí yoołkáłígíí áłts'ísí áńdoolnííł. 
40:24:023:0	Ákohgo diné ła'da, Shoo, kǫ́ǫ́ Christ naaghá, éí doodaléi', Níláhjí naaghá, danihiłníigo t'áadoo deinohdlání. 
40:24:024:0	Háálá Christ ádadil'íinii índa t'óó ádahodil'į́įgo dahalne'ii dahodooleełgo, álílee k'ehgo bee éédahózinii índa bik'ee t'óó ił ahayóigo ádahooníiłii ádeił'į́į doo, áko yídaneel'ą́ą́ ládą́ą́' Diyin God atah yiyiizlá'ígíí nidi yóó'adeidínóo'ah. 
40:24:025:0	Jó'akon, díí t'ah doo ánééhdą́ą́' bee nihił hashne'. 
40:24:026:0	Éí bąą, Shoo níléí honoojíidi naaghá, danihiłníigo, ákǫ́ǫ́ dadohkááh yíila', doodaii', Shoo ná'áne'ídi sidá, danihiłníigo, t'áadoo deinohdlání. 
40:24:027:0	Jó, ha'a'aahjí jiilgishgo e'e'aahjį' nidi tsé'naa bee i'didla'ígi át'éego, Diné Silį́į'ii doogááł. 
40:24:004:1	Diné Silį́į'ii nídoodáłígíí
40:24:028:0	T'áá ha'át'íhída daaztsą́ągo sitį́įgi ákwe'é jeeshóó' áłah nilį́į doo.  
40:24:029:0	Éí ach'į' nahwii'ná bił yoołkáłígíí bighá yooską́ą́dóó bik'ijį', t'áá áko jį́honaa'éí bił chahodoołhi ł, áádóó ooljéé' doo adiníłdíin da doo, índa yádiłhił biyi'dę́ę́' sǫ' nidahindéeh doo, áádóó yá'ąąshdi bee dahółdzilii dadoogał, 
40:24:030:0	áko índa Diné Silį́į'ii bee bééhózinii yádiłhił biyi'di yidooltsééł, áadi índa nahasdzáán bikáa'gi ał'ąą dine'é t'áá ałtso dadoocha, índa yádiłhił biyi'dę́ę́' Diné Silį́į'ii k'os bił yildohgo áádóó bee adziil índa ayóó át'é ats'ádi'nílííd yił yigáałgo deizdoołtsééł. 
40:24:005:1	Fig sikaadgo néitsóhígíí binahjį' na'nitin
40:24:031:0	Áádóó dilní ayóó íits'a'go diists'ą́ą'go bidiyingo nidaal'a'í iidiyooł'aał, áko t'áá dį́į́'góó yádiłhił nidanees'ą́ą́dę́ę́' atah yiyiizláa'ii áłah ádeidoolííł. 
40:24:032:0	Fig sikaadii binahjį' hane' bee ak'idi'dootį́įłii nihił béédahoozįįh: jó, éí bits'áoz'a' dit'ódí yileeh áádóó índa bit'ąą' néitsohgo k'adę́ę ch'ínáshį́įgo nihił béédahózin łeh. 
40:24:033:0	Nihí ałdó' díidíígíí bidahoolníiłgo danół'į́įgo, Diné Silį́į'ii k'ad t'áá áyídídę́ę́' nihich'éédą́ą'jį' nidi bił ahoolzhiizh lá danohsingo nihił béédahózin doo. 
40:24:034:0	T'áá aaníígóó ánihidishní, Díí oochíłígíí doo bił yóó'ahodoogáał da, díidí t'áá ałtso ádaadzaago índa. 
40:24:006:1	Ákwii yoołkáłígíí índa oolkiłígíí diné ła'da doo hoł bééhózin da
40:24:035:0	Yádiłhił índa nahasdzáán bił yóó'ahodoogááł, nidi shizaad t'éiyá doo bił yóó'ahodoogáał da. 
40:24:036:0	Nidi ákwii yoołkáłígíí índa oolkiłígíí diné ła'da doo hoł bééhózin da, yá'ąąshdi diyingo nidaal'a'í nidi dooda, aYe' nidi dooda, nidi shiTaa' t'éiyá bił bééhózin. 
40:24:037:0	Áko Diné Silį́į'ii yígháahgo, Nóah bíyoołkááł yę́ędą́ą́' áhoot'éhígi áhoot'ée doo. 
40:24:038:0	Háálá éí yoołkááł yę́ędą́ą́' t'ah doo tó yiląąhgóó Nóah tsinaa'eeł yiih yíyáajį' diné da'ayą́ áádóó da'adlą́ áádóó nida'ayeh índa ahaa daha'nííł nít'éé', 
40:24:039:0	áko tó dooląąłígíí doo bił béédahózingóó tó yíląąd áádóó ábi'niiłdįįdgo índa bił béédahoozin, áko Diné Silį́į'ii yígháahgo ts'ídá ákóhoot'ée doo. 
40:24:040:0	Ákohgo dá'ák'ehgi diné naaki naa'aash doo; ła' nídidooltééł, ła'ígíí éí t'áá ákǫ́ǫ doo. 
40:24:041:0	Asdzání naaki ak'áa doo; ła' nídidooltééł, ła'ígíí éí t'áá ákǫ́ǫ doo. 
40:24:042:0	Éí bąą hada'ísídół'į́į́', háálá nihiBóhólníihii nídoodááł bijínígíí doo nihił béédahózin da. 
40:24:043:0	Nidi díí nihił béédahózin, kin bee bóhólníihii ts'ídá ákohgo ani'įįhii doogáłígíí bił bééhózingo, ha'asíid doo, áko bighan doo bits'ą́ą́' wótsid át'éégóó íidoolííł. 
40:24:007:1	Naal'a'í ba'ahódlíii, doodaii' naal'a'í doo ba'ahódlíii
40:24:044:0	Éí bąą nihí ałdó' hasht'e' áda'díínółzin, háálá Diné Silį́į'ii oolkiłígi doo nidayínóhłíi da yę́ę góne' doogááł.  
40:24:045:0	Ákoshą' háí ba'ahódlíigo índa hóyą́ągo naal'a'í nilį́, éí binanit'a'í bighan haz'ą́ągi nidaakaígíí t'áá ałtso t'áá áajį' anáhwiilzhíishgo yaná'áltso' doo biniyé nibiníłtį́? 
40:24:046:0	Naal'a'í jílíinii ákójít'į́įgo hananit'a'í níyáago éí hak'ihojidlí. 
40:24:047:0	T'áá aaníígóó ánihidishní, Hananit'a'í bee hólóonii t'áá ałtso bee hóhólníihgo nihodoołtééł. 
40:24:048:0	Nidi naal'a'í doo yá'áshóonii t'áá bijéí biyi'ídi, Shinanit'a'í la' doo hah nádáah da, didooniił, 
40:24:049:0	áádóó yił nidaal'a'ígíí yitaa'ałhaałgo, índa da'adláanii yił da'ayą́ągo áádóó da'adlą́ągo yaa nídidoodááł. 
40:24:050:0	Éí naal'a'í nilíinii binanit'a'í yoołkáałii doo nayólíí góne' índa hoolzhish doo bił bééhózin góne' nídoodáałgo, 
40:24:051:0	atíbidoolííł, índa diné t'óó ádahodil'íinii yitah hodoołt'eeł; áadi diné daachxa áádóó biwoo' ahídeidiłk'ash doo.
