40:20:001:1	Ch'il na'atł'o'ii bitahgóó nidaalnishí
40:20:019:0	índa doo Jew dine'é danilíinii yaa dahodidoo'ááł, áko éí há nidahodoołt'ih áádóó nahóda'doołtsxis índa tsin ałnáoszid bikáa'jį' hoł ida'doołkał, índa tágí jį́ aleeh góne' dadziztsą́ą́dę́ę́' nááhodi'doodlááł. 
40:20:020:0	Nít'éé' Zébedii biye'ké bimá yił haa yíkaigo t'áadoo le'é yíídóokił biniyé Jesus yich'į' nitsidinígo'. 
40:20:021:0	Áko Jesus áhodííniid, Ha'át'íishą' nínízin? Nít'éé' ábijiní, Díí shiyáázh nidilt'éego bee nóhólníihgo bił haz'áanii biyi'di, ła' ninish'náájí dah sidáa doogo índa ła' éí ninishtł'ají dah sidáa doogo bee bá handziih. 
40:20:022:0	Nidi Jesus haadzíi'go ashiiké áyidííniid, Yínóhkeedígíí doo nihił bééhózingóó ádóhní. Deeshdlį́įłgo sheíkáanii daats'í doohdlį́įłgo bínooł'ą́? [Áádóó bee shidi'doolzįhii daats'í bee nihidi'doolzįhgo bínooł'ą́?] Áko, Bíniil'ą́ą́ lą́ą, hodííniid. 
40:20:023:0	Áko ábijiní, Sheíkáanii lá t'áá aaníí doohdlį́į́ł ni, [áádóó bee shidi'doolzįhii lá bee nihidi'doolzįh ni,] nidi ła' shinish'náájí áádóó ła' shinishtł'ají dah soodáa dooleełígíí shí a'dideesh'áałgo doo bee shóhólníih da, nidi shiTaa' há hasht'eyiilaaígíí éí yee a'didoo'ááł. 
40:20:024:0	Áko neeznált'éhígíí éí deidiizts'ą́ą'go, t'áá ła' háá'ázhígíí yich'į' doo bił dahóózhǫǫd da. 
40:20:025:0	Nidi t'áá ádzíłtso Jesus hágo hodííniidgo áháłní, Nihił béédahózingo doo Jew dine'é danilíinii bindanit'a'í ayóogo ádídahólníihgo yindant'áa łeh, áko bitahgóó t'áá bí bidine'é ayóó ádaat'éii ída'niłkadgo bee bídahólnííh. 
40:20:026:0	Nidi nihí nihitahgóó éí doo ákót'ée da dooleeł, nidi t'áá háiida nihitahgóó ayóó át'éii deeshłeeł jinízinígíí éí nihá nijil'a' doo, 
40:20:027:0	áádóó t'áá háiida nihitahgóó shí alą́ąjį' dooleeł jinízinígíí éí nihinaalte' jílį́į doo: 
40:20:004:1	Jesus éí diné doo oo'íinii nidilt'éego oo'į́ áyiilaa
40:20:028:0	t'áá Diné Silį́į'ii doo bá na'al'a' da, nidi á naal'a' doo, índa be'iina' ninéidiní'ą́ągo daaztsánígíí yee lą'í ninéidiyoołnih yiniyé níyá. 
40:20:029:0	Áko Jérikodóó ch'íjíkaigo, diné ayóó át'é yíl'áhígíí hakéé' dah nídiizą́. 
40:20:030:0	Áádóó jó'akon, diné naaki doo oo'į́į́góó atiin bąąhgi sikéé lá, áko aadę́ę́' Jesus yigááł ha'níigo yidiizts'ą́ą'go kóníigo hadoolghaazh, Bóhólníihii, David biYe' nílíinii, nihaa jiiníbaah! 
40:20:031:0	Áko diné yíl'áhígíí, T'áadoo ádóhníní, dahałníigo hach'adahashké, nidi t'óó nówehda hanáázhdoolghaazhgo ájíní, Bóhólníihii, David biYe' nílíinii, nihaa jiiníbaah! 
40:20:032:0	Áko Jesus t'áá ákǫ́ǫ́ yiizį'go, hágo hodííniidgo áháłní, Ha'át'íí nihá baa nideeshaał shíínóh'ní? 
40:20:033:0	Áko ábijiní, Bóhólníihii, nihináá' bee iit'į́įgo ánihílééh. 
40:20:034:0	Áko Jesus haa a'ááh niizį́į'go hanáá' yideelchid, áko t'áá áko ajoo'į́ dzizlį́į́', áádóó bikéé' dashdii'áázh.
