40:26:001:1	Jesus diyoolyéełgo binahast'ą́
40:26:058:0	Nidi Peter éí nízaadę́ę́' hakéé' yigáałgo, aláahgo náá'iiłniihii bikin binaagi haz'ą́ągo biná'ástł'iní góne' yah ííyá, áko haa hodoonííł nízingo, ákwii siláo yił naháaztą́. 
40:26:059:0	Ákohgo aláahgo nááda'iiłniihii [áádóó diné yá aląąjį' naazíinii] índa diné ándaha'áii t'áá ałtso wooch'ííd binahjį' Jesus hodi'yoolyéłígíí ch'ééh yíkadadilts'i', 
40:26:060:0	nidi t'áá ádin lá, azhą́ lą'í dabiyooch'íidgo dahalne'ii hadahaasdzíi' nidi. Áadi índa diné nidilt'éego t'áá ádzaagóó haa halne'go niní'áázh, 
40:26:061:0	áko áháłní, Díí diné ání, Diyin God bikin bii' sohodizin atídeeshłííł, áádóó táá' yiską́ąjį' áńdeeshdlíiłgo bíneesh'ą́, jiní. 
40:26:062:0	Áádóó aláahgo náá'iiłniihii nídii'na'go áhodííniid, Da' doósh ák'ihadidíídzih da? Díí dinéshą' ha'át'íí yee naa dahalne'? 
40:26:063:0	Nidi Jesus t'áadoo ák'ihazdoodzíi' da. Nít'éé' aláahgo náá'iiłniihii ánááhodoo'niid, Diyin God hináanii binahjį' ándishní, Christ, Diyin God biYe' daats'í nílínígíí bee nihił hólne'. 
40:26:064:0	Nít'éé' Jesus áháłní, Jó, bee háínídzíí'. Nidi ándishní, Diné Silį́į' ii éí Aláahgo Bidziilii yinish'náájí dah sidáago, índa yádiłhił biyi'dę́ę́' k'os bił yildohgo deidoołtsééł. 
40:26:065:0	Nít'éé' aláahgo náá'iiłniihii ák'ina'ooldláadgo ání, Diyin God baa'ihgo bá hadzoodzíí'. Ha'át'íishą' biniyé ła' ch'ínáádahót'aah doo? Jó, k'ad Diyin God baa'ihgo bá hadzoodzíi'go dahosidoots'ą́ą́'. 
40:26:066:0	Éí haash yit'éego baa nitsídaahkees? Nít'éé', Hodiyoolyééł lą́ą, dadííniid. 
40:26:067:0	Ákohgo hanii'jį' yik'ídahidizheeh, áádóó nídahoniłts'in, índa ła' yéego ninádahodiika'go, 
40:26:010:1	Peter éí, Jesus doo bééhasin da, jiní
40:26:068:0	ádaaní, Christ nílíinii, Diyin God yá halne'ii nílį́įgo háí nándííłts'in, bee nihił hólne'. 
40:26:069:0	Áko Peter tł'óo'di kin binaagi haz'ą́ągo biná'ástł'iní góne' dzizdá. Nít'éé' asdzání naal'a'í kóníigo hach'į' niníyá, Ni la' ałdó' Jesus Gáliliidóóígíí bił nanikai ni'. 
40:26:070:0	Nidi t'áá ałtso dabinááł dooda jidííniid, Baa yáníłti'ígíí doo shił bééhózin da, jiníigo. 
40:26:071:0	Áko ch'é'étiin haz'áníjį' ch'ízhníyáago náánáła' asdzání naal'a'í nááhoołtsą́, áko ákǫ́ǫ́ naazínígíí ííłní, Díí diné ałdó' Jesus Názarethdóóígíí yił naakai ni'. 
40:26:072:0	Áko dooda náázhdoo'niid, Éí dinéhígíí doo bééhasin da, jiníigo bee ádee hadzoodzíí'. 
40:26:073:0	Áádóó t'óó nááhodoo'na'go, ákǫ́ǫ́ naazínígíí Peter yaa yíkaigo ánáádeidoo'niid, T'áá aaníí ni ałdó' éí ła' ánít'į́, jó, nizaadígíí bee nééhózin. 
40:26:074:0	Áko ádił ni'jít'įįhgo ádee hanáázdoodzíí', Éí dinéhígíí doo bééhasin da. T'áá áko naa'ahóóhai biką'í ádííniid. 
40:26:075:0	Áko Peter éí Jesus, Naa'ahóóhai biką'í t'áadoo ániihí táadi doo hwééhasin da shididííniił, hodííniidii bééjoolnii'. Áko ch'ízhníyáago aníjíchago jíícha.
