40:10:001:1	Jesus éí naakits'áadahígíí náyiizláá'
40:10:028:0	Ats'íís deidiyoołhéełgo yídaneel'áanii nidi ii' sizíinii ts'ídá doo dayiyółhééł át'ée daígíí t'áadoo béédaałdzidí, nidi hool'áágóó ti'hoo'nííh bił haz'ą́ądi ii' sizíinii áádóó ats'íís t'áá yił íidoołdįįłgo yíneel'áanii béédaałdzid. 
40:10:029:0	Da' tsídiiłbáhíísh naakigo doo t'ááłá'í sindáo bą́ą́h ílį́įgo nahaniih da? Ákondi nihiTaa' doo íinízingóó t'ááłá'í nidi doo ła' ni'jį' nidootłish da. 
40:10:030:0	Jó nihitsii' t'ááłá'í níláhígo nidi ałtso dayéélta'. 
40:10:005:1	Diné binááł Christ bee ádééhozdoolzįįłígíí
40:10:031:0	Éí bąą t'áadoo nídaałdzidí; tsídiiłbáhí t'óó ahayóí nidi biláahgo da'nohłį́. 
40:10:032:0	Éí bąą t'áá háiida diné binááł shee ádééhodzílzinígíí, shí ałdó' shiTaa' yá'ąąshdi hólóonii bidááhdę́ę́' hwee ádééhodeeszįįł. 
40:10:006:1	K'é hólǫ́ doo bił níyáa da, nidi diltłish nítą́
40:10:033:0	Nidi t'áá háiida diné binááł, Doo hwééhasin da, shididooniiłígíí, shí ałdó' shiTaa' yá'ąąshdi hólóonii bidááhdę́ę́', Doo hwééhasin da, hodideeshniił.  
40:10:034:0	Nahasdzáán bikáa'gi t'áá k'é hólǫ́ǫ dooleeł biniyé jiníyá t'áadoo danohsingo shaa nitsídaahkeesí; k'é hólǫ́ǫ dooleeł doo biniyé níyáa da, nidi diltłish nítą́. 
40:10:035:0	Háálá diné bizhé'é yik'ijį' nilį́įgo, índa ach'é'é nilíinii bimá yik'ijį' nilį́įgo, áádóó azháá'áád nilíinii yizháá'áád nilíní yik'ijį' nilį́įgo ádadeeshłííł biniyé níyá, 
40:10:036:0	áko diné t'áá hó ha'áłchíní ła' hwe'ana'í danilį́į doo. 
40:10:037:0	T'áá háiida hazhé'é, doodaii' hamáda shiláahgo ayóó'ájó'nínígíí, éí doo shą́ą́h jílį́į da, índa t'áá háiida haye', doodaii' hatsi' shiláahgo ayóó'ájó'nínígíí, éí doo shą́ą́h jílį́į da. 
40:10:038:0	Áádóó t'áá háiida doo hatsin ałnáoszid nízhdiitįįhígíí áádóó doo shikéé' joogáłígíí, éí doo shą́ą́h jílį́į da. 
40:10:007:1	Nidoolyéełii
40:10:039:0	T'áá háiida jiinánígíí t'áá hó ádá shójoost'e'go éí yóó'azhdoołdił, áádóó t'áá háiida shí shiniinaa jiinánígíí yóó'azhdíí'ą́ągo éí jiinánígíí shóízhdoołt'eeł.  
40:10:040:0	T'áá háiida nihich'į' k'é nídzinígíí éí shich'į' k'éznídzin, áádóó t'áá háiida shich'į' k'éznídzinígíí éí Diyin God shiníł'a'ígíí ałdó' bich'į' k'éznídzin. 
40:10:041:0	T'áá háiida Diyin God yá halne'ii t'áá aaníí Diyin God yá halne'ii nilínígíí bąą bich'į' k'éznídzingo, éí Diyin God yá halne'ii baa doolyéełii haa doolyééł, áádóó t'áá háiida diné ts'ídá t'áá ákogi át'éii t'áá aaníí t'áá éí nilínígíí bąą bich'į' k'éznídzingo, éí diné ts'ídá t'áá ákwii át'éii baa doolyéełii haa doolyééł. 
40:10:042:0	T'áá aaníí ánihidishní, T'áá háiida díí a'ohgo ádaat'éii ła' shíhooł'aahii nilínígíí bąą tó sik'azii yidoodlį́į́ł biniyé baazhníką́ągo, éí haa doolyéłígíí ts'ídá t'áá aaníí haa doolyééł.
