47:1:001:1	K'é ha'níinii
47:1:012:0	Nihokáá' dine'é bitahgóó áádóó t'ah aláhídi át'éego nihí nihich'į'go diyingo índa Diyin God binááł t'áádóo nídí ádaa áhwiilyą́ągo hinii'náago nihił bééhózingo baa nihił dahózhǫ́ǫgo t'áá éí bee nisiidzį́. Éí doo nahasdzáán bikáá'dóó bee hódzáanii bik'ehgo íit'į́į da, nidi Diyin God nihaa joozba'ígíí bik'ehgo íit'į́. 
47:1:013:0	Háálá dayínółta'ígíí áádóó baa ákodanoozį́į'ii t'éiyá bee nihich'į' ak'e'iilchí, áádóó t'áá yíní át'éegi baa ákodanohsin dooleełígíí bíká shił chohoo'į́. 
47:1:014:0	T'áá íídą́ą́' doo t'áá át'éegi baa ákodanoozį́'ígíí éí nihaa hwii'niih dooleełígi át'éego nihí ałdó' aadi t'áá ákót'éego nihaa dahohniih dooleełígíí Bóhólníihii Jesus beiníłką́ądi índa ts'ídá t'áá át'éegi nihił béédahodoozįįł. 
47:1:015:0	Díidíígíí doo shił naaki nilį́į́góó bąą, naakidi t'áá ałkéé' nihaa náhwiijiidoobaał biniyé átsé nihaa deeshááł niizį́į́' nít'éé', 
47:1:016:0	háálá Masedóniyagóó yisháałgo átsé nihaa deeshááł, áádóó Masedóniyadę́ę́' t'ą́ą́' nááshdáałgo ałdó' nihaa náádeeshdááł áádóó índa Judíyagóó nihéénísdzáago shíká adoohjah niizį́į́' nít'éé'. 
47:1:017:0	Da' t'óósh ádíshníigo kódeeshnííł jiní, dashíínóh'ní? Da' nihokáá' dine'é k'ehgo naha'áii nahalingo nahash'áagoósh ádíshní, t'áá íídą́ą́', Aoo', aoo', dishníigoósh, Dooda, dooda, náádísh'níi doo? 
47:1:018:0	Diyin God ba'ahódlíii nilínígi át'éego saad bee nihich'į' hahasdziihii éí t'óó, Aoo', índa, Dooda, doo dishníi da. 
47:1:019:0	Háálá Silvéínas áádóó Timothy índa shí ałdó' nihitahgóó Diyin God biYe' Jesus Christ baa dahwiilne'ígíí éí, Aoo', índa, Dooda, doo ha'níinii át'ée da, nidi bí éí, Aoo' oołeełii nilį́. 
47:1:020:0	Háálá Diyin God t'áá ałtso yee nihwiiz'áanii Christ bee, Aoo' oołeełgo bohoolnííł, Diyin God baa ha'niih doo biniyé bí bee, T'áá ákót'ée doo, dadii'ní. 
47:1:021:0	Diyin God éí Christ bee ahee daniildzilgo índa diyingo ats'ánihinínil; 
47:1:022:0	t'áá éí bíí' niidlį́įgo bééhózingo ánihiilaa, índa biNíłch'i Diyinii t'áádóo nídí bee ééhózinii nilį́į doogo nihijéí yiih yiyííł'a'. 
47:1:023:0	Nidi doo yínííł biih dínóohdah da nisingo biniinaa Kórinthdi doo nihaa níyáa da, áko t'áá aaníí ádíshníigo Diyin God yee shá hadoodzihgo yíníshkeed. 
47:1:024:0	Nihe'oodlą' doo nihits'ą́ą́' bee ádíhwííníilníih da, háálá danołdzilgo nihe'oodlą' bee nisoozį́, nidi nihił dahoniilzhǫ́ biniyé nihineiilnish.
