47:11:001:1	Paul índa daal'aadii ádahodil'íinii
47:11:015:0	Éí bąą bá nidaal'a'í ałdó' łahgo át'éego ts'ídá t'áá ákogi é'ét'é yá nidaal'a'í nahalingo yí'ínídadiil'įįhígíí doo t'óó bik'ee ił ahayói da. Yaa nidaaskaígíí bik'ehgo até'él'į́ bii'jį' t'óó bá nidahwiizt'i' doo. 
47:11:016:0	K'ad díí bee hanáánásdziih, Ła'da doo la' áhojilyą́ą da, t'áadoo dashijó'níní, nidi nihí ła' ákódashíínóhníigo doo áhályáaniigi ánísht'éego t'óó yéego shił hada'íínółní, éí binahjį' shí ałdó' t'áá áłts'íísígo aa hodeesh'nih. 
47:11:017:0	K'ad díí bee yáshti'ígíí doo Bóhólníihii yee has'ą́ą da, nidi doo áhályáanii k'ehgo ádaa ha'niih bee ádaa jóshdlíigo ádíshní. 
47:11:018:0	Jó, lą'í nihokáá' bił nidahazt'i'ii yee ádaa daha'niih, éí lá bąą shí ałdó' ádaa hodeesh'nih ni. 
47:11:019:0	Jó, t'áá shį́į́ dahonohsą́ągo doo ádahalyáanii bizaad bąą nihił dahózhǫ́ǫgo bich'į' hada'íínółní! 
47:11:020:0	Háálá diné danilíinii naalte' ádanihósingo, doodaléi' t'óó nihaa nahodikaigo, doodaléi' na'adlo' yee łídanihicháazhgo, doodaléi' ayóó át'éii ída'dil'į́įgo, náádoodaléi' nihizanídadzilts'į́įh nidi éí t'áá ałtso bich'į' hada'íínółní. 
47:11:021:0	Ákónihidiilníłígi doo bíniildzil da, éí baa yániidzin!Ákondi t'áá háiida t'áá ha'át'íhígíida t'áadoo náhoniyésí bee ádaa hoji'niihgo shí ałdó' t'áadoo náhoniyésí t'áá éí bee ádaa hodeesh'nih (doo áhályáanii nahalingo ádíshní). 
47:11:022:0	Da' éísh Hííbrew dine'é danilį́? Shí lá ałdó' t'áá éí nishłį́ ni. Da' Ízrel dine'éésh danilį́? Shí lá ałdó' t'áá éí nishłį́ ni. Da' Éíbraham bits'ą́ą́dóó yichíiłiísh danilį́? Shí lá ałdó' t'áá éí nishłį́ ni. 
47:11:023:0	Da' Christ yá nidaal'a'iísh danilį́? Shí lá t'ah aláhígo yá'át'éehgo éí nishłį́ ni; naanish t'ah aláhídi ádaat'éii baa naashá, doo jóołta' ánéelą́ą'di náshidi'neesghaal, t'ah aláhídi át'éego awáalyaaí nísísdlį́į́', índa lą'ídi k'asdą́ą́' shi'diisyį́ (doo áhályáanii nahalingo ádíshní). 
47:11:024:0	Jew dine'é danilíinii tádiindóó ba'aan náhást'éidi nínádashidiiłtsxisgo ashdladi ákónéelą́ą'di nínádashineestsxas. 
47:11:025:0	Táadi tsin bee náshidi'neesghaal; łah tsé bee k'asdą́ą́' shił nidzílne'. Táadi tsinaa'eełtsoh shił názts'il; ła'a tł'éé' áádóó ła'a jį́ dah naash'eeł nít'éé'; 
47:11:026:0	nídíshdááhgóó díí bee bádahadzidii bitaa séyá, tooh danílíinii, aghada'ii'níiłii, t'áá shí shidine'é nilíinii, doo Jew dine'é danilíinii, kin hadaas'áii dabiyi'góó, dahonoojítahgóó áádóó tónteel bikáá'góó, áádóó ałk'isóó ádahodil'íinii bee bádahadzidii bitaa séyá, 
47:11:027:0	naanish shiiłhéego áádóó shich'į' nahwii'náago ti'hwiisénii', haa shį́į́ néelą́ą'di tł'éé' bíighah doo ashhoshgóó dichin áádóó dibáá' nishłį́įgo, t'áá ahą́ą́h ch'iyáán t'áágééd tádííyá, yishdlóohgo, éé' bídin nishłį́įgo tádííyá. 
47:11:028:0	Áádóó náánáła' bik'ee ti'hwiisénii'ígíí t'áadoo ch'ídaash'a'í, da'oodlání áłah nídaadleehii t'áá ałtso baa áháyą́ągi t'áá ákwíí jį́ bich'į' shíni' íí'á. 
47:11:029:0	Ła'da bi'oodlą' doo bidziilgóó shí éí shił bahojoobá'í. Ła'da adoosihjį' abidi'noot'aa'go éí biniinaa doo shił haldin da. 
47:11:030:0	Ts'ídá ádaa hash'niih dooleeł ládą́ą́', t'áá ha'át'íhída doo shidziilgóó ásósinígíí t'éí bee ádaa hash'niih doo. 
47:11:031:0	NihiBóhólníihii Jesus Christ biDiyin God t'áá éí biTaa' nilíinii, hool'áágóó baa ha'niihii, bił bééhózingo doo shiyooch'íid da. 
47:11:032:0	Damáskasdi kin haal'áhígíí Áretas naat'áanii nilínígíí bá yinanit'a'í nilíinii bisiláo shił nidadoodił biniyé hada'ídół'į́į́', yiłníí nít'éé', 
47:11:033:0	nidi kin haal'áii ditą́ągo binaa ahéé'ítł'inígíí tsésǫ' góyaa ts'iizis shił bidaadlo'go biyaa háíyá. 
