9:17:001:1	David éí Goláíyath yiyiisxį́
9:17:037:0	Áádóó David ánáádoo'niid, Bóhólníihii éí náshdóítsoh bitsiijį' ditł'oii índa shash ałdó' bits'ą́ąjį' yisdáshííłtį́; t'áá ákót'éego ałdó' díí Filístiya dine'é bits'ą́ąjį' yisdáshidoołtééł. Áádóó Saul éí David áyidííniid, Nílááhánee', Bóhólníihii nił hólǫ́ǫgo bich'į' hidídááh. 
9:17:038:0	Ákohgo Saul éí habee na'abaahí David bee hazhdiilaa áádóó béésh łitsoii ch'ah bik'izhdíí'ą́ índa béésh éé' bee na'abaahii biih jííłtį́. 
9:17:039:0	Áko David hadiltłish bił béésh éé' bee áká dzíszasgo ch'ééh dashdiighááh, háálá doo chójooł'į́į da nít'éé'. Áádóó David éí Saul ábizhdííniid, Díí doo bee ákǫ́ǫ́ deesháał da, háálá doo bídínéeshnáa da. Áko David éí t'óó háidii'nil. 
9:17:040:0	Áádóó bigish t'éí néidiitą́ągo tó nílínídę́ę́' tsé dadilkǫǫhígíí ashdla'go néidiinilgo na'niłkaadii bidah na'ayizii biih jíínil, índa bee aditł'į́į́h ałdó' hálák'ee siláago Filístiya dine'é bit'áahjį' joogááł. 
9:17:041:0	Áádóó Filístiya diné ch'íníyá áádóó David yit'áahjį' niheelwod; diné naagé bá nei'áhígíí bilą́ąjį' yigááł. 
9:17:042:0	Áko Filístiya diné naaghalgo David yiyiiłtsą́ągo t'óó yánahałt'i'go yeidloh, háálá t'ahdii ashkii t'óó łichíi'go bííyisii jílį́. 
9:17:043:0	Áko Filístiya diné éí David áyidííniid, Łééchąą'í haniih nishłį́; gish t'éiyá bił shich'į' yílwoł? Áko Filístiya diné bidiyin dabidi'níinii yinahjį' hóyée'go David yá haadzíí'. 
9:17:044:0	Filístiya diné éí David áyidííniid, Aadę́ę́' shaa hinídááh, áko tsídii wódahgo nidaat'a'ígíí áádóó naaldlooshii da'ałchinii bich'į' nits'íís ahideeshxą́ą́ł. 
9:17:045:0	Áádóó David éí Filístiya diné áyidííniid, Ni éí diltłish áádóó tsiidétáán índa naagé bił shich'į' híídááł, nidi t'áá ałtsoní bee Bóhólníihii éí Ízrel dine'é bisiláo biDiyin God nabí'í'įįhii bízhi' bee nich'į' heeshdááł. 
9:17:046:0	Díí jį́ Bóhólníihii shílák'ee nididoo'áałgo naa anízhdeeshtł'į́į́ł áádóó nitsiits'iin nidi'deesh'ááł, áko díí jį́ tsídii áádóó nahasdzáán bikáa'gi naaldlooshii da'ałchinii bich'į' Filístiya dine'é bisiláo dabits'íís nidaaztseedii ahideeshtł'ił, áko éí bee nahasdzáán nidahonees'ą́ą́góó kéédahat'íinii díí bił béédahodoozįįł: Ízrel dine'é bitahgi Diyin God hólǫ́. 
9:17:047:0	Áádóó díí áłah nilínígíí díí bił béédahodoozįįł: Bóhólníihii éí diltłish índa tsiidétáán doo yee yisdá'iiníił da. Jó, Bóhólníihii t'áá bí ana'ał'į́, áko bí nihílák'ee nihididoo'ááł. 
9:17:048:0	Áádóó Filístiya diné éí David yich'į' nihiníyáago David éí Filístiya diné bił ahizhdoogą́ąłjį' tsį́įłgo nihijílwod. 
9:17:049:0	Áko David bidah na'ayizii yiih doolnii'go tsé hayíí'ą́ągo yee adzíítł'in, nít'éé' Filístiya diné bítáá' góne' yił dzideeztł'ingo bítáá' góne' tsé baa aalwodgo ni'jį' íítłizh. 
9:17:050:0	Kót'éego David habee aditł'į́į́h áádóó tsé bee Filístiya diné naa abíijíítł'ingo bik'eh dzideesdlį́į'go dziisxį́; David éí diltłish doo ła' neitin da nít'éé'. 
9:17:051:0	Áko David nídiilwodgo Filístiya diné yik'i dah yiizį'go Filístiya diné bidiltłish hayíítą́ągo yee yiyiisxį́ áádóó bik'os k'íiníłhaalgo bitsiits'iin na'iidii'ą́. Áko índa Filístiya siláo éí bá ak'eh didlíinii bi'diisyį́įgo dayii łtsą́, áko yóó'aheezhjéé'. 
9:17:052:0	Áádóó Ízrel siláo índa Júdah siláo dadilwoshgo Filístiya siláo yich'į' nídiijéé'; hahodiildzisgóó Ékran kin haal'á biná'ástł'inígíí bich'é'étiinjį' adeineeskaad. Shéíyaréíyim kin shijaa'dóó Gath kin haal'áajį' índa Ékran kin haal'áajį' Filístiya siláo atídayiilaago diníbéézh. 
9:17:053:0	Áko Ízrel siláo éí Filístiya siláo dayinééłkaad yę́ędę́ę́' ninádahaaskaigo Filístiya siláo dah yinéłígi binaalye'é yits'ą́ą́' nídeidiinil. 
9:17:054:0	Áko David éí Filístiya diné bitsiits'iin néidii'ą́ągo Jerúsalem kin haal'áágóó néiní'ą́, nidi béésh éé' yee naabaah yę́ę haníbaal bii' nizhnínil. 
9:17:055:0	David éí Filístiya diné bich'į' nízhdiibaa' yę́ędą́ą́' Saul hoołtsą́ągo Ábner siláo binanit'a'í áyidííniid, Ábner, díí dinééhshą' háí biye'? Áádóó Ábner ání, Aláahgo naat'áanii nílíinii, ts'ídá t'áá aaníí hiníná; ákót'éego ts'ídá t'áá aaníí doo bééhasin da. 
9:17:056:0	Áko aláahgo naat'áanii ánáádoo'niid, Díí dinééh lá háí biye'go át'į́į́ lá bína'ídíłkid. 
9:17:057:0	Áko David éí Filístiya diné dziisxį́į́dę́ę́' nídzídzáago Ábner éí Saul yidááhdóó hoł niní'áazhgo Filístiya diné yę́ę bitsiits'iin dah joo'ááł. 
9:17:058:0	Áko Saul áhodííniid, Dinééh nílíinii, háishą' biye' nílį́? Áko David áhodííniid, Béthlehem dine'é Jésii ná naal'a'í nilíinii biye' nishłį́.
