16:7:001:1	Niihemáíyah éí Jerúsalem kin haal'áii bá naat'áanii niyiiznil
16:7:064:0	Díí diné éí náánáła' ałkéé' nidahazhchínígíí bik'ehgo naaltsoos biyi' bízhi' ádaalyaaígíí bitah házhi' ch'ééh hadazneeztą́ą́' , nidi haa'ída doo bik'iisdzoh da ; éí bąą doo dazhdiyingóó haa nitsídahakeesgo náá'iiłniihii doo dazhdooleełgóó nahjį' haho'doo'nil .
16:7:065:0	Áko naat'áanii áhodííniid , Náá'iiłniihii ła' Yúrim áádóó Thámmim yił deizį'go índa agháago dadiyinii dadoohsį́į́ł .
16:7:066:0	Diné t'áá yíl'áá nít'éé' éí dízdiindóó ba'aan naakidi mííldóó ba'aan táadi neeznádiindóó ba'aan hastą́diin ánéelą́ą́' ,
16:7:067:0	éí bighą́ąhjį' diné bá nidaal'a'ígíí áádóó asdzání bá nidaal'a'ígíí éí tsosts'idi mííldóó ba'aan táadi neeznádiindóó ba'aan tádiindóó ba'aan tsosts'id ánéelą́ą́' , áádóó náá'ákóne' diné dahataałígíí índa asdzání dahataałígíí naakidi neeznádiindóó ba'aan dízdiindóó ba'aan ashdla' ánéelą́ą́' .
16:7:068:0	Dahalį́į́' éí tsosts'idi neeznádiindóó ba'aan tádiindóó ba'aan hastą́ą́h , dahadzaanééz éí naakidi neeznádiindóó ba'aan dízdiindóó ba'aan ashdla' ,
16:7:069:0	dahaghą́ą́'ask'idii éí dį́įdi neeznádiindóó ba'aan tádiindóó ba'aan ashdla' , dahatélii éí hastą́ądi mííldóó ba'aan tsosts'idi neeznádiindóó ba'aan naadiin ánéelą́ą́' .
16:7:070:0	Ła' hatahgóó azhé'é aláahgo bídahólníihii naanish yá béeso adayiiznil . Naat'áanii éí óola t'ááłáhídi mííl dah hidiidlohgo , óola łeets'aa' ashdladiingo índa náá'iiłniihii dabi'éé' ashdladi neeznádiindóó ba'aan tádiin ayíínil .
16:7:071:0	Nááná ła' azhé'é aláahgo bídahólníihii éí óola naakidi neeznádiindóó ba'aan tsosts'idiindóó ba'aan táá' dah hidiidlohgo índa béésh łigaii táadi mííldóó ba'aan naakidi neeznádiindóó ba'aan ashdla'áadah dah hidiidlohgo naanish biniyé adayiiznil .
16:7:072:0	Łahjį' dinéhígíí óola éí naakidi neeznádiindóó ba'aan tsosts'idiindóó ba'aan táá' dah hidiidlohgo áádóó béésh łigaii éí naakidi mííldóó ba'aan náhást'éidi neeznádiindóó ba'aan naadiin táá' dah hidiidlohgo índa náá'iiłniihii dabi'éé' éí tsosts'idiin adayiiznil .
16:7:003:1	Ézra éí diné bich'į' bee haz'áanii yiyííłta'
16:7:073:0	Áko nááda'iiłniihii índa Líívai dine'é áádóó dáádílkał yaa ádahalyáanii índa diné dahataałii áádóó dine'é ła' índa Néthinim dine'é éí Ízrel dine'é t'áá ałtso hakin hadaas'áágóó kéédahojit'į́ . Tsosts'id nídízííd baa hoolzhiizhgo Ízrel dine'é éí bikin hadaas'áagi kéédahat'į́į́ nít'éé' .
