16:9:001:1	Ízrel dine'é ádił da'asiihígíí Ézra yaa hoolne'
16:9:011:0	Bidááhgóó tónteel aháíníłk'olgo tónteel bita' gónaa łeezh yíłtsei yikáá' ha'naa niníná , índa bik'ee nidanoochą́ą'ii éí tó ayóó íídéetą́ą'ii tsé biih jiyííłhanígi át'éego táłtł'ááh hwííníghaz .
16:9:012:0	Áádóó náá'ákóne' yí'ishgo bikáa'di jį́įgo k'os níyizgo yilzhoł , índa tł'ée'go éí yinééłgóó bee bá hool'in doo biniyé bikáa'di kǫ' níyizii bik'ehgo yííní'eezh .
16:9:013:0	Náá'áłdó' Dził Sáínai bighą́ą'di hadah hwííníle'go yá'ąąshdę́ę́' bich'į' háínídzíí' áádóó t'áá ákóne' át'éego bee nihodiit'aahii áádóó t'áá aaníí bee nahaz'áanii índa yá'át'éehgo bee nihoyíní'áanii áádóó bik'eh ó'oo'níiłii haa dííní'ą́ ,
16:9:014:0	áádóó hodiyingo niháá'áyį́į́h jį́ bił béédahózingo íinilaa índa bik'ehgo iináanii áádóó bee nihoyíní'áanii índa bee nahaz'áanii ná naal'a'í Mózes binahjį' bee bich'į' hahíínídzíí' ,
16:9:015:0	índa dichin danilį́įgo yá'ąąshdę́ę́' bááh baa dííní'ą́ áádóó dibáá' danilį́įgo tsé bii'dę́ę́' tó bá háálį́įgo íinilaa , áádóó , Kéyah baa didíí'áałgo bee ádee hadíínídzíi'ii nihílááh biih wohnéehgo nihíí' daóle' , bidiníigo bich'į' háínídzíí' .
16:9:016:0	Nidi bí áádóó danihizhé'é yę́ę ádaa daha'niihgo índa doo nabída'didzilgóó nibik'eh ó'oo'níiłii doo dayíists'ą́ą' da ,
16:9:017:0	doo t'áá k'ad ak'eh dahóół'įįd da , índa bitahgi álílee k'ehgo ayóó ádaat'éii baa nisíníyáhígíí doo t'áá k'ad yaa nitsídaazkéez da , nidi doo nibída'didzilgóó áádóó dooda yee nidaalteehgo yisnááh danilį́į́ nít'éé' yę́ęgóó náboo'ish dooleełii ła' ádá nideistį́ , nidi ni Diyin God nílíinii , ádił ni'iidzííh tsxį́įłgo yóó'anídiyí'aahii áádóó jiiníba'ii áádóó aa a'ááh nízinii áádóó tąądee báháchįįhii índa t'áá íiyisí nił hadlee'go jooba'ii nílį́ , áko doo yóó'adahodííní'ą́ą da .
16:9:018:0	T'áá aaníí óola doolyį́į'go béégashii yáázh ádá ádayiilaago , Díí nihiDiyin God éí Ííjip kéyahdę́ę́' ch'ínihiní'eezhii át'į́ , dadííniidgo ayóó át'éego doo ílį́į́góó ádáát'įįdígíí yee hádahóółchįįd ;
16:9:019:0	azhą́ ákót'ée nidi , ayóó át'éego baa a'ááh nínízingo honoojíidi t'áadoo yóó'ahodííní'ą́ą da : jį́įgo hakáa'di k'os níyizgo yildohgo bik'ehgo joonéłígíí t'áadoo hats'ą́ą́' yóó'eelzhóod da , índa tł'ée'go hakáa'di kǫ' níyizii bik'ehgo joonééłgóó bee hool'inii t'áadoo hats'ą́ą́' dahodiile' da .
16:9:020:0	Áádóó ałdó' ninábintįįh dooleeł biniyé niNíłch'i Diyinii jooba'ii baa nídí'ááh nít'éé' áádóó deidooyį́įłii bá mána wolyéii doo bits'ábíínílnáa da nít'éé' índa dibáá' danilį́įgo tó baa hidí'aah nít'éé' .
16:9:021:0	T'áá aaníí honoojíidi baa áhólyą́ągo dízdiin nááhai , áko t'áadoo yídin danilíní da nít'éé' ; dabi'éé' éí t'áadoo dadiizhaazh da , dabikee' éí t'áadoo daniichaad da .
16:9:022:0	Náá'áłdó' kédaayah áádóó dadine'é t'áá bił bee hódahólníih doo biniyé kéyah nidahós'a' t'áá át'é bá bitaa hosínízo , áko Héshban kin haal'áádóó aláahgo naat'áanii Sáíhan wolyéii bikéyah índa Béíshan kéyahdóó aláahgo naat'áanii Ag wolyéii bikéyah hwíí' daazlį́į́' .
16:9:023:0	Yádiłhił biyi' di sǫ' yíl'áhígi át'éego bada'áłchíní ałdó' k'ee'ąą díníníłt'ą́ , índa kéyah hóó' dadooleeł biniyé biih dazhdoonéełgo dahazhé'é yę́ę baa dííní'áanii biih hwííní'eezh .
16:9:024:0	Áko Ízrel dine'é éí kéyah yiih yínáago bíí' daazlį́į'go éí kéyah yii' kéédahat'į́į́ nít'éé' yę́ę Kéínan dine'é bik'eh dínídlį́į́' , áko t'áá hó daznízinígi át'éego ádazhdoolííł biniyé éí kéyahdóó aláahgo naat'áanii danilíinii índa dadine'é hálák'ee dadííní'ą́ .
16:9:025:0	Áádóó bidziilgo kin hadaas'áii índa kéyah bikáá' nida'nt'ą'ii nishódadziyoost'e' áádóó yá'ádaat'éehii t'áá ałtso kin bii' hadadeezbingo áádóó tó t'áá áłdįįd hadahaas'nilgo áádóó ch'il na'a'tł'o'ii deíl'áago áádóó áliv deíl'áago índa tsin naazkaadii bineest'ą' ał'ąą ádaat'éii t' óó ahayóigo hwíí' daazlį́į́' , áko da'jiyą́ągo hwiih nídajidleeh áádóó hoda'niilk'ai índa ayóó át'éego jiiníba'ígíí bąą hoł nidahoozhǫǫh nít'éé' .
16:9:026:0	Azhą́ ákót'ée nidi , doo ak'eh dahóół'įįd da índa nich'į' nidaalteehgo nibee haz'áanii yaa dáádiikai áádóó nich'į' dah nídahizhdidookah biniyé doo ákǫ́ǫ́ ádáát'įįdii éí ná dahalne'ii yee bił nídahoolne' yę́ę nideistseed índa ayóó át'éego doo ílį́į́góó ádáát'įįdígíí yee ná dahóółchįįd .
16:9:027:0	Éí bąą hoda'ana'í bílák'ee hodííní'ą́ągo ti'dahoyoosnii' , áádóó hach'į' nidahwii'náago hoolzhish yę́ędą́ą́' nídanookąąhgo yá'ąąshdę́ę́' dahodisíníts'ą́ą́' , áádóó lą'ígóó aa a'ááh nínízinii bik'ehgo yisdáda'iiníiłii haa dadííní'ą́ ; éí hoda'ana'í bits'ą́ąjį' yisdádahwiiznil .
16:9:028:0	Nidi háádaasyį́į́'dóó bik'ijį' ninááł doo yá'áshónígi ánáádáát'įįd ; éí bąą hoda'ana'í t'áá biyaa dziznilgo áhwiinilaa , áko éí hwee ádídahólnííh nít'éé' , nidi nich'į' dah nídahidiikaigo áádóó nídanooskango yá'ąąshdę́ę́' dahodisíníts'ą́ą́' índa haa a'ááh nínízinígíí bik'ehgo lą'ídi yisdáhwííníjaa' ,
16:9:029:0	áádóó nibee haz'áanii bik'eh náádahojíł'į́įgo baa náhoyí'éesh doo biniyé bee hwi'ííníłnii' nít'éé' ; azhą́ ákót'ée nidi , ádaa daha'niihgo nibik'eh ó'oo'níiłii doo dayíists'ą́ą' da , nidi ádił nida'iilzíihgo nibee nihodiit'aahii yik'ijį' danilį́į́ nít'éé' , ( éí diné yik'ehgóó áát'įįdgo yee hináa doo ; ) éí yich'į' ádił nída'alnaad nít'éé' áádóó doo nibída'didzil da nít'éé' índa doo t'áá k'ad da'diizts'ą́ą' da .
16:9:030:0	Nidi lą'í nááhaigóó ha'íínílníigo hoolzhiizh áádóó hak'ijį' nílį́įgo ná dahalne'ii niNíłch'i Diyinii bii' dahólóonii bee hoł dahwíínílne' , nidi doo dajíists'ą́ą' da ; éí bąą kéyah naaznilgóó dine'é danilíinii bílák'ee dahodííní'ą́ .
16:9:031:0	Nidi ayóó át'éego aa a'ááh nínízinígíí bąą t'áadoo áhosíníłdįįd da índa t'áadoo yóó'ahodííní'ą́ą da , háálá Diyin God t'áá íiyisí jooba'ii índa aa a'ááh nízinii nílį́ .
16:9:032:0	Éí bąą k'ad , nihiDiyin God nílíinii , Diyin God ayóó'át'éii áádóó bidziilii índa bik'e'íyée'ii nílíinii , bee aha'deet'áanii bi'íínísinii áádóó aa a'ááh hasin bee ááníiłii nílíinii , Asíriya dine'é aláahgo binanit'a'í dah nídahidinoobįįł yę́ędóó díí jį́įjį' nihí áádóó aláahgo nihindanit'a'í áádóó nihinanit'a'í danilíinii áádóó nihá nááda'iiłniihii , íinínízinii yee nihił dahalne'ii áádóó danihizhé'é yę́ę índa nidine'é t'áá ałtso nihich'į' dahodiis'ná'ígíí t'áá át'é t'áadoo t'įįhdígo át'éego baa nitsíníkeesí .
16:9:033:0	Ákondi ánihi'diilyaaígíí t'áá ałtso bee t'áá ákogi ánít'į́ , háálá ni t'áá ákogi áánííł , nidi nihí éí doo yá'áshǫ́ǫ́góó ádeii'nííł ,
16:9:034:0	áádóó aláahgo nihindanit'a'í áádóó nihinanit'a'í danilíinii áádóó nihá nááda'iiłniihii índa danihizhé'é yę́ę nibee haz'áanii doo yik'eh dahóół'įįd da , áádóó nibik'eh ó'oo'níiłii índa bee hahínídzíi'ii éí bee hak'ijį' nílį́įgo háínídzí' ígíí doo dayíists'ą́ą' da .
16:9:035:0	Jó , bee hódahólníihgo haz'ą́ą́dóó áádóó t'áá íiyisí yá'ádaat'éehii índa kéyah hótsaago bikáá' áda'azįįdii baa dííní'áanii éí bikáá'góó t'áadoo ná nidaas'a' da , índa doo yá'áshǫ́ǫ́góó ádaaníiłii t'áadoo yits'áhaaskai da .
16:9:036:0	Jó , díí jį́ ná nidaal'a'í daniidlį́ , áádóó kéyah bikáá'dóó aneest'ą' danilíinii índa yá'át'éehii danihizhé'é yę́ę deiyą́ą doo biniyé baa dííní'áanii , shoo , éí biyi' ná nidaal'a'í daniidlį́ ;
16:9:002:1	Ízrel dine'é éí bee haz'áanii yik'eh dahół'į́į doo ahada'deest'ą́
16:9:037:0	ádił nida'ayiilzí'ígíí biniinaa aláahgo naat'áanii nihindant'áago ádeinilaaígíí éí kéyah bikáá'góó t'óó ahayóí bá nida'nt'ą' áádóó ałdó' baa bił dahózhǫ́ǫgo nihits'íís índa danihilį́į́' yee ádídahólnííh , áko nihí éí t'áá íiyisí ádił nitsiniikai .
16:9:038:0	Díí t'áá ałtso biniinaa bee aha'deet'áanii t'áá aaníí nilíinii ádeiilnéehgo ak'eda'iilchí ; éí nihinanit'a'í danilíinii áádóó Líívai dine'é índa nihá nááda'iiłniihii dabízhi' yikáá' ádeidoolííł .
