4:22:001:1	Béílak éí Béílam yíká i'ííł'a'
4:22:030:0	Áádóó télii éí Béílam ííłní , Da' doósh nitélii nishłį́įgo níí' sélį́į́' bijį́į́dóó wóshdę́ę́' díí jį́įjį' tándííyį́į da ? Łahdaásh kóniishłaa ? Ákohgo , Nidaga' , jidííniid .
4:22:031:0	Nít'éé' Bóhólníihii éí Béílam bináá' yee iidoołtséełgo áyiilaa índa Bóhólníihii bidiyingo naal'a'í diltłish dah yootį́įłgo atiingi dáádinízį́įgo jiiłtsą́ , áko ni'jį' tsé'yaa jineeshjool .
4:22:032:0	Áádóó Bóhólníihii bidiyingo naal'a'í áhodííniid , Ha'át'éegoshą' táadi nitélii náníníłhaal ? Jó , nich'ą́ą́h nideeshááł biniyé naa honíle' , háálá doo ts'ííd ánít'éégóó ninísh'į́ .
4:22:033:0	Áko díí télii náshiiltséehgo táadi shik'ee'ąą hááyá ; éí t'áadoo ákódzaagóó niyéłhį́į́ shį́į́ doo nít'éé' ; bí éí t'áá hináa doo .
4:22:034:0	Áádóó Béílam éí Bóhólníihii bidiyingo naal'a'í ííłní , Ádił asésiih ; jó , shidáádíínízínígíí doo shił bééhózin da lá , nidi k'ad yisháłígíí doo nił yá'át'ééhgóogo t'óó t'ą́ą́' nihéédeeshdááł .
4:22:003:1	Béílam áádóó Béílak
4:22:035:0	Bóhólníihii bidiyingo naal'a'í Béílam ííłní , Nílááh , diné bił yíkah , nidi saad bee nił hashne' dooígíí t'éiyá bee hahídziih doo . Kót'éego Béílam éí Béílak yił naat'áanii danilíinii bił dah náázhdiikai .
4:22:036:0	Áko Béílak éí aadę́ę́' Béílam yigáałgo yaa hodiizts'ą́ą́' , áko Mó' ab kéyah biyi' kin haal'áhídi Árnan tooh nílíní bee hoodzooígi yidááh doogáałgo ákǫ́ǫ́ dah diiyá .
4:22:037:0	Béílak éí Béílam ííłní , Da' doósh t'áá íiyisí shaa díínááł nidideeshniił biniyé nich'į' i'ííł'a' da ? Ha'át'éegoshą' t'áadoo shéíníyáa da ? Ił ídlíinii bee náás nideesht'eełígíísh doo bíneesh'ą́ą da ?
4:22:038:0	Áádóó Béílam éí Béílak ííłní , Jó , k'ad kǫ́ǫ́ naa níyá ; k'adísh shí bee óhólnííh shee hólǫ́ǫgo bee hadeesdzih ? Jó , Diyin God éí saadígíí shizeidooléełgo bee yáshti' doo .
4:22:039:0	Áko Béílam éí Béílak bił dashdii'áazhgo Kírjath-házath kin shijaa'jį' jiní'áázh .
4:22:040:0	Áádóó Béílak éí béégashii áádóó dibé nááyiisnii' , áádóó Béílam índa naat'áanii hoł naakaígíí ałdó' ła' ya'níłtsood .
4:22:041:0	Áko biiskání Béílak éí Béílam yił dah dii'áazhgo Béíyal e'elyaii yich'į' ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaadóó Ízrel dine'é t'áá dah yinééł nít'éé' yizdoołtsééł biniyé ákóde hoł haazh'áázh , ndi t'áadoo ałtso jiiłtsą́ą da .
