4:1:001:1	Sáínai honoojíidi Ízrel dine'é bi'déélta'
4:1:032:0	Jóseph ba'áłchíní nilíinii , Íífreiyim dine'é náás ahoolchíiłii ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę yada'áłchíní danilį́įgo dabi'déélta'ígíí dabízhi' bik'ehgo naadiindóó yówehgo béédááhaii t'áá ałtso ana'al'į́ yídaneel'áanii
4:1:033:0	éí Íífreiyim dine'é bits'ą́ą́dóó dízdiindi mííldóó ba'aan ashdladi neeznádiin ánéelą́ą́' .
4:1:034:0	Áádóó Manáseh dine'é nilíinii bidine'é náás ahoolchíiłii éí ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę yada'áłchíní danilį́įgo éí dabi'déélta'ii dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii t'áá ałtso ana'al'į́ yídaneel'áanii
4:1:035:0	éí Manáseh dine'é bits'ą́ą́dóó tádiindóó ba'aan naakidi mííldóó ba'aan naakidi neeznádiin ánéelą́ą́' .
4:1:036:0	Bénjamin dine'é nilíinii bidine'é náás ahoolchíiłii éí ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę yada'áłchíní danilį́įgo éí dabi'déélta'ii dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii t'áá ałtso ana'al' į́ yídaneel'áanii
4:1:037:0	éí Bénjamin dine'é bits'ą́ą́dóó tádiindóó ba'aan ashdladi mííldóó ba'aan dį́įdi neeznádiin ánéelą́ą́' .
4:1:038:0	Dan dine'é nilíinii bidine'é náás ahoolchíiłii éí ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę yada'áłchíní danilį́įgo éí dabi'déélta'ii dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii t'áá ałtso ana'al'į́ yídaneel'áanii
4:1:039:0	éí Dan dine'é bits'ą́ą́dóó hastą́diindóó ba'aan naakidi mííldóó ba'aan tsosts'idi neeznádiin ánéelą́ą́' .
4:1:040:0	Ásher dine'é nilíinii bidine'é náás ahoolchíiłii éí ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę yada'áłchíní danilį́įgo éí dabi'déélta'ii dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii t'áá ałtso ana'al'į́ yídaneel'áanii
4:1:041:0	éí Ásher dine'é bits'ą́ą́dóó dízdiindóó ba'aan t'ááłáhídi mííldóó ba'aan ashdladi neeznádiin ánéelą́ą́' .
4:1:042:0	Náftalai dine'é nilíinii bidine'é náás ahoolchíiłii éí ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę yada'áłchíní danilį́įgo éí dabi'déélta'ii dabízhi' bik'ehgo diné naadiindóó yówehgo béédááhaii t'áá ałtso ana'al'į́ yídaneel'áanii
4:1:043:0	éí Náftalai dine'é bits'ą́ą́dóó ashdladiindóó ba'aan táadi mííldóó ba'aan dį́įdi neeznádiin ánéelą́ą́' .
4:1:044:0	Mózes áádóó Éran éí díí diné yiyííłta' ; éí Ízrel dine'é binaat'áanii naakits'áadahgo dabizhé'é yę́ę yik'eh nízį́įgo bił ajííłta' .
4:1:045:0	Kót'éego díí Ízrel dine'é t'áá ałtso yéélta'ígíí éí dabizhé'é yę́ę bits'ą́ą́dóó bik'ehgo Ízrel dine'é naadiindóó yówehgo béédááhaii t'áá ałtso ana'ííł'į́ yídaneel'áanii
4:1:002:1	Líívai dine'é éí níbaal bii' hodílzinii baa ádahojilyą́ą doo biniyé niho'dee'nil
4:1:046:0	éí t'áá ałtso yéélta'go hastą́ądi neeznádiindóó ba'aan táadi mííldóó ba'aan ashdladi neeznádiindóó ba'aan ashdladiin ánéelą́ą́' .
4:1:047:0	Nidi Líívai dine'é éí dabizhé'é yę́ę bik'ehgo t'áadoo atah dabi'déélta' da .
4:1:048:0	Háálá átséedi Bóhólníihii éí Mózes yich'į' haadzíi'go áyidííniid ,
4:1:049:0	T'áá hazhó'ó Líívai dine'é t'éiyá doo yídííłtah da , doo nidi Ízrel dine'é bitahjį' bił íídííłtah da .
4:1:050:0	Nidi Líívai dine'é éí níbaal bii' hodílzinii , éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii , áádóó łeets'aa' t'áá át'é índa t'áá ałtsojį' bił chodao'íinii bee hódahólníih doogo nihodíínił , índa níbaal bii' hodílzinii áádóó t'áá ałtsojį' bił chodao'íinii t'áá bił nidajiyéego baa ádahojilyą́ą dooleeł , índa níbaal bii' hodílzinii binaagóó ninádaji'néeh doo .
4:1:051:0	Áko níbaal bii' hodílzinii nihidoogéełgo Líívai dine'é éí ninádei'dii'áah doo , índa nináádoot'áałgo Líívai dine'é éí ninádei'áah dooleeł , índa t'áá háiida doo Líívai dine'é nilíinii níbaal bii' hodílzinii yíighahjį' deeyáii éí bidi'yoolyééł .
4:1:052:0	Áádóó Ízrel dine'é éí dahaníbaal ninádaji'nił doo ; diné t'ááłá'í nízínígo t'áá hó haníbaal ninát'áahgi , t'áá hó hadah na'at'a'í bíighahgi ninádaji'néeh doo .
4:1:053:0	Nidi Líívai dine'é éí níbaal bii' hodílzinii , éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii , binaagóó biníbaal ninádei'nił doo , áko Ízrel dine'é dah yinéełii atí'él'į́ doo bik'i hwiidooleeł da ; Líívai dine'é éí níbaal bii' hodílzinii , éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii , bee bídahólníihgo yaa ádahalyą́ą doo .
4:1:054:0	Áko Ízrel dine'é t'áá ákǫ́ǫ́ ádaadzaago Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí t'áá át'é yik'eh ádaadzaa .
