4:31:001:1	Mídiyan dine'é k'éébi'diilyaa áádóó binaalye'é bąąh dahoołdee'
4:31:028:0	Nidaazbaa'ii baa dahaas'nilígíí bits'ą́ą́dóó Bóhólníihii bich'į' nályééh nideidiyooleełgo bich'į' daał'á ; t'áá ha'át'íhída ashdladi neeznádiin ánéelą́ą'go bits'ą́ą́dóó t'ááłá'ígo ats'ádahidoołtééł : éí bíla' ashdla'ii nilíinii áádóó béégashii áádóó télii índa dibé .
4:31:029:0	Díí ła' ałníí'dóó bits'ą́ą́' nídadidoohniłgo náá'iiłniihii Eliyéízar baa dadoohniłgo éí Bóhólníihii yich'į' yił dah nídiilnihgo néidiyoołnih .
4:31:030:0	Áádóó łahjį' ałníí'dóó Ízrel dine'é baa dahaas'nilígíí t'áá ha'át'íhída ashdladiin ánéelą́ą'go bits'ą́ą́dóó t'ááłá'ígo ats'ádahidoołtééł : éí bíla' ashdla'ii nilíinii áádóó béégashii áádóó télii áádóó dibé índa da'alį́'ígíí t'áá ał'ąą ádaat'éii éí Líívai dine'é Bóhólníihii biníbaal bii' hodílzinii yaa ádahalyáanii baa dadidooh'ááł .
4:31:031:0	Áko Mózes áádóó náá'iiłniihii Eliyéízar , Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí bik'ehgo ádziidzaa .
4:31:032:0	Áko nidaazbaa'ii t'áá ha'át'íhída daasnáanii daadziihígíí éí dibé hastą́ądi neeznádiindóó ba'aan tsosts'idiindóó ba'aan ashdladiindi miil ánéelą́ą́' ,
4:31:033:0	béégashii éí tsosts'idiindóó ba'aan naakidi miil ánéelą́ą́' ,
4:31:034:0	télii éí hastą́diindóó ba'aan t'ááłáhídi miil ánéelą́ą́' .
4:31:035:0	Ch'ikéí éí t'ahdoo diné yeinít'įįhii tádiindóó ba'aan naakidi miil ánéelą́ą́' .
4:31:036:0	T'áá ha'át'íhída daasnáanii ałníí'dóó nidaazbaa'ii baa dahaas'nilígíí éí dibé táadi neeznádiindóó ba'aan tádiindóó ba'aan tsosts'idi mííldóó ba'aan ashdladi neeznádiin ánéelą́ą́' ,
4:31:037:0	áádóó dibé éí Bóhólníihii bich'į' nályéhígíí éí hastą́ądi neeznádiindóó ba'aan tsosts'idiindóó ba'aan ashdla' ánéelą́ą́' .
4:31:038:0	Béégashii éí tádiindóó ba'aan hastą́ądi miil ánéelą́ą́' , áko Bóhólníihii bich'į' nályéhígíí éí tsosts'idiindóó ba'aan naaki lá .
4:31:039:0	Télii éí tádiindi mííldóó ba'aan ashdladi neeznádiin éí bits'ą́ą́dóó Bóhólníihii bich'į' nályéhígíí hastą́diindóó ba'aan t'ááłá'í lá .
4:31:040:0	Daho'disnáanii éí hastą́'áadahdi mííl , éí bitahdóó Bóhólníihii bich'į' nályéhígíí éí tádiindóó ba'aan naaki lá .
4:31:041:0	Áko Mózes éí Bóhólníihii bich'į' bił dah nídi'diilnihgo nááhániihii nályééh át'éego náá'iiłniihii Eliyéízar yeinínil ; Bóhólníihii éí Mózes áyidííniidígíí yik'ehgo ádzaa .
4:31:042:0	Áádóó Ízrel dine'é éí siláo nidaazbaa'ígíí deisnánígíí há ałníí'dóó éí Mózes ałts'áyíínil ,
4:31:043:0	( dah oonéłígíí ałníí'dóó daabíhígíí éí dibé táadi neeznádiindóó ba'aan tádiindóó ba'aan tsosts'idi mííldóó ba'aan ashdladi neeznádiin ánéelą́ą́' ,
4:31:044:0	béégashii éí tádiindóó ba'aan hastą́ądi miil ánéelą́ą́' ,
4:31:045:0	télii éí tádiindi mííldóó ba'aan ashdladi neeznádiin ánéelą́ą́' ,
4:31:046:0	daho'disnáanii éí hastą́'áadahdi miil ázhnéelą́ą́' , )
4:31:047:0	Ízrel dine'é ałníí'dóó bíí' silį́'ígíí éí daho'disnáanii ashdladiin jiníjaa'go hatahdóó t'áá dajíłá'ígo áádóó da'alį́'ígíí ashdladiin níjaa'go bitahdóó t'áá daałá'ígo éí Mózes ats'áyiiznilgo Líívai dine'é danilíinii Bóhólníihii biníbaal bii' hodílzinii yaa ádahalyánígíí yeinínil . Áko Bóhólníihii éí Mózes áyidííniidígíí yik'ehgo ádzaa .
4:31:048:0	Áádóó miilgo siláo dah deínéehii binanit'a'í danilíinii éí daamííl daníjaa'go índa neeznádiin daníjaa'go yindant'áii éí Mózes yaa daaskai .
4:31:049:0	Mózes yił dahoolne'go ádaaní , Ná nidaal'a'í niidlíinii nihiyaadóó siláo sinilii bee nihídahólníhígíí dayíilta'go doo ła' bá hályáah da .
4:31:050:0	Bóhólníihii bich'į' nááhániihii daniijaa'go diné łah hoditéhee nidayiizhjaa'ii yódí éí óola bee ádaalyaii , béésh da'ahólzha'ii , látsínída , yoostsahda , jaatł'óołda índa yoo'da éí Bóhólníihii binááł bee á k'ééhoodǫǫłii nihii' naazíinii bá náádahidiilnih .
4:31:051:0	Áko Mózes áádóó náá'iiłniihii Eliyéízar éí yódí óola bee ádaalyaii deizhjaa'ígíí t'áá ałtso néidiinil .
4:31:052:0	Ákohgo miilgo daníjaa'go yindant'áii índa neeznádiin daníjaa'go yindant'áii éí Bóhólníihii bich'į' nááhaaznii'ígíí éí óola t'áá át'é hastą́'áadahdi mííldóó ba'aan tsosts'idi neeznádiindóó ba'aan ashdladiin shékel wolyéii dah hidiidloh .
4:31:053:0	( Diné nidaazbaa'ígíí éí naalye'é deisnánígíí ádá ą́ą́deisįįd . )
4:31:054:0	Áko Mózes áádóó náá'iiłniihii Eliyéízar éí miilgo siláo daníjaa'go yindant'áii índa neeznádiingo siláo daníjaa'go yindant'áii éí óola nidayiizhjaa'ígíí néidiinilgo níbaal bii' dahozdísinii góne' yah ayííjaa' ; éí Bóhólníihii binááł Ízrel dine'é danilíinii bá bee ééhániihii át'ée doo .
