4:35:001:1	Líívai dine'é bikin hadaas'áii
4:35:012:0	Áko dił biniinaa diné k'ééhodidoodlíiłii bits'ąą kin hadaas'áii bii' yisdá'niichéehjį' azhdínóochééł , áko diné jiisxíinii doo dazdootsaałígíí biniyé átsé hazhó'ó haa hwiidínóot'įįł .
4:35:013:0	Díí kin hadaas'áii aa dahidoh'aah dooígíí éí hastą́ągo kin haal'áii bii'jį' yisdádahinohchéehii át'ée doo .
4:35:014:0	Jórdan tooh nílíní ha'a'aahjígo táa'go kin haal'áii áádóó Kéínan kéyah bii' táa'go kin haal'áii éí Líívai dine'é baa dadidooh'ááł ; éí kin hadaas'áii bii'jį' yisdá'niichééh biniyé nihá át'ée doo .
4:35:015:0	Díí hastą́ągo kin haal'áii bii'jį' yisdá'niichééh biniyéhígíí Ízrel dine'é áádóó dé'éyóní nilíinii índa t'óó átsééd nihitahgi kéédahat'ínígíí bá át'ée doo , áko t'áá háiida doo t'áá ákójínééhgóó diné jiisxíinii áajį' yisdázhdínóochééł .
4:35:016:0	Áko béésh bee diné bił niizhníłhaalgo éí diné jiisxíinii jílį́ ; diné jiisxíinii ts'ídá hodi'yoolyéłí .
4:35:017:0	Índa tsé bee diné bił niizhníłne'go éí diné jiisxíinii jílį́ ; diné jiisxíinii ts'ídá hodi'yoolyéłí .
4:35:018:0	Doodaii' tsin bee diné bił niizhníłhaalgo éí diné jiisxíinii jílį́ ; diné jiisxíinii ts'ídá hodi'yoolyéłí .
4:35:019:0	Bik'éí bidił biniinaa diné k'éédidoo'níłígíí t'áá bí diné iisxínígíí yidááh níyáago yidiyoołhééł .
4:35:020:0	Doodaii' yik'ee diniihgo t'áá na'níle'dii nihíideestsisgo , doodaii' yaa niheedzáago t'áadoo le'é yee yííníiłne'go yiyiisxį́į́ ládą́ą́' ,
4:35:021:0	doodaii' yijoołxáago yił niizníłts'in ládą́ą́' ; éí ił niizníłts'inígíí ts'ídá hodi'yoolyéłí , háálá diné yiyiisxíinii jílį́ , áko bik'éí bidił biniinaa diné k'éédidoo'níłígíí t'áá bí diné iisxínígíí yidááh níyáago yidiyoołhééł .
4:35:022:0	Nidi doo yijoołxáágóó t'áadoo kót'é ílíní atíyiilaago , doodaii' doo yaa neheedzáágóó t'áadoo le'é yik'ijį' ayiyííłhango ,
4:35:023:0	doodaii' t'áadoo yoo'íní tsé yee néidííłne'ígíí daaztsą́ą́ ládą́ą́' ; éí doo yi'ana'í nilį́į́góó , doodaii' atízhdoolíiłgi doo binahodziz'ą́ą́góó ,
4:35:024:0	áko dah oonéłígíí díí diné iisxínígíí áádóó k'éézhdidoo'níłígíí díí bee nihodiit'aahii bik'ehgo haa hwiidínóot'įįł .
4:35:025:0	Áádóó dah oonéłígíí éí diné bik'éí bidił biniinaa k'éédidoo'níłígíí bits'ą́ąjį' diné iisxíinii yisdádeidoołtééł , áko kin haal'áii bii' yisdá'niichéehjį' anííchą́ą́' yę́ęjį' yił nídadookah , áádóó aláahgo náá'iiłniihii ak'ah bik'i yaadziidgo bi'doolzį́'ígíí daaztsą́ąjį' ákwii kééhojit'į́į doo .
4:35:026:0	Nidi diné iisxíinii kin haal'áii bii'jį' yisdázhnííchą́'ídóó t'áá hoolzhishgi hoodzo bitis jííyáago
4:35:027:0	áádóó kin haal'áii bii'jį' yisdázhnííchą́'ídóó hoodzo bitisdi nijigháago diné bik'éí bidił biniinaa k'éédidoo'níłígíí hak'íníyáago hwiisxį́įgo hadił biniinaa doo bohodidoot'ih da ,
4:35:003:1	Da'oo'íinii áádóó ak'éninádahalyéii bá bee haz'áanii
4:35:028:0	háálá diné iisxíinii éí aláahgo náá'iiłniihii daaztsą́ąjį' kin haal'áii bii'jį' yisdá'niichéehgi kééhat'į́į doo nít'éé' . Nidi aláahgo náá'ii łniihii daaztsą́ą́dóó bik'ijį' índa diné iisxíinii hakéyahgóó nihéézhdoodááł .
4:35:029:0	Díí náás ahoołchííłgóó t'áá ánółtso kéédahoht'į́į́góó t'áá át'é nihá bee nihwiist'áanii bee nidahodiyoh'aah doo .
4:35:030:0	T'áá háiida diné ła' yiyiisxį́įgo éí da'oo'íinii bik'ehgo hodi'yoolyééł , nidi oo'íinii t'ááłá'í hoolne'ígíí bik'ehgo doo hodi'yoolyéeł da .
4:35:031:0	Náá'áłdó' diné yiyiisxíinii bá nihoot'ą́ągo be'iina' doo bik'énináda'doohdléeł da , nidi ts'ídá bidi'yoolyéłí .
4:35:032:0	Índa diné ła' kin haal'áii bii' yisdá'niichéehjį' anííchą́ą'go éí aláahgo náá'iiłniihii t'ah doo daatsaahgóó hakéyahdi kénááhojit'į́į doo biniyé doo hak'énináda'doohdléeł da .
4:35:033:0	Áko kéyah bii' kéédahoht'ínígi doo dahodoołchxǫǫł da ; jó , dił biniinaa kéyah nehechxǫǫh , áádóó kéyah bii' dił deezna'ígíí éí t'áá bąąh hólǫ́ǫ doo ; t'áá hazhó'ó diné jiisxínígíí ho'diisyį́įgo t'éiyá bee nahjį' kónídoo'nííł .
4:35:034:0	Éí bąą kéyah bii' kéédahoht'į́į dooígi t'ááká dahoołchxǫǫh lágo , háálá ákwii shí kééhasht'į́ ; jó , shí Bóhólníihii nishłį́įgo Ízrel dine'é bitahgi kééhasht'į́ .
