4:10:001:1	Béésh łigaii dilní bee í'dílzoołí
4:10:017:0	Áko níbaal bii' hodílzinii ni'diit'ą́ągo éí Gérshan áádóó Miirárai biye'ké éí níbaal bii' hodílzinii deíyeehgo dah diiná .
4:10:018:0	Áádóó Rúben dine'é daníjaa'go bidah na'at'a'í yik'ehgo dah diiná ; díí dah oonéłígíí éí Shédiyer biye' Iiláízer á sizį́ .
4:10:019:0	Índa Símiyan dine'é dah yinéłígíí éí Zúrishádai biye' Shiilúmiyel á sizį́ .
4:10:020:0	Áádóó Géed dine'é dah yinéłígíí éí Dúwel biye' Iiláíyasaf á sizį́ .
4:10:021:0	Índa Kóhath dine'é éí níbaal bii' hodílzinii góne' dadílzingo chodao'íinii deíjáahgo nihidahaazná , áko t'ah doo jínééhgóó haba' níbaal bii' hodílzinii nideiz'ą́ .
4:10:022:0	Áádóó Íífreiyim dine'é daníjaa'go bidah na'at'a'í yik'ehgo dah diiná ; díí dah oonéłígíí éí Amáíhad biye' Iilíshama á sizį́ .
4:10:023:0	Índa Manáseh dine'é dah yinéłígíí éí Piidázer biye' Gaméíliyel á sizį́ .
4:10:024:0	Áádóó Bénjamin dine'é dah yinéłígíí éí Gídiyónai biye' Abáídan á sizį́ .
4:10:025:0	Áádóó Dan dine'é daníjaa'go bidah na'at'a'í yik'ehgo éí akéédę́ę́' aa ádahalyą́ą doo biniyé dah diiná : díí dah oonéłígíí éí Amishádai biye' Eihaiyíízer á sizį́ .
4:10:026:0	Áádóó Ásher dine'é dah yinéłígíí éí Ákran biye' Péígiyel á sizį́ .
4:10:027:0	Índa Náftalai dine'é dah yinéłígíí éí Íínan biye' Aháíra á sizį́ .
4:10:028:0	Kót'éego Ízrel dine'é dah deínéehii ahíłkéé' deínééh .
4:10:029:0	Áko Mózes yaadaaní nilíní , Mídiya dine'é nilíinii Rúwel biye' Hóbab ííłní , Bóhólníihii , Kéyah nihaa dideesh'ááł , nihidííniidígóó yii'nééł ; hágo tį' , áko yá'át'éhígi ádaniil'į́į doo , háálá Bóhólníihii éí yá'ádaat'éehii Ízrel dine'é yeididoo'áałgo yee nihoní'ą́ .
4:10:030:0	Nít'éé' Hóbab áháłní , Doo nihił déshkai da ; t'áá shí shikéyahgóó áádóó shik'éí bich'į' nihéédeeshdááł .
4:10:031:0	Áádóó Mózes ání , Baa nánooshkąąh , doo nihits'ą́ą́' nihidíínáał da , háálá ni t'éí ééhonísin ; honoojítahgi yii'néełgo nihá hwííní'į́įgo nihíí'ish doo .
4:10:032:0	Áko nihił dínínáá ládą́ą́' yá'ádaat'éehii Bóhólníihii nihá áyoolííł dooleełígíí t'áá ákót'éego nihí ałdó' nich'į' t'áá ákódeii'níił doo .
4:10:033:0	Áádóó Bóhólníihii bidziłdóó dashdiináago tágí jį́ joonééł ; há dazdéez'į́į'go Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii halą́ąjį' yit'áałgo tágí jį́ joonééł , áko haa'ída nidahizhdoonéełgi baa nidazh'nitá .
4:10:034:0	Áko Bóhólníihii bits'ą́ą́dóó k'os hakáa'gi jį́įgo nihináldohgo dah nízhdii'nééh .
4:10:035:0	Nít'éé' tsits'aa' dílzinii niheet'áahgo Mózes ániih , Bóhólníihii díldzíiłgo háni'dii ni'ana'í danilíinii tanánoołka' doo ; háni'dii nik'ee nidanichée doo .
4:10:036:0	Áádóó hasht'e'niit'áahgo Mózes ániih , Bóhólníihii nílíinii , Ízrel dine'é t'óó ahayóí miilgo ánéelą́'ígíí bił nááhonídlǫ́ǫ le' .
