4:4:001:1	Líívai dine'é naanish baa dadeest'ą́
4:4:011:0	Áádóó bikáá' náá'iiniihí óola bee ályaaígíí éí na'at'ą́hí yá nahalingo dootł'izhígíí yik'ínídeiłtihgo bikáa'gi nahashch'id bikágí yik'ínídeiłtih doo índa tsin níyizii bee na'at'áhígíí éí bikáá' náá'iiniihí bąąh hadaazhahígíí bii' nídítsih doo ,
4:4:012:0	índa t'áá ha'át'íhída chodayooł'į́įgo yee nidaalnishígíí t'áá át'é náádei'dii'niłgo hodiyingo haz'ą́ą́ góne' nidaal'a'go chodayooł'ínígíí éí na'at'ą́hí yá nahalingo dootł'izhígíí yił ałch'į' áńdayiil'įįhgo nahashch'id bikágí yik'ínídeiłtih doo índa tsin níyizii bee na'at'áhígíí yikáá' ninádeiłtsos doo .
4:4:013:0	Áádóó bikáá' náá'iiniihí yii'dę́ę́' t'eesh háádayiikáahgo índa na'at'ą́hí tsídídééh nahalingo łichí'ígíí bikáá' náá'iiniihí yik'ínídeiłtih doo ,
4:4:014:0	áko éí binaagi łeets'aa' chodayooł'ínígíí t'áá át'é éí tsin bijeeh dilidgo łikání halchinii bee naakáhí , atsį' bee haha'níłí , łeeshch'iih bee hahakaahí , bii' tá'ádígisí índa náá'iiniihgi łeets'aa' chodao'íinii t'áá át'é éí bikáá' náá'iiniihí biyi' góyaa anídei'nił índa nahashch'id bikágí bik'ínáltihgo tsin níyizii bee na'at'áhígíí éí bikáá' náá'iiniihí bąąh hadaazhahí bii' nídítsih doo .
4:4:015:0	Áko nihináá'í'néehgo Éran áádóó biye'ké éí hodiyingo haz'ą́ągi bee hahodít'éii áádóó hodiyingo haz'ą́ągi chodao'íinii t'áá át'é ałtso hasht'éédayiil'įįhdóó bik'ijį' Kóhath dine'é binaanish ádayósingo deíyeeh doo yiniyé nídaakah doo ; éí t'áá ha'át'íhída diyinígíí doo yidadólchííd át'ée da doo , éí doodaii' ła'da yideelchidgo dadootsaał . Éí níbaal bii' dahozdísinii bii'ígíí Kóhath dine'é da'ahílchíihii dabiyéél .
4:4:016:0	Náá'iiłniihii Éran biye' Eliyéízar éí bee hool'iní iih nádzi'ígíí , tsin bijeeh dilidgo łikání halchinii , t'áá ákwíí jį́ ak'áán nááhániihígíí áádóó ak'ah ak'i yahiidzíidgo bee alzį́hígíí áádóó níbaal bii' hodílzinii t'áá át'é yee bóhólníihgo áádóó hodiyingo haz'ą́ą́ góne' hólóonii índa chodao'íinii t'áá át'é yaa áhályą́ą doo .
4:4:017:0	Áko Bóhólníihii éí Mózes áádóó Éran yich'į' haadzíi'go ání ,
4:4:018:0	Kóhath dine'é t'ááká Líívai dine'é bitahgóó óoldįįh lágo ,
4:4:019:0	nidi kót'éego bá ádoohłííł , áko t'áá dahináa doo áádóó doo dadínóonéeł da ; aláahgo diyingo nidaalyéhígíí yich'į' nídadikahgo Éran áádóó biye'ké ákóne' yah anákahgo Kóhath dine'é t'áá ałtso bindajil'a' dooígíí índa dabiyéel dooígíí ałdó' yich'į' ninádei'nił doo ,
4:4:020:0	nidi diyingo nidaajaahii doo yich'į' yah adookahgo yik'i dadooghał da , doodaii' yik'i daazghalgo dadínóonééł .
4:4:021:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ání ,
4:4:022:0	Gérshan dine'é bada'áłchíní da'ahílchíihii dabizhé'é yę́ę ya'áłchíní náás ahoolchíiłii danilį́įgo ahii' háá'ahiyoolchíłígíí yíníłta' ;
4:4:023:0	tádiindóó ashdladiin béédááhaijį' yídííłtahgo t'áá ałtso nidadool'aał biniyé yah ahekáhígíí níbaal bii' dahozdísinii góne' nidaalnish doo .
4:4:024:0	Díí éí Gérshan dine'é ba'áłchíní ahii' háá'ahiyoolchíiłii bindaanishgo nidaal'a' áádóó hééł nideiyée dooleeł :
4:4:025:0	níbaal bii' hodílzinii biyaagi ahééníbaalígíí áádóó níbaal bii' dahozdísinii bik'ínáltihígíí ałdó' , nahashch'id bikágí akáa'gi ak'ínídaaltihígíí ałdó' índa níbaal bii' dahozdísinii bich'é'étiingi dáádiníbaal ałdó' nideiyée dooleeł ,
4:4:026:0	níbaal bii' hodílzinii áádóó bikáá' náá'iiniihí binaa haz'ánígi nídadilbałígíí áádóó bich'éédą́ą'gi dáádiníbaal ałdó' áádóó dabitł'óól áádóó yee yininádaalnishígíí t'áá át'é índa níbaal bee háádiil'įįhígíí t'áá át'é nideiyée doo ; díí bindaanishgo nidaal'a' doo .
4:4:027:0	Éran áádóó biye'ké éí Gérshan dine'é hééł nideiyée dooleełígíí t'áá át'é áádóó yindaalnish dooleełígíí t'áá át'é yich'į' deił'áa doo , áádóó hééł t'áá át'é naagé yee bídahólníih doo biniyé nidadíínił .
4:4:028:0	Díí kót'éego Gérshan dine'é ba'áłchíní ahii' háá'ahiyoolchíłígíí níbaal bii' dahozdísinii yininádaalnishgo nidaal'a'go náá'iiłniihii Éran biye' Íthamar bídahojółníih dooleeł .
4:4:029:0	Miirárai dine'é bada'áłchíní náás ahoolchíiłii ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę bada'áłchíní danilį́įgo yíníłta' ;
4:4:030:0	tádiindóó ashdladiin béédááhaijį' yídííłtahgo t'ááłá'í nítínígo nidadool'aał biniyé yah ahekáhígíí níbaal bii' dahozdísinii góne' nidaalnish doo .
4:4:031:0	Áko díí hééł t'áá át'é deíyeehgo níbaal bii' dahozdísingi t'áá át'é yindaalnishígíí bik'ehgo nidaal'a' doo : níbaal bii' hodílzinii bá tsin neheeshjíí' ahééneelkálígíí áádóó tsin níyizii naaniigo bąąh daní'áhígíí áádóó bá ííyah danii'áii índa bitł'ááh naaznilgo t'ááłáhíjí biih dahasdzánígíí
4:4:032:0	áádóó binaa haz'ánígi bá ííyah danii'áii áádóó bitł'ááh naaznilgo t'ááłáhíjí biih dahasdzánígíí , áádóó bá anídaalkałígíí , dabitł'óól ałdó' , bee binda'anishígíí t'áá át'é áádóó yindaalnish dooleełígíí t'áá át'é . Dayééji'ígíí bik'ehgo hééł naagé bee hódahólníih doo biniyé hataadidíí'aał .
4:4:033:0	Díí kót'éego Miirárai dine'é ba'áłchíní ahii' háá'ahiyoolchíłígíí níbaal bii' dahozdísinii t'áá át'é yininádaalnishgo nidaal'a'go náá'iiłniihii Éran biye' Íthamar bídahojółníih dooleeł .
4:4:034:0	Áko Mózes áádóó Éran índa dah oonééłdóó aląąjį' naazíinii éí Kóhath dine'é bada'áłchíní náás ahoolchíiłii ahii' háá'ahiyoolchíłígíí dabizhé'é yę́ę ya'áłchíní danilį́įgo dayiyííłta' ;
4:4:035:0	tádiindóó ashdladiin béédááhaijį' t'ááłá'í nítínígo nidadool'aał biniyé yah ahekáhígíí éí níbaal bii' dahozdísinii góne' nidaalnish doo .
4:4:036:0	Áko éí bada'áłchíní ahii' háá'ahiyoolchíiłii dabi'déélta'ígíí naakidi mííldóó ba'aan tsosts'idi neeznádiindóó ba'aan ashdladiingo ánéelą́ą́' .
4:4:037:0	Díí éí Kóhath dine'é bada'áłchíní ahii' háá'ahiyoolchíiłii dabi'déélta'ígíí ádaat'į́ ; níbaal bii' dahozdísinii yindadoolnishgo yídaneel'áanii t'áá ałtso éí Mózes áádóó Éran hóółta'go Bóhólníihii éí Mózes binahjį' yee haadzí'ígíí bi'jiilaa .
4:4:038:0	Áko éí Gérshan dine'é ba'áłchíní da'ahílchíihii ahii' háá'ahiyoolchíłígíí t'áá ałtso dabizhé'é yę́ę ya'áłchíní danilį́įgo dabi'déélta' ;
4:4:039:0	éí tádiindóó ashdladiin béédááhaijį' t'ááłá'í nítínígo nidadool'aał biniyé yah ahekáhígíí níbaal bii' dahozdísinii yindaalnishii
4:4:040:0	t'áá éí dabi'déélta'ígíí bada'áłchíní ahii' háá'ahiyoolchíiłii dabizhé'é yę́ę ya'áłchíní danilį́įgo naakidi mííldóó ba'aan hastą́ądi neeznádiindóó ba'aan tádiingo ánéelą́ą́' .
4:4:041:0	Díí éí Gérshan dine'é bada'áłchíní ahii' háá'ahiyoolchíiłii dabi'déélta'ígíí éí níbaal bii' dahozdísinii yindadoolnishgo yídaneel'áanii t'áá ałtso éí Mózes áádóó Éran bííłta'go Bóhólníihii yee haadzí'ígíí yi'iilaa .
4:4:042:0	Áádóó Miirárai dine'é bada'áłchíní da'ahílchíihii ahii' háá'ahiyoolchíłígíí t'áá ałtso dabizhé'é yę́ę ya'áłchíní danilį́įgo dabi'déélta' ;
4:4:043:0	éí tádiindóó ashdladiin béédááhaijį' éí t'ááłá'í nítínígo nidadool'aał biniyé yah ahekáhígíí níbaal bii' dahozdísinii góne' nidaalnishígíí
4:4:044:0	t'áá éí dabi'déélta'ígíí bada'áłchíní ahii' háá'ahiyoolchíiłii táadi mííldóó ba'aan naakidi neeznádiingo ánéelą́ą́' .
4:4:045:0	Díí éí Miirárai dine'é bada'áłchíní ahii' háá'ahiyoolchíiłii Mózes áádóó Éran bííłta'ii éí Bóhólníihii saad yee haadzí'ígíí bik'ehgo Mózes bee aho'doo'niidígíí bi'jiilaa .
4:4:046:0	Mózes áádóó Éran índa Ízrel dine'é yá aląąjį' naazíinii éí Líívai dine'é dabi'déélta'ígíí t'áá ałtso ahii' háá'ahiyoolchíiłgo dabizhé'é yę́ę ya'áłchíní danilį́įgo dajííłta' ;
4:4:047:0	éí tádiindóó ashdladiin béédááhaijį' níbaal bii' dahozdísinii góne' nidaalnishii t'ááłá'í nítínígo nidool'aałgo nidoolnish biniyé yah aheeskaígíí éí hééł nideiyéego
4:4:048:0	t'áá éí dabi'déélta'ii tseebíidi mííldóó ba'aan ashdladi neeznádiindóó ba'aan tseebídiingo ánéelą́ą́' .
4:4:049:0	Bóhólníihii áníinii bik'ehgo daho'déélta'ígíí Mózes nihonínil ; t'ááłá'í jinítínígo bindazhdool'aałígíí bik'ehgo índa hééł nidajiyée dooleełígíí bik'ehgo éí Mózes hóółta' ; Mózes hach'į' Bóhólníihii yee haadzí'ígíí bi'jiilaa .
