4:21:001:1	Kéínan dine'é éí Ízrel dine'é yik'iijéé'
4:21:009:0	Áádóó Mózes éí béésh łitsoii bee tł' iish béé'jiidlaago tsin adzíítsigo bąąh dah dzistį́ ; diné t'áá háiida tł'iish bishxashii éí tł'iish dah hidiilt'e'ígíí yik'i níghalii éí hináa doo .
4:21:010:0	Ízrel dine'é dah náádii'náago Óbathgi ninááná'ná .
4:21:011:0	Áádóó Óbathdóó náás náádeesnáago Áíjii-ábarim honoojíigi Mó'ab kéyah binaashiijí háá'át'ááhjígo ninááná'ná .
4:21:012:0	Éí áádóó dah náádii'náago Zííred yíldzisgi níbaal nináádeisnil .
4:21:013:0	Kodóó dah náádii'náago éí Árnan tooh nílínígíí wónaaníjígo éí Ámor dine'é bikéyah bibąąhdę́ę́' honoojíidi ninááná'ná , háálá Árnan tooh nílínígíí éí Mó'ab dine'é bikéyah áádóó Ámor dine'é bikéyah bita'dę́ę́' ch'ínílį́įgo bee hoodzo .
4:21:014:0	Éí bąą Bóhólníihii ninábah yę́ę bee naaltsoos si'ánígíí biyi' góne' áhá'ní , Tónteel Łichíi'gi áádóó Árnan tooh nílínígi naazbaa' ;
4:21:015:0	éí Ar kin shijaa' bich'į'go taah daasdzisígóó , éí Mó'ab dine'é bikéyah hoodzo bibąąhgóó naazbaa' , ha'ní .
4:21:016:0	Kodóó Ízrel dine'é éí Bíyergóó dah náádii'ná ; ákwe'é Bóhólníihii éí Mózes yich'į' tó hahadleeh dooleełígíí yaa yáłti'go ání , Diné áłah ánílééh , áko tó baa dideesh'ááł .
4:21:017:0	Áko Ízrel dine'é díí sin yee dahóótáál , Tó hahadleeh nílíinii , tó haninééh ! Tó bich'į' dahohtaał ;
4:21:018:0	naat'áanii danilíinii tó yíká ida'iizgeed ; diné binanit'a'í danilíinii bigish yee tó yíká nida'azgeed . Áko honoojíídóó Mátanah hoolyéégóó Ízrel dine'é dah náádii'ná ;
4:21:019:0	Mátanah hoolyéédóó Nahéíliyel hoolyéejį' nááná'ná , índa Nahéíliyel hoolyéédóó Béímath hoolyéejį' nááná'ná .
4:21:004:1	Ízrel dine'é éí Sáíhan yik'eh dadeesdlį́į́'
4:21:020:0	Béímath hoolyéédóó Mó'ab kéyahgi Dził Pízgah bighą́ą'di yíldzisjį' nááná'ná , Dził Pízgah hoolyéédóó Jiisháíman honoojíí góyaa ayoot'į́į́' .
4:21:021:0	Áko Ízrel dine'é éí Ámor dine'é aláahgo binanit'a'í Sáíhan wolyéii yich'į' ada'as'a'go ádaaní ,
4:21:022:0	Nihíni'dii nikéyah góne' ch'ídii'nééł ; nidá'ák'eh , doodaii' nich'il na'atł'o'ii bitah góne' éí doo adii'néeł da , áádóó nitóhadahadleehgi nidi nito' doo nits'ą́ą́' dadiidlį́įł da ; aláahgo naat'áanii be'atiingóó hadidii'néełgo nił hahoodzooígíí ałtso bii' hadidiikah .
4:21:023:0	Áko Sáíhan bikéyah bił hahoodzo góne' Ízrel dine'é hadidoonéłígíí t'áadoo yadi'ní'ą́ą da , nidi Sáíhan bidine'é t'áá ałtso áłah áyiilaago honoojíígóó Ízrel dine'é yich'į' nídiibaa' ; Jéíhazjį' aní'eezhgo Ízrel dine'é yił da'ahoogą́ą́' .
4:21:024:0	Ákohgo Ízrel dine'é éí diltłish yee ałtso nidahastseed ; Sáíhan bidine'é Árnan tooh nílínídóó Jábak tooh nílíníjį' t'áá Áman dine'é bihoodzooíjį' bikéyah yę́ę hóó' daazlį́į́' , háálá Áman dine'é bikéyah bidziilgo bich'ą́ą́h hoodzo .
4:21:025:0	Áko Ízrel dine'é díí kin hadaas'á t'áá át'é deisnáago Ámor dine'é bikin hadaas'áá nít'éé' yę́ęgóó t'áá át'é Ízrel dine'é kéédahat'į́ ; Héshban kin haal'áhígi áádóó binaagóó t'áá át'é kin dah naazhjaa'ígóó kéédahat'į́ .
4:21:026:0	Jó , Héshban kin haal'áii éí Ámor dine'é aláahgo binanit'a'í Sáíhan wolyéii bikin haal'áá nít' éé' ; bí átséédą́ą́' Mó'ab dine'é aláahgo binanit'a'í yił ahóbáahgo hakéyah t'áá át'é Árnan tooh nílíníjį' ałtso haghaiideet'ą́ .
4:21:027:0	Éí bąą saad bee hódzą́ yee yádaałti'ígíí ádaaní , Hágo Héshban kin haal'áajį' dadohkááh , háni'dii Sáíhan bikin haal'á ánáhódle'go bidziil le' ;
4:21:028:0	jó , Héshban kin haal'áádę́ę'go hodiiltłah ; Sáíhan bikin haal'áádę́ę́' kǫ' doonał ; éí Mó'ab kéyahgi Ar kin shijaa'ídi índa Árnan tooh nílínígi dah daask'id bighą́ą'di ádaalyaii bee hódahólníhígíí ahodiisk'ą́ą́' .
4:21:029:0	Mó'ab dine'é noh łíinii , doo hojooba' ájíníi da ! Kíímash yich'į' nahałáhí nohłíinii , dooládó' hojooba' ánihi'diilyaa da ; biye'ké nidabidi'nilchée doogo ninéidiní'ą́ índa bitsi'ké yisnááh dadooleełgo Ámor dine'é aláahgo binanit'a'í Sáíhan wolyéii yich'į' ninéidiní'ą́ .
4:21:005:1	Ízrel dine'é éí Béíshan kéyahdóó Ag wolyéii yik'eh dadeesdlį́į́'
4:21:030:0	Naa'abídadziyeelt'ohgo bik'eh dadeedlį́į́' ; Héshban kin haal'áádóó Dáíban kin haal'áajį' ałtso ádahosiildįįd , áádóó Nófah kin haal'áajį' éí Médiiba kin haal'áii bíighahjį' t'áá át'é doo siláhígóó ádeiilyaa .
4:21:031:0	Kót'éego Ámor dine'é bikéyahgi Ízrel dine'é kééhat'į́į́ nít'éé' .
4:21:032:0	Áádóó Mózes éí Jéízer kin haal'áii hadoolziłgo ákǫ́ǫ́ i'jííł'a' , áko kin dah naazhjaa'ígíí deisná ; ákwii Ámor dine'é kéédahat'ínígíí ch' ídeineeskaad .
4:21:033:0	Áádóó dah náádiikaigo Béíshan kéyah bich'į' atiingóó yíkai , áko Béíshan kéyahdóó aláahgo naat'áanii Ag wolyéii bidine'é t'áá ałtso yił hak'ijį' danilį́įgo Édriyai kin haal'áagi hach'į' anaa' daniidzį́į́' .
4:21:034:0	Nidi Bóhólníihii éí Mózes ííłní , T'áadoo bik'ee nił yé'í ; bidine'é t'áá ałtso índa bikéyah ałdó' t'áá bił nílák'ee hodíí'ą́ , áko Ámor dine'é aláahgo binanit'a'í Sáíhan wolyéii Héshban kin haal'áagi kééhat'ínígíí íinilaaígi át'éego hó ałdó' ákóhodíílííł .
4:21:035:0	Ízrel dine'é éí Ag wolyéii áádóó haye'ké índa hadine'é ałtso nideistseedgo doo ła' hináágóó ádayiilaa , áko hakéyah bíí' daazlį́į́' .
