4:33:001:1	Ízrel dine'é tádíínáádę́ę́'
4:33:044:0	Óbathdóó dah náádii'náago Mó'ab kéyah bibąąhgi Áíjii-ábarim hoolyéegi ninááná'ná .
4:33:045:0	Áíyimdóó dah náádii'náago Dáíban-géed kin haal'áagi ninááná'ná .
4:33:046:0	Dáíban-géedóó dah náádii'náago Álman-diblathéíyim kin haal'áagi ninááná'ná .
4:33:047:0	Álman-diblathéíyimdóó dah náádii'náago Dził Ábarim daní'áagi Dził Nííbo bitsį́įdi ninááná'ná .
4:33:048:0	Dził Ábarim daní'áádóó dah náádii'náago Mó'ab kéyah nidzisgaigi Jériko binaashiijí Jórdan tooh nílíní bibąąhgi ninááná'ná .
4:33:002:1	Kéínan kéyah bináhásdzo áádóó ahádaasdzo
4:33:049:0	Áko Jórdan tooh nílíní bibąąhgi Beth-jéshimath kin haal'áádóó Éíbel-shíttim hoolyéejį' Mó'ab kéyah nidzisgaigi nidahaazná .
4:33:050:0	Áádóó Jériko binaashiijí Jórdan tooh nílíní bibąąhgóó Mó'ab kéyah nidzisgaigi Bóhólníihii éí Mózes yich'į' haadzíi'go ání ,
4:33:051:0	Ízrel dine'é bich'į' handziihgo ábidiní , Jórdan tooh ha'naa Kéínan kéyah góne' oonáago
4:33:052:0	kéyahgi kéédahat'ínígíí t'áá ałtso áts'ą́ąjį' ch'ídahidínóołkał áádóó tsé bee eda'alyaii áádóó béésh doolyį́į'go bee eda'alyaii índa ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaaígíí ałtso bits'ą́ą́' nidahidoołchxǫǫł ,
4:33:053:0	áko dabikéyah bigha dahodidooht'áałgo bii' kéédahoht'į́į doo , háálá kéyah danihíí' dooleeł biniyé nihaa diní'ą́ .
4:33:054:0	Índa dine'é danohłíinii kéyah danihíí' dadooleełígíí yáá'iilt'e' bik'ehgo nihikéyah ałtaa doohdzoh ; lą'í danołt'éhígíí bik'ehgo kéyah dahótsaago hadahidoohsoh áádóó ádanołch'į́dígíí bik'ehgo kéyah t'áá nihidahoníłtsóhígo hadahidoohsoh ; yáá'iilt'e' bik'ehgo diné hakéyah hóó' nidahaleeh ; dine'é danohłíinii bik'ehgo kéyah danihíí' nidahaleeh doo .
4:33:055:0	Nidi díí baa hodoolzhish : kéyahgi kéédahat'ínígíí t'áadoo ádíts'ą́ąjį' nihaa ch'ídahaazhjéé'góogo kéyahgi nidaakaigo ádaałaaígíí nihinák'ee nída'ajiłígi át'éego , doodaii' nihooshk'iizh góne' nihaa inída'ajiłígi át'éego hóyée'go nihich'į' nidahwiiłnáago kéyah bii' kéédahoht'į́į doo .
4:33:056:0	Náá'áłdó' díí baa hodoolzhish : atídeeshłííł nisinígíí , jó , nihída atínihideeshłííł .
