4:16:001:1	Kórah , Déíthan áádóó Abáíram nidaalteeh
4:16:022:0	Áko tsé'yaa jineeshjoolgo ájíní , Diyin God nílíinii , ats'íís dabiníłch'i t'áá ałtso biDiyin God nílíinii , diné t'ááłá'í ádił asiih ; ákoósh dah oonéłígíí t'áá ałtso bich'į' náhóóchįįd ?
4:16:023:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
4:16:024:0	Dah oonéłígíí ábidiní , Kórah , Déíthan índa Abáíram dabiníbaal naaznilídóó nahgóó oohjeeh .
4:16:025:0	Nít'éé' Mózes nídii'na'go Déíthan áádóó Abáíram yich'į' níyá áádóó Ízrel dine'é badahastóí hakéé' yíkai .
4:16:026:0	Ákohgo dah oonéłígíí áyidííniid , Baa nídanihooshkąąh , díí diné doo yá'ádaashóonii dabiníbaalídóó nahgóó oohjeeh , índa daabíhígíí t'ááká ła' daosił lágo , doodaii' éí ádił da'asiihígíí t'áá át'é t'áá bił ádoohdįįł .
4:16:027:0	Áko Kórah , Déíthan índa Abáíram dabiníbaalídóó t'áá da'níłts'ą́ąjigo bits'ájiizhjéé' , áko Déíthan áádóó Abáíram ch'íní'áazhgo biníbaal bich'éédą́ą́'dóó bizáanii , dabiye'ké índa ba'áłchíní yił deizį' .
4:16:028:0	Áádóó Mózes ání , Díí bee nihił béédahózin doo ; naanish t'áá át'é ááshłíił doo biniyé Bóhólníihii shiníł'a' áádóó doo t'áá shí shíniik'eh ááshníił da .
4:16:029:0	Díí diné jidínóonéłígíí diné t'áá ałtso daninéhígi át'éego , doodaii' atíbidi'doolníłígíí diné t'áá ałtso atídabidi'doolníłígi át'éego ákóhodooníiłgo éí doo Bóhólníihii shiníł'a' da .
4:16:030:0	Nidi Bóhólníihii t'áadoo le'é ániidí ííléehgo ni' ąą ádzaago abiisna'go , dabinaalye'é t'áá át'é t'áá bił áádóó t'áá dahináago ni' ąą ádzaa góyaa daazlį́į'go índa díí diné éí Bóhólníihii bá dahojííłchįįdígíí bik'idadi'doohtį́į́ł .
4:16:031:0	Ałtso saad bee niyázhníłti'go t'áá naazínígóó biyaagi ni' ałts'áádláád ,
4:16:032:0	áádóó ni' ąą ádzaago ha'áłchíní t'áá bił , Kórah yidiikaii yę́ę t'áá ałtso índa hwee dahólónígíí t'áá át'é ałdó' t'áá bił ni' abiisna' .
4:16:033:0	Hó áádóó t'áá át'é bídazhdéét'i'ígíí t'áá dajiináago ni' ąą ádzaa góyaa azhníídee'go hak'ijį' ni' ałch'į' ánádzaa , áko dah oonéłígíí bits'ą́ą́' ałtso diné neezná .
4:16:034:0	Áko binaagóó Ízrel dine'é t'áá ałtso haal'áhígíí éí hadazhdeeshghaazhgo hak'ee dah diijée'go ádaaní , Nihí éí ni' doo adanihidoołnah da .
4:16:035:0	Áádóó Bóhólníihii bits'ą́ą́dę́ę́' kǫ' bidadíínáadgo naakidi neeznádiindóó ba'aan ashdladiin diné , tsin bijeeh dilidgo łikání halchinii náádayiisnii'ígíí íísdįįd .
4:16:036:0	Ákohgo Bóhólníihii éí Mózes yich'į' haadzíi'go ání ,
4:16:037:0	Náá'iiłniihii Éran biye' Eliyéízar bich'į' handziih , Tsin bijeeh dilidgo łikání halchinii bee nidaakáhígíí néididooniłgo kǫ' da'níłts'ą́ą'jį' níléígóó iidiyoołkał , háálá tsin bijeeh dilidgo łikání halchinii bee nidaakáhígíí dílzin .
4:16:038:0	Díí diné ádił da'asiihgo t'áá bí yá nináninídee' ; bíni'dii tsin bijeeh dilidgo łikání halchinii bee nidaakáhígíí éí dootsiłgo niteelgo ádadoolníiłgo didlidgo bikáá' náá'iiniihí bik'ínáltihígíí ádoolnííł , háálá Bóhólníihii binááł bee nááda'iiniihgo chodao'į́į́ nít'éé' ; éí bąą dadílzin ; éí Ízrel dine'é bich'į'go bee ééhózinii át'ée doo .
4:16:039:0	Náá'iiłniihii Eliyéízar éí díí diné daneeznánígíí béésh łitsoii bee tsin bijeeh dilidgo łikání halchinii nideikáago yee náádayiiłniih nít'é'ígíí néidiinil , áádóó éí ał'ąą yída'dees'ne'go bikáá' náá'iiniihí yik'i ninádei'niłgo ádayiilaa .
4:16:040:0	Díí Ízrel dine'é bich'į' bee ééhániihii át'ée doo , áko diné ła' doo Éran biye'ké náás ahoolchíiłii jílį́į́góó Bóhólníihii binááł tsin bijeeh dilidgo łikání halchinii nááhizhdoołnih biniyé doo áháníjį' nizhdoogáał da ; éí doo Kórah áádóó bił dah yikah yę́ę ádabi'diilyaaígi doo áhodi'doolníił da . Díí éí Mózes binahjį' Bóhólníihii hach'į' haadzíí' .
4:16:041:0	Nidi biiskání Ízrel dine'é dah yinéłígíí t'áá ałtso Mózes áádóó Éran yich'į' saad dahasłį́į'go ádaaní , Bóhólníihii bidine'é nisoołtseed .
4:16:042:0	Ákohgo dah oonéłígíí ahíikaigo Mózes áádóó Éran yik'ijį' daazlį́į'go níbaal bii' dahozdísinii deiníł'į́į́ nít'éé' ; jó , k'os bik'iildoh lá , áko Bóhólníihii bits'ádi'nílíidii yit'íní silį́į́' .
4:16:043:0	Áko Mózes áádóó Éran éí níbaal bii' dahozdísinii bidááhdę́ę'go niní'áázh .
4:16:044:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ání ,
4:16:045:0	Díí dah oonéłígíí bitahdę́ę́' bits'ánóh'aash , áko t'óó hodíínáá'ígo áhodeeshdįįł . Áko Mózes áádóó Éran tsé'yaa jineeshjool .
4:16:046:0	Ákohgo Mózes éí Éran ííłní , Tsin bijeeh dilidgo likání halchinii bee naakáhí ła' nídii'aahgo bikáá' náá'iiniihí bikáá'dę́ę́' kǫ' ła' biih nijáahgo bikáa'gi tsin bijeeh dilidgo łikání halchinii yaajáahgo oonéłígíí bich'į' tsxį́įłgo bił dílyeedgo bee á k'ééhoodǫǫłii bá ánílééh , háálá Bóhólníihii bits'ą́ą́dę́ę́' atí'él'į́ naałniih hááłnii' .
4:16:047:0	Áko Éran éí Mózes áhodííniidígi ádziidzaa ; tsin bijeeh dilidgo łikání halchinii diltłi'go nízhdiiką́ągo dah oonéłígíí bitah góne' bił nízhdiilwod ; jó , diné bitahgi naałniih hááłnii' lá , áko tsin bijeeh dilidgo łikání halchinii jidiiłtłah áádóó bee á k'ééhoodǫǫłii diné bá náádziisnii' .
4:16:048:0	Ákohgo daneeznánígíí áádóó dahinánígíí bita'gi dzizį́ , áko naałniih ánáhodiilzee' .
4:16:049:0	Áko naałniih dahóóghą́'ígíí éí dį́į́'ts'áadahdi mííldóó ba'aan tsosts'idi neeznádiin ázhnéelą́ą́' ; Kórah bił ałch'odadzisne'go ádzísdįįdígíí bilááh ázhnéelą́ą́' .
4:16:050:0	Áádóó Éran éí níbaal bii' dahozdísinii bich'éédą́ą'gi Mózes baa nídzídzá , áko naałniih ánásdįįd .
