58:11:001:1	Pen . xj .
58:11:019:0	Ystyrio a wnaeth ef y galle Ddyw y gyfodi ef o feirw : or lle y derbyniawdd e fe hefyt ar ryw gyfflybrwydd .
58:11:020:0	Trwy ffydd y bendithiawdd Isaac ei vap Iaco ac Esau , am y pethe a ddele rrag llaw .
58:11:021:0	Trwy ffydd pan oedd Iaco yn marw , y rroes fendith y bob vn o veibiō Ioseph , ac ai bvvys ar ben eu ffon , yr addolawdd ef Ddyvv .
58:11:022:0	Trwy ffydd pan oedd Ioseph yn marw , y coffaodd am ymadawiad plant Israel , ac a roes ’orchymyn am eu escyrn .
58:11:023:0	Trwy ffydd pan aned Moses , y cuddiwyd ef drimis can eu rieni , achos y bod yn y weled yn fachcen tlws , ac nid ofnesont orchymyn y brenin .
58:11:024:0	Trwy ffydd Moses gwedi mynd yn fawr , a wrthodes y alw yn vab mecrh Pharao ,
58:11:025:0	Yn ddewisach cantho ’oddef adfyd gid a phobl Ddyw , no chael mwyniant pechawd tros amser ,
58:11:026:0	Yn barnu yn fwy golud dirmig Christ no thresawr yr Aifftvvyr : can ys edrych y ddoedd ef ar taledigaeth y gobrwy .
58:11:027:0	Trwy ffydd y gadewis ef yr Aifft , heb ofni ffromder y brenin : cyfryw ydoedd y emynedd ef , a phe biase ef yn gweled y neb sydd anweledig .
58:11:028:0	Trwy ffydd y gwnaeth ef y pasc , a gollyngiad y gwaed , rrac ir hwn ydoedd yn dianyddu y genedigon cynta , gyfwrdd ac wynt .
58:11:029:0	Trwy ffydd yr aythont trwyr mor coch megis trwyr tir sych , rrwn pan brovasont yr Aifftied wneuthr , boði a wnaythont .
58:11:030:0	Trwy ffyð y cwympasont cayray Iericho wedi y compasu hyd saith diwrnod .
58:11:031:0	Trwy ffydd ni ddihenyðwyd Rahab y puttain gidar rrai ni buon vfydd , pan dderbyniodd hi yr espiwyr yn heddychol .
58:11:032:0	A pheth mwy a ddoydaf ? can ys yr amser a ddyffygiay y mi y fenegi am Gedeon , am Barac a’ Samson , a’ Iephte , am ðafydd hevyd , a’ Samuel , a’r prophwydi :
58:11:033:0	Rrain trwy ffydd a orescynasont tyrnasoedd , a wnaythant gyfiownder , a freiniasont yr aðeweidion , a stopiason safnau’r llewod ,
58:11:034:0	A ddiffoddason angerth y tan , a ddianghason rrac miny cleddyf , o wendid a ymnerthasawnt , ac aython yn ddewrion yn y frwydr , ag a ddymchwelasont ar gil vyddinay yr estronion .
58:11:035:0	Gwragedd a dderbyniasont eu meirw gwedi eu codi yn fyw eilwaith : eraill a ðirdynnwyd , heb vynnu ei ymwared , fal y gallentwy gael ailgyfodiat a fai woll ,
58:11:036:0	Ac eraill a gaynt y profi trwy watwaray ac yscyrsiau , ie trwy rwymay a’ charchary .
58:11:037:0	Y llabuddio a gowson , y dryllio a wnaed , y tentio a wnaed , o angayr cledddef y buon feirw , crwydro y buon mewn crwyn defaid a geifr , yn ddiddym , a chael gorthrymder , a bod yn ddrwc wrthynt :
58:11:038:0	Rrain ni hayðer byd eu cael : crwydro yr oeðent yn y diffaythay ac yn y mynyddoedd , mewn tyllay , a gogofydd y ddayar .
58:11:039:0	Ar rrain y gydoll wedi heuddu testioleth trwy ffydd , ni freiniasont yr addewid ,
58:11:040:0	Dyw yn rragweled peth gwell am danomi , val na theilyngid hwynt heibom ninay .
