26:32:001:1	Féro baa yínííł hasin
26:32:015:0	Ííjip kéyahgi hóółchxǫ'go bee áda'azįįdii t'áá ałtso nahjį' haalyáago, ákwe'é kéédahat'ínígíí t'áá ałtso atéshłaago, áko índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł. 
26:32:016:0	Díí jichago baa yínííł hasinígíí bee dahojitaał doo; ał'ąą dine'é bich'é'é danilíinii yee dahataał doo; Ííjip kéyah áádóó diné deíl'áá nít'éé' yę́ę daaníigo atínídadindleehgo dahataał doo, ní Bóhólníihii Diyin God. 
26:32:017:0	Naakits'áadah náhááh góne', ashdla'áadahgóó yoołkáałgo Bóhólníihii shich'į' haadzíi'go kóní, 
26:32:018:0	Diné nílíinii, Ííjip kéyahgi diné yíl'áá nít'éé' yę́ę baa yínííł nílį́įgo diní'ní, áko hó lá áádóó ał'ąą dine'é ayóó ádabóodziilii bitsi' danilínígíí jishcháá' góyaa ahekáhígíí t'áá hoł ni' bitł'ááh góyaa ahóółkaad. 
26:32:019:0	Háishą' biláahgo ayóó áníínílnin? Nílááh, t'áadoo bąąh nídahineeshgizhii bitah góyaa sínítį́. 
26:32:020:0	Diltłish bee nidaaztseedii bitah dazhdínóonééł; diltłish baa ho'deet'ą́; hodine'é t'óó ahayóí deíl'áhígíí t'áá hoł nahjį' kóbi'dilnééh. 
26:32:021:0	Naat'áanii danilíinii éí ayóó ádabóodziilii bitahdóó bíká anídaajah yę́ę t'áá yił hool'áágóó ti'hoo'nííhdę́ę́' ádabiłníi doo, T'áadoo bąąh nídahineeshgizhii diltłish bee nidaatseedgo ákóyaa adahaaskai yę́ę t'ahdii shijéé'. 
26:32:022:0	Asíriya dine'é áádóó diné yił dah yinééł nít'éé' yę́ę éí hanaagóó dabijishcháa'go áadi bił dahojílǫ́; éí t'áá ádzíłtso diltłish bee nidaho'diztseed; 
26:32:023:0	hó éí a'áán nihoodzą́ądi yóó'áho'diilyaa, áádóó diné binazhnit'áá nít'éé' yę́ę éí hanaagóó yóó'ádaalyaa, éí diné dahináanii bitahdi diné hwéédaaldzid nít'éé' yę́ę t'áá ádzíłtso diltłish bee nidaho'diztseed. 
26:32:024:0	Íílam dine'é áádóó bisiláo dah yinééł nít'éé' yę́ę t' áá ałtso hanaagóó yóó'ádaalyaago áadi hoł dahólǫ́; éí t'áá ałtso t'áadoo bąąh nídahineeshgizhgóó diltłish bee nidabi'diztseedgo ni' bitł'ááh góyaa aheeskai; éí dahináanii bitahdi diné hwéédaaldzid nít'éé', áko jishcháá' góyaa aheeskaígíí bił ádaa yádaznídzin doo. 
26:32:025:0	Diné nidaaztseedii bitahdi diné dah yinééł nít'éé' yę́ę t'áá bił yóó'ádaho'didoolnííł biniyé dziztį́į dooleełgi há hasht'edahoolaa; t'áadoo bąąh nídahineeshgizhii danilį́įgo diltłish bee nidaaztseedgo hanaagóó leeyi' shijéé'; éí dahináanii bitahdi diné hwéédaaldzid nít'éé'; jishcháá' góyaa ahekáhígíí bił ádaa yádaznídzin; nidaaztseedii bitahdi nidaho'diis'nil. 
26:32:026:0	Azhą́ diné dahináanii bitahdi yił nidahoołyéé' nít'éé' nidi, Mííshek dine'é áádóó Túbal dine'é índa bidine'é dah yinééł nít'éé' yę́ę t'áá ałtso ałdó' áadi, áko t'áadoo bąąh náhineeshgizhii danilíinii diltłish bee nidaaztseedgo hanaagóó yóó'ádaalyaa. 
26:32:027:0	Doo bąąh nídahineeshgizhii bitahdóó ayóó ádaat'éé nít'éé' yę́ę hool'áágóó ti'hoo'nííh góyaa binaage' t'áá yił aheeskai yę́ę bidiltłish éí bitsii'áál bá ádaalyaii éí doo bitahdi jizhjée' da. Azhą́ dahináanii bitahdi ayóó ádaat'éii danilį́įgo diné hwéédaaldzid nít'éé' nidi, doo ákwii ádajíít'įįdii hak'ijį' nídadoodleeł. 
26:32:028:0	T'áá aaníí, doo bąąh nídahineeshgizhii diltłish bee nidaaztseedii bitahgi nitahwiistǫ'go sínítį́į doo. 
26:32:029:0	Íídam dine'é áádóó aláahgo binanit'a'í índa binanit'a'í danilį́į́ nít'éé' yę́ę t'áá ałtso éí ayóó ádabóodziil nít'éé', nidi diltłish bee nidabi'diztseedii bitahdi áádóó t'áadoo bąąh nídahineeshgizhii jishcháá' góyaa ahikáahii éí ałdó' áadi bił jizhjée' doo. 
26:32:030:0	Náhookǫsdę́ę́' naat'áanii danilį́į́ nít'éé' yę́ę t'áá ałtso áádóó Sáídan dine'é danilį́į́ nít'éé' yę́ę t'áá ałtso nidabidiztseedii yił łeeyi' shijéé', ayóó ádahóodziilgo bee diné bił dahojíłyéé' nít'é'ígíí biniinaa ádaa yádaznidzingo ákóyaa adziiskai; t'áadoo bąąh náhineeshgizhii dajílį́įgo diltłish bee nidaaztseedii bił jizhjéé', áko jishcháá' góyaa ahekáhígíí bił ádaa yádaznidzin. 
26:32:031:0	Féro éí díí nidabi'diztseedii yiidoołtsééł, áádóó t'áá bí bisiláo t'óó ahayóí t' áá ałtso diltłish bee nidaaztseedii yee ha'íídóolniił, ní Bóhólníihii Diyin God. 
26:32:032:0	Jó, dahináanii bitahdi diné hak'ee bił nidahooyeehgo áshłaa; doo bąąh nídahineeshgizhii danilíinii diltłish bee nidaaztseedii bitahdi Féro áádóó t'óó ahayóí bisiláo dah yinééł nít'éé' yę́ę bił yóó'ádahodi'doolnííł, ní Bóhólníihii Diyin God.
