26:44:001:1	Kin bii' sohodizin góne' binda'anishii
26:44:011:0	Ákondi kin bii' sohodizin bił haz'ą́ągi yah ada'iiztiinígíí baa ádahojilyą́ągo ákwii hondaanish doo, áádóó kin bii' sohodizin góne' naanish danilíinii baa nidajikai doo; didlidgo náádahaniihii áádóó diné bá náádahaniihii nidadziłtseed doo índa diné bá nidajil'a'go ákwii hanaanish danilíinii bindajilnish doo. 
26:44:012:0	Líívai dine'é éí Ízrel dine'é bi'eda'alyaii bidáahjį' bá nidajis'a'go kót'éego Ízrel dine'é nida'iisíihgo ádajiilaaígíí biniinaa Bóhólníihii Diyin God ání, Doo ákwii ádajíít'įįdii bik'é ts'ídá t'áá ti'dahwiizhdoonihí, dishníigo hwee ádee hadeesdzíí'. 
26:44:013:0	Nááda'iiłniihii doo dajílį́į́góó doo shit'áahjį' dazhdookahgo shá nidazhdool'aał da, índa shidiyingo chodao'íinii éí t'áá íiyisí dadiyinígíí doo bit'áahjį' dazhdookah da, nidi t'óó bee haa yádahóósįįdii índa doo yildinígi ádajíít'įįdii bee hohodiit'i'go nidajikai doo. 
26:44:014:0	Azhą́ ákót'ée nidi, kin bii' sohodizin t'áá bee hódahólníih doo, índa ákwe'é naanish nidaat'i'ígíí t'áá ałtso baa nidajikai doo, índa wóne'é naanish danilíinii éí t'áá ałtso baa nidajikai doo. 
26:44:015:0	Ízrel dine'é shits'ą́ą́dóó yóó'aheeskai yę́ędą́ą́', Líívai dine'é éí Zéídak biye'ké náá'iiłniihii danilíinii shikin bii' sohodizin yaa ádahalyą́ą́ nít'é'ígíí shit'áahjį' ałnáádaakahgo shá nidaal'a' doo; t'áá ákǫ́ǫ́ shinaagóó nidajikaigo ak'ah índa dił shich'į' náádajiiłniih dooleeł, ní Bóhólníihii Diyin God; 
26:44:016:0	shikin bii' sohodizin góne' yah anídajikah doo, índa shá nidazhdool'aał biniyé shibikáá' adání bit'áahjį' nídazhdikah doo, áádóó bich'į' dahóół'aadígíí bik'eh dahojíł'į́į doo. 
26:44:017:0	Wóne'di haz'ání góne' yah anídajikahgo ninádajil'aahgo kót'ée doo; éé' aghaa' bee ádaalyaii ádąąh dajit'į́įgo éí doo daha'ée' da doo, nidi nidajil'a'go áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii éí daha'ée' doo. 
26:44:018:0	Áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii hatsii' nídaazt'i'go éí dahach'ah doo áádóó áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii dahatł'aaji'ée' doo; éé' éí tó ąąh háádeiniłka'ii éí t'áá ałtso ádąąh dajit'į́į doo. 
26:44:019:0	Ákohgo náá'iiłniihii dajílíinii tł'óo'di ahééhool'áhídi diné áłah nilínígíí bich'į' ch'éédajiikáahgo áłtsé ha'éé' bee nidajil'a'ii háádazhdii'niłgo hodiyingo nahaz'ání góne' ninádaji'nił doo áádóó náánáła' éé' biih nídajikah doo, áadi índa diné áłah nilínígíí bich'į' ch'éédajikah doo; éí t'áadoo ádadziidzaagóó éí ha'éé' bee nidajil'a'ii bee diné diyingo ádazhdoolííł. 
26:44:020:0	Náá'iiłniihii dajílíinii éí hatsii' doo nídajishih da doo, áádóó doo t'áá íiyisí nineez nídaadleeh da doo, nidi t'áá áłts'ísígo ádadzósin doo. 
26:44:021:0	Náá'iiłniihii dajílíinii ła'da wóne'di haz'ání góne' yah ajigháahgo wáin ádąąh jit'į́į doo. 
26:44:022:0	Índa asdzání bąąh áhásdįįdii, doodaii' asdzání yóó'ábi'doolt'e'ii doo ła' hwe'asdzą́ą́ ázhdoolíił da, nidi Ízrel dine'é bitahdóó ch'ikę́ę́h t'ah doo diné bee haleehii ła' hwe'asdzą́ą́ ázhdoolííł, éí doodaii' náá'iiłniihii ła' daaztsą́ągo éí be'asdzą́ą́ nít'ée'ii hwe'asdzą́ą́ ázhdoolííł. 
26:44:023:0	Náá'áłdó' dadiyinii índa doo dadiyinii éí t'áá ał'ąą ádaat'éegi shidine'é bee nidazhnitin doo áádóó doo bí'déédee'ii índa bí'déédee'ii bił béédahózin doo. 
26:44:024:0	Diné ła' ahinídiiltłi'go shibik'ehgo hoogáałii bik'ehgo ánihwiit'aahjį' bá baa nídajit'į́į doo; hodiyingo áłah nída'adleehii bee nihoní'áanii baa nijikaigo shibee haz'áanii áádóó bee nihoyí'áanii bik'eh dahojíł'į́į doo índa shiháá'áyį́į́h jį́ t'éiyá t'áá sahdii át'éego ádadzósingo ákóne' dahozdósin doo. 
26:44:025:0	Diné daaztsáanii doo bee ádazhdidoolchxǫǫł da biniyé doo bit'áahjį' nidajikai da doo, nidi hazhé'éda, hamáda, haye'da, hatsi'da índa diné bił hajíí'áazhiida áádóó halahda t'ah doo diné bee haleehii éí t'áá háiida ła' daaztsą́ągo éí t'éiyá bit'áahjį' jidoogáałgo bee ázhdidoolchxǫǫł. 
26:44:026:0	Hó'díídee'dóó bik'ijį' tsosts'id yidoołkááł. 
26:44:027:0	Hodiyingo haz'ą́ą́ góne' yah anízhdoodááł bijį́į́ góne' áadi nináájíl'a' dooleeł biniyé ádił ni'iidzííhjí nááhániihii áłtsé ádá nááhizhdoołnih, ní Bóhólníihii Diyin God. 
26:44:028:0	Náá'iiłniihii ídlínígíí éí daahó, shíyee' hwíí' nishłį́; Ízrel dine'é bitahgi íí' dadooleełii doo ła' baa didíí'áał da, shíyee' hwíí' nishłį́. 
26:44:029:0	Ak'áán nááhániihii áádóó ádił ni'iidzííhjí nááhániihii índa doo ákǫ́ǫ́ ájít'į́į́jí nááhániihii éí dahach'iyą' doo, áádóó Ízrel dine'é bitahdóó nááhidoonih biniyé t'áá sahdii ats'ádahaas'nilii daahó doo. 
26:44:030:0	Áłtsé neest'áanii ał'ąą ádaat'éii t'áá ałtso áádóó shich'į' nááhániihii a ł'ąą ádaat'éii t'áá ałtso nááda'iiłniihii baa dah hidoh'aah doo, áádóó diné éí áłtsé ak'áán táádayoo'nihígíí nááda'iiłniihii yaa dayiikaah doo; ákódaoht'į́įgo danihighan bik'idajishdlíi doo. 
26:44:031:0	Náá'iiłniihii dajílíinii éí tsídiida, éí doodaii' naaldlooshiida t'áá bíni' daaztsą́ągo, éí doodaii' náánáła' naaldlooshiida biisxį́įgo éí doo dajilghał da doo. 
