26:43:001:1	Bóhólníihii bits'ádi'nílíidii éí kin bii' sohodizin bii' hadéébįįd
26:43:014:0	Bikáá' náá'iiniihí bá si'ánídóó áłtsé dah náhást'áníjį' táá' ké siláádóó náá'áłníí' ánízah doo; éí dah náhást'ánígíí k'asdą́ą́' naakidi ké silá bíighahgo ákóhoníłtéelgo ahééhool'áa doo. Áádóó dah náhást'ą́ą́dóó dego éí hastą́ą́h ké siláádóó náá'áłníí' ákónízah doo áádóó áadi k'asdą́ą́' naakidi ké silá ákóhoníłtéelgo ahéénínááhool'áa doo. 
26:43:015:0	Éí dah náhást'ą́ą́dóó hastą́ądi ké siláádóó náá'áłníí' ánízahdi bikáá' náá'iiniihí dah si'ą́ą doo; éí bikáá'dóó dadeekį́į́góó adee' yadaa'áa doo. 
26:43:016:0	Bikáá' náá'iiniihí bikáa'di éí łahdę́ę'go naadiindi ké siláádóó náá'áłníí' bíighahgo áníłtéel doo, áko t'áá dį́į́'dę́ę'go aheedaníłtéel doo. 
26:43:017:0	Biyaadi dah náhást'ą́ągo ahééhool'áhígíí, éí łahdę́ę'go naadiin dį́į́' ké silá bíighahgo áníłtéel doo, áko t'áá dį́į́'dę́ę'go aheedaníłtéel doo, áádóó bibąąhgóó ahééní'áhígíí éí neeznáá dah alzhin bíighahgo ánízah doo; biyaadi éí k'asdą́ą́' naakidi ké silá bíighah áníłtéelgo ahéénáání'áa doo; bikáá' náá'iiniihí dah si'áníjį' ha'a'aahdę́ę'go ałk'i hoo'niłí bich'į' haaz'áa doo.  
26:43:018:0	Áádóó Bóhólníihii ánááshidoo'niid, Diné nílíinii, Bóhólníihii Diyin God kóní, Éí bijį́įdi bikáá' náá'iiniihí ályaago bikáá'dóó bik'ehgo hoogáałii bik'ehgo didlidgo náádahaniihii deididoołił, áádóó naaldlooshii náádahaaznii'ii bidił yikáa'gi tádeididoosas. 
26:43:019:0	Bóhólníihii Diyin God ání, Líívai dine'é bits'ą́ą́dóó nááda'iiłniihii ahoolchíiłii, éí Zéídak ba'áłchíní ahoolchíiłii, honishłóníjį' yah anídaakahgo shá nidaal'a'í éí dóola yáázh ádił oodzíí'jí nááhidoonihii baa dííłtééł. 
26:43:020:0	Dóola yáázh bidiłígíí ła' nídidííkáałgo bikáá' náá'iiniihí akáa'di dah si'ánígíí éí naanídaaz'áhídóó adee' dadeez'áhígíí bee dah daalchíi'go ádadííliił áádóó ałdó' bikáá'dę́ę́' naanídaaz'áhígi dił bee dah daalchíi'go ádadííliił índa dah náhást'ą́ągo ahééhool'áhígíí bibąąhgóó dił bee ahééjíchii'go ádíílííł; kót'éego bikáá' náá'iiniihí éí bí'díídee'go áádóó diyingo ádíílííł. 
26:43:021:0	Índa dóola yáázh ádił oodzíí'jí nááhaaznii'ii kin bii' sohodizin si'ą́ą́dóó, nílááh, tł'óo'di biniyé nihoot'áníjį' ch'ídííłtéełgo áadi didoodlił. 
26:43:022:0	Biiskání t'áá ákót'éego tł'ízíchǫǫh ádił ni'iidzííhjí nááhániihii doo bąąh dah haz'áanii nínááhidííłnih, áádóó bikáá' náá'iiniihí bí'díídee'go ádíílíłígíí biniyé bidił t'áá dóola bidił nisínísas yę́ęgi át'éego nináádíísas. 
26:43:023:0	Díí bí'díídee'go íinilaago, áko índa dóola yáázh doo bąąh dah haz'áanii índa deenásts'aa' naakaídę́ę́' ła' doo bąąh dah haz'áanii Bóhólníihii baa didíí'ááł. 
26:43:024:0	Dóola yáázh áádóó deenásts'aa' éí Bóhólníihii baa didíí'ááł áádóó nááda'iiłniihii éí áshįįh yik'ídeidooniłgo deidiłidgo Bóhólníihii yich'į' náádeidiyoołnih. 
26:43:025:0	Áko tł'ízí t'ááłá'í índa dóola t'ááłá'í áádóó deenásts'aa' t'ááłá'í naakaídę́ę́' ła' doo bąąh dah nahaz'áanii ła'a jį́įjį' ádił oodzíí'jí shich'į' náádahołniihgo tsosts'id jį́ adooleeł. 
26:43:026:0	Nááda'iiłniihii éí tsosts'id jį́įjį' bikáá' náá'iiniihí yikáá' bee k'ééhoodǫǫłii náádayiiłniihgo bi'didéehgo ádeidoolííł. Kót'éego bikáá' náá'iiniihí diyingo ats'ádeet'ą́ągo ádeidoolííł. 
26:43:027:0	Tsosts'id yiską́ą́dóó bik'ijį' bikáá' náá'iiniihí bikáa'jį' nihá didlidgo nááhániihii índa hózhǫ́ǫ́jí nááhániihii éí nááda'iiłniihii náádayiiłniihgo yaa nídidookah, áko índa nihidínéesįįłgo náánihidideesh' nił, ní Bóhólníihii Diyin God. 
