26:18:001:1	Ii' sizíinii ádił ni'iisíihii dadootsaał
26:18:011:0	(nidi azhé'é nilíinii kódaat'éii t'áadoo áyiilaa da) éí biye' dziłghą́ą'di hodílzingo haz'ánígi ayáanii índa yił kééhat'íinii be'asdzą́ą́ yił ahidoolyáii, 
26:18:012:0	diné badahojooba'íii índa hojooba' nahas'áanii yide áhósinii, agha'ii'níiłgo yaa naagháii, diné niidooléełgo yee nihoní'áanii doo yá hasht'enéídléehii, eda'alyaii yich'į' aheeghaałii, doo yildinii yaa naagháii, 
26:18:013:0	béeso a'ii'níłígíí yee ínáóltą'í yókeedii, bee bilááh neheleehígíí áłah áyoolíiłii, éí dinéésh hináa doo? Éí doo jiináa da doo; díí doo daaldinii ts'ídá t'áá ałtso baa nijiyá; ts'ídá t'áá aaníí dazdootsaał; t'áá hó hadił hak'éidoot'ih. 
26:18:014:0	Ákondi, éí diné biye' hazlį́į'go éí biye'ígíí bizhé'é ádił ni'iisíí' yę́ę t'áá ałtso yiyiiłtsą́ągo yaa nitsízkééz, áko doo yikék'eh deeyáágóó, 
26:18:015:0	dziłghą́ą'di hodílzingo haz'ánígi doo ayáanii, Ízrel dine'é bi'eda'alyaii doo yich'į' ahighaałii, yił kééhat'íinii be'asdzą́ą́ doo yił ahidoolyáii, 
26:18:016:0	doo ła' yide áhósinii, diné béeso beidiní'áanii, Tsį́įłgo shaa nínííł, doo yiłníinii, diné doo yigha' ii'níiłii t'áá bí bich'iyą' diné dichin danilínígíí ya'ałtso'ii, t'áá łichí'ígo nidaakaii éé' yitainiihii, 
26:18:017:0	badahojoobá'íii doo atííł'íinii, ínáóltą'í índa bee alááh náádleełii doo yinízinii, shibik'ehgo hoogáałii yi'iilaii índa bee nihoyí'áanii yik'ehgo yigáałii éí hazhé'é doo ákwii áát'įįdii biniinaa doo dazhdootsaał da, nidi t'áá aaníí jiináa dooleeł. 
26:18:018:0	Nidi hazhé'é doo yits'íídgóó diné yich'į' nahwiisnáa'go áádóó bik'is t'áá na'níle'dii yigha'ídláago índa bidine'é yitahgóó doo yá'át'éehii yaa naayáago biniinaa doo ákwii áát'įįdii bąą dadootsaał, jó'akon. 
26:18:019:0	Nidi ádadohní, Doo haniih haye'go bizhé'é doo ákwii áát'įįdii yá yik'é ti'hooníih da? Haye' éí bee bá haz'áanii índa t'áá ákogi é'ét'éii yik'ehgo ádzaa áádóó bee nihwiish'aahii t'áá ałtso yi'iilaago éí yee t'áá aaníí hináa doo. 
26:18:002:1	Diyin God ááníiłii doo haada yit'ée da
26:18:020:0	Ii' sizíinii ádił ni'iisíihii dadootsaał. Azhé'é jílíinii éí doo ákwii ájíít'įįdígíí haye' doo yik'é ti'hwiidoonih da, índa haye' doo ákwii áát'įįdígíí doo bik'é ti'hwiizhdoonih da; t'áá ákogi ájooníi łii éí hat'áá ákogi é'ét'éii hoł hólǫ́ǫ doo; doo yá'áshǫ́ǫ́góó ájooníiłii éí hadoo yá'áshǫ' hoł hólǫ́ǫ doo. 
26:18:021:0	Nidi diné t'áá íiyisí doo yá'áshóonii ádił ni'iisíi'ii t'áá ałtso yóó'iidíí'ą́ągo áádóó bee nihwiish'aahii t'áá ałtso yik'eh hół'į́įgo áádóó bee bá haz'áanii índa t'áá ákogi é'ét'éii yaa naagháago éí doo dadootsaał da; ts'ídá t'áá aaníí hináa dooleeł. 
26:18:022:0	T'áá ákogi ádziidzaaígíí bąą jiináa doo; doo ákwii ájíít'įįdii t'áá ałtso doo há bééhodoonih da. 
26:18:023:0	Diné doo yá'áshóonii daaztsą́ągoósh bąą shił hózhǫ́ǫ doo? ní Bóhólníihii Diyin God. Nidi éí diné yee át'éii yóó'iidíí'ą́ągo hinánígíí baa shił hózhǫ́. 
26:18:024:0	Diné t'áá ákogi át'éii t'áá ákogi ájít'éhígíí yóó'azhdíí'ą́ągo, áko doo ákwii é'ét'éii baa nijigháago, índa diné t'áá íiyisí doo yá'áshóonii doo daaldinii yaa naakaígíí baa nijiyáago, da' éísh diné jiináa doo? T'áá ákogi ádaat'éii baa nijiyáhígíí doo há bééhodoonih da, háálá hoł nilíinii bik'ijį' dzizlį́į'go índa ádił adzisiihgo ízhdiilyaaígíí t'áá éí biniinaa dazdootsaał. 
26:18:025:0	Nidi Bóhólníihii yee át'éii éí doo ákǫ́ǫ́ át'ée da, dadohní. Ízrel dine'é danohłíinii, ge', bee ánísht'éiísh doo ákǫ́ǫ́ át'ée da? Nihí bee ádanoht'éii ts'ídá doo ákǫ́ǫ́ ádaat'ée da. 
26:18:026:0	Diné t'áá ákogi át'éii t'áá ákogi ájít'éhígíí yóó'azhdíí'ą́ągo, áko doo ákwii é'ét'éii baa nijigháago, éí bik'ee dazhdootsaał; doo ákwii ájíít'įįdii bik'ee dazhdootsaał. 
26:18:027:0	Náá'áłdó', diné t'áá íiyisí doo yá'áshóonii éí doo yá'áshǫ' yaa naagháhígíí yóó'iidíí'ą́ągo áádóó bee bá haz'áanii índa t'áá ákogi át'éii yaa naagháago éí diné yisdá'ádidooltééł. 
26:18:028:0	Háálá doo ákwii ájooníiłii nabik'ítsídzízkéezgo ałtso yóó'azhdíí'ą́ągo doo dazhdootsaał da; ts'ídá t'áá aaníí jiináa doo. 
26:18:029:0	Nidi Ízrel dine'é ádaaní, Bóhólníihii yee át'éii éí doo ákǫ́ǫ́ át'ée da. Ízrel dine'é danohł íinii, bee ánísht'éiísh doo ákǫ́ǫ́ át'ée da? Nihí bee ádanoht'éii ts'ídá doo ákǫ́ǫ́ ádaat'ée da. 
26:18:030:0	Éí bąą Ízrel dine'é danohłíinii, t'ááłá'í nootínígo baa nidaahkaígíí bik'ehgo nihaa nídéesht'įįł, ní Bóhólníihii Diyin God. Doo ákwii ádanoht'éhígíí bąą doo atínihidi'doolníłígíí biniyé bee haz'áanii dahohtíihii ałtso yóó'adahidoh'aahgo łahgo át'éego Diyin God bich'į' tsíńdadohkees. 
26:18:031:0	Bee haz'áanii dahohtíihii ałtso yóó'adahidoh'aah ajéí ániidíii índa nitsáhákees ániidíii nihaa dideesh'ááł. Ha'át'íísh biniyé dadínóohnééł, Ízrel dine'é danohłíinii? 
26:18:032:0	T'áá háiida bizéé' hazlį́į'ii éí doo baa shił hózhǫ́ǫ da, ní Bóhólníihii Diyin God, áko łahgo át'éego tsídahidohkeesgo dahinohnáa doo.
