26:13:001:1	T'óó ádahodil'į́įgo áhodooníiłii yaa dahalne'ii bá nidahwiist'ą́
26:13:011:0	łeezh łigaií yee da'azhdlézhígíí ábidiní, Éí nidoołdas; tó yajiiłį́ nahalingo nahodoołtį́į́ł, nílótsoh nidoołtį́į́ł áádóó ayóó át'éego dooyoł. 
26:13:012:0	Shoo, tsé yítł'inii nááłdáazgo ła' ádanihididooniił, Dashoodlézhígíí éí k'ad háadi? 
26:13:013:0	Éí bąą Bóhólníihii Diyin God kóní, T'óó báhádzidgo bich'į' sháhóóchįįdgo t'áá íiyisí dooyoł; hach'į' sháhóóchįįdgo tó yajiiłį́ nahalingo nahodoołtį́į́ł; t'óó báhádzidgo sháháchį'go nílótsoh nááłtánígíí bee ádooldįįł. 
26:13:014:0	Tsé yítł'ingo ní'áii łeezh łigaií bee dashoodlézhígíí ni'jį' naa'ahideeshkałgo nihidíl'áa doo; bee niłdzilgo biyaadi ahéé'ní'áhígíí t'áadoo bikáá' siláhí da doo. Éí tsé nááłdáazgo nihí t'áá ákwii dadínóohnééł, áko Bóhólníihii nishłį́įgo nihił béédahodoozįįł. 
26:13:015:0	Ákót'éego tsé yítł'ingo ní'áhígíí índa łeezh łigaií bee da'jizhdlézhígíí t'áá bił t'óó báhádzidgo shibee atí'él'íinii bee atíhodeeshłííł, áádóó ádahodideeshniił, Tsé yítł'ingo ní'áhígíí doo ní'áa da índa da'jizhdlézhígíí ádadzisdįįd; 
26:13:016:0	éí ááhdishnínígíí, Ízrel dine'é yá dahalne'ii éí k'é náhásdlį́į'go dayoo'į́į nidi, Jerúsalem bá doo k'é náhásdlį́į' da, ní Bóhólníihii Diyin God. 
26:13:017:0	Áádóó diné nílíinii, nidine'é bitsi'ké danilíinii t'áá bí yaa nitsídaakeesgo yaa dahalne'ii bits'ą́ąjį' díní'į́į'go áádóó bik'ijį' nílį́įgo hólne'go 
26:13:018:0	kódíní, Bóhólníihii Diyin God kóní, Doo t'áá aaníinii biniyé diné hadanohtáii tsii'ááł yázhí nídaołkadgo diné t'áá ałtso bílátsíín gónaa bąąh nidahohníiłii índa t'áá ałtso tsii' bik'ínáltihí bá ádaoł'íinii, éí sáanii danohłíinii doo hojooba' ájíníi da! Shidine'éésh bii' naazíinii ádadoodįįł biniyé hadadínóohtaałgo éí bee nihí nihii' naazíinii dadoodzih? 
26:13:019:0	Shidine'é bitahgóó doo anishłį́į́góó ádashoohłaago tł'oh naadą́ą́' bidee'í díkwíidida yílá bee haajaa' bíighahgo índa bááh bizéí bik'é diné doo dadínóonéeł da yę́ę nidasoołtseed índa shidine'é wooch'ííd dayíists'ą́ą'ii danóh'áahgo dadinóonééł yę́ę yisdádahisoonil. 
26:13:020:0	Éí bąą Bóhólníihii Diyin God kóní, Tsii'ááł yázhí bee diné éí tsídii nidahalingo hadanootą́ą'ii bik'ijį' nishłį́įgo nihílátsį́į́dóó nahjį' ahideeshdlał, áko diné éí tsídii nidahalingo hadanootą́ą'ii béédadideeshchił. 
26:13:021:0	Tsii' bik'ínáltihí nidaohjahii ałdó' nidahideesǫ́ǫsgo shidine'é nihigháádeeshnił, áko shidine'é doo t'áá dayínóhtą' da doo, áko Bóhólníihii nishłį́įgo nihił béédahodoozįįł. 
26:13:022:0	T'áá ákogi ádaaníiłii doo bíni' deił'a'ígíí éí nihí danóh'áahgo bíni' daoł'a'ígíí biniinaa áádóó diné t'áá íiyisí doo yá'áshóonii yisdádoogáłígíí biniyé t'áá íiyisí doo yá'áshǫ' náás yoołt'ihígíí bits'áoya' lágo, dabidooniid; 
26:13:023:0	éí bąą t'áadoo biniyéhígóó ił áhát'į́ áádóó t'óó nabídanoołyęęshii doo náádeidoołtséeł da; shidine'é nihigháádeeshnił, áko Bóhólníihii nishłį́įgo nihił béédahodoozįįł.
