26:16:001:1	Jerúsalem doo ba'ahódlíii
26:16:025:0	Kintahgóó dah da'diitiindóó t'áá ałtso wódahgo nahaz'ánígíí íinilaago áádóó níighahgóó dahidiikáhígíí bich'į' ádí'iinilkąąhígíí bee índa íłjiłgo t'óó tsé'édinda í'diinilyaaígíí bee ayóó áníínílnin yę́ę doo ni'dóldingóó í'diinilyaa. 
26:16:026:0	T'áá íiyisí íłjił sínílį́į'go adáninilníigo bił kééhót'íinii Ííjip dine'é ałdó' bił ahíníldah nít'éé', áko sháhwííníłchįįd. 
26:16:027:0	Éí bąą shoo, nik'ijį' k'ídíshnii'go ch'iyáán naa hidish'aahii áłch'į́į́dígo áshłaa áádóó Filístiya dine'é bitsi'ké t'óó baa'ihgo hinínánígíí yaa yá danízinii, éí nik'ee dadiniihígíí baa nidiní'ą́. 
26:16:028:0	Doo hwiih nileehígíí biniinaa Asíriya dine'é ałdó' bich'į' íłjił nít'éé'; t'áá aaníí bich'į' íłjił nidi, t'áadoo hwiih sínílį́į' da. 
26:16:029:0	Áádóó ałdó' nida'iiłniihí bikéyahdi Kaldíya dine'é bich'į' íłjił nít'éé'; azhą́ kónít'į́į́ nít'éé' nidi, t'áadoo hwiih sínílį́į' da. 
26:16:030:0	Ałjiłnii doo nánílyéesii áát'įįdígi át'éego díí t'áá ałtso baa nisíníyáago, dooládó' yówéé át'éego ats'íís yidánoolníinii doo bich'į' ha'íínílníi da! 
26:16:031:0	Kintaa hada'iiztiingóó t'áá ałtso hodílzingo nahaz'ánígíí íinilaago índa kintaa da'nítiingóó t'áá ałtso wódahgo nahaz'ánígíí íinilaago bik'é nich'į' ni'doolyéłígíí doo nínízinígíí beego doo ałjiłniigi ánít'ée da nít'éé'. 
26:16:032:0	E'asdzą́ą́ adiléii bahastiin doo yinízingóó diné doo bééhózingóó nidaakaii át'ayii'nííł! 
26:16:033:0	Diné éí ałjiłnii t'áá ałtso t'áadoo le'é yaa dayiinííł, nidi ni éí bił ałch'į' ádant'íinii t'áá ałtso t'áadoo le'é baa dahíínínil; bich'į' da'íłjił doolee ł biniyé t'áadoo le'é bee níhíkąąhgo t'áá ałtsodę́ę́' nąąh hakáahgo íinilaa. 
26:16:034:0	Áko ni t'éí ałjiłnii nílį́įgo náánáła' asdzání ádaat'éhígi doo ákónít'ée da: diné ła' díníitish doo nidííniid da áádóó doo bik'é na'ílyáa da, nidi ni bich'į' na'ayínílá; ákót'éego ni łahgo ánít'é. 
26:16:035:0	Éí bąą ałjiłnii nílíinii, Bóhólníihii bizaad diits'į́į́h: 
26:16:036:0	Bóhólníihii Diyin God kóní, Diné bił ałch'į' ádant'į́ yę́ę bił ahidadílyéego bee baa yánínízin yę́ę t'áadoo bahat'aadí íinilaago t'áá łiníchí'í sínílį́'ígíí biniinaa áádóó eda'alyaii t'áá ałtso bił doo ni'dóldin yę́ę biniinaa índa eda'alyaii bich'į' na'áłchíní náádahíłniihgo bidił dadeezna' yę́ę biniinaa, 
26:16:037:0	shoo, diné bił ałch'į' ádant'íinii bił ádee nídasíníldįįdgo ayóó'ádeíní'ní yę́ę t'áá ałtso índa bik'ee dadiníniih yę́ę t'áá ałtsodę́ę́' nik'ijį' áłah ádeeshłíiłgo t'áá łiníchí'ígo daniidoołtséłígíí biniyé ni'éé' ałtso naa dideeshnił. 
26:16:038:0	Áádóó asdzání da'diléii índa áłchíní nideiłtseedgo bidił bits'ádaazlį́įgo ádeile'ii baa nídahat'ínígíigi át'éego naa nídéesht'įįł, áádóó łe'nisingo t'óó báhádzidgo shibee atí'él'íinii bee nidił nits'ánílį́įgo ádeeshłííł. 
26:16:039:0	Áádóó ałdó' baa nidideesh'áałgo hodílzingo nahaz'ánígíí nits'ą́ą́' nahjį' adeidoogoł índa ninádahałaah doo biniyé wódahgo nahaz'ą́ągo ádeinilaaígíí nits'ą́ą́' nideidiyootih; ałtso naa dadi' doojihgo bee hadinít'éii danizhóní yę́ę nąąh deídóobeeł, áko t'áá łiníchí'ígo doo nik'ésti'ígóó ádandoolííł. 
26:16:040:0	Áádóó ałdó' diné t'óó ahayóí yił naa doonéełgo tsé yee nídandínóołniił índa bidiltłish yee nidandiyoołgish. 
26:16:041:0	Nighan ałtso adeididoołk'ą́ą́ł índa asdzání t'óó ahayóí binááł t'áá ándi'doolnííł góne' ádandoolííł; ałjiłnii doo nílį́į́góó ándeeshłíiłgo diné bich'į' doo nináá'ayílée da doo. 
26:16:042:0	Kót'éego t'óó báhádzidgo shibee atí'él'íinii bee atíniishłaago hwiih deeshłeeł; áadi índa doo łe'nisin da doo, áko hasht'edíínísht'éego ts'ídá doo shá nááhodoochįįł da. 
26:16:043:0	Ániid nanináádą́ą́' níyoołkáałii doo béénílniihígíí biniinaa éí t'áá ałtso bee sháhwííníłchįįd; éí bąą íínít'įįdígíí t'áá éí bee k'ééndideeshdlííł, ní Bóhólníihii Diyin God, áko díí t'óó baa'ihígíí éí doo ni'dóldinii doo béédi'díítsih da. 
26:16:044:0	Jó, saad bik'eh náhodiit'éehii yee yádaałti'ii t'áá ałtso díí saad yee naa yádaałti' doo, Ach'é'é t'áá bimá át'éhígi át'é. 
26:16:045:0	Nimá bahastiin índa ba'áłchíní doo yił ni'íłdįįhii éí bich'é'é nílį́; nádí áádóó nideezhí badahastiin índa bada'áłchíní doo yił nida'íłdįįhii éí t'áá ła' bił háíníjéé'; nimá Het dine'é nilį́į́ nít'éé'; nizhé'é éí Ámor dine'é nilį́į́ nít'éé'. 
26:16:046:0	Nádí Samériya dine'é nilį́įgo kééhót'į́į́dóó náhookǫsjígo bich'é'éké yił dabighan nít'éé'; nideezhí éí bich'é'éké yił Sádam dine'é danilį́įgo shádi'ááhjígo dabighan nít'éé'. 
26:16:047:0	Nidi ádaat'éii bikék'eh yíníyá índa bee doo dabi'dildinii íinilaa, nidi t'įįhdígo át'éii baa nitsííníkéezgo t'ah biláhídi át'éego íinidzaaígíí ałtso dííłdzid. 
26:16:048:0	Bóhólníihii Diyin God ání, Ts'ídá t'áá aaníí hinishná; ákót'éego ts'ídá t'áá aaníí ni áádóó nich'é'éké ádaot'įįdii nideezhí Sádam áádóó bich'é'éké ts'ídá t'áadoo ákódaadzaa da. 
26:16:049:0	Jó, nideezhí Sádam díí yee ádąąh dahast'ą́ą́ nít'éé': bí áádóó bich'é'éké bee ádaa dahodzódli' áádóó ch'iyáán t'áá bilááh neel'ą́ą́ nít'éé' índa t'áadoo ádayóle'ígóó kéédahat'į́į́ nít'éé', nidi diné bahojoobá'íii índa hojooba' nahas'áanii t'áadoo ła'da yíká ííjée' da. 
26:16:050:0	Bee ádaa dahodzódli'go doo daaldinii shinááł yaa nidaaskai; éí bąą dahoołtsą́ągo nahgóó kóhooshłaa. 
26:16:051:0	Bee ádił ni'iyínílzíi'ii ałníí'dóó nidi, Samériya t'áadoo yee ádił ni'iisíi' da; bí doo daaldinígi ádaadzaaígíí biláahgo doo yildinígi íínít'įįd; doo yildinígi íínít'įįdígíí t'áá ałtso bee nádí áádóó nideezhí t'áá ákogi át'é nahalingo íinilaa. 
26:16:052:0	Niláahdi nádí áádóó nideezhí t'áá bich'oho'níigo baa hwiiníst'įįdígíí bąą ádaa yánínídzingo nanináa doo; doo daaldinii yaa naazh'ázhígíí t'ah bilááh át'éhígo doo yildinii baa nisíníyáhígíí bee t'áá íiyisí ádił ni'iyínílzí'ígíí bił ahąąh naa'nilgo doo hózhǫ́ ádił ni'iisíi' da, áko ádaa yánínídzingo bee naa yáhóósįįdii hólǫ́ǫgo naniná, háálá nádí áádóó nideezhí t'áá ákogi át'é nahalingo íinilaa. 
26:16:053:0	Sádam áádóó bich'é'éké índa Samériya áádóó bich'é'éké éí t'áá áłah bi'disnáádę́ę́' ch'éédeesh'niłgo yá'át'éehgo iiná hólǫ́ǫjį' anídeesh'nił, áádóó éí bitahjį' yá'át'éehgo iiná hólǫ́ǫjį' ni ałdó' ni'disnáádę́ę́' atah ch'ééndeesht'eeł, 
26:16:054:0	áko nee ha'ólníi doogo íínít'įįdígíí t'áá ałtso biniinaa ádaa yánínídzingo bee naa yáhósįįdii hólǫ́ǫgo nanináa doo. 
26:16:055:0	Nideezhí Sádam áádóó bich'é'éké éí dahináá nít'éé' yę́ęgi át'éego náádahi'náa doo áádóó nádí Samériya áádóó bich'é'éké éí dahináá nít'éé' yę́ęgi át'éego náádahi'náa doo índa ni áádóó nich'é'éké éí t'áá dahinohnáá nít'éé' yę́ęgi át'éego náádahinohnáa doo. 
26:16:056:0	Ádaa hó'niihgo yoołkááł yę́ędą́ą́' nideezhí Sádam t'áadoo bee háínídzíi' da. 
26:16:057:0	Doo yá'áníshónígíí t'ah doo báá'díltsóósdą́ą́' bígi át'éego ni k'ad Síriya bich'é'éké índa bił kéédahat'íinii t'áá ałtso Filístiya bich'é'éké danilíinii éí ninaagóó kéédahat'ínígíí t'áá ałtso ná nidahałt'i'ii sínílį́į́'. 
26:16:058:0	T'óó naa'ihgo hinínáá nít'éé' yę́ę índa doo yildinígi áánííł nít'éé' yę́ę bik'é atíndiilyaaígíí tádíłjiid, ní Bóhólníihii Diyin God. 
26:16:059:0	Jó, Bóhólníihii Diyin God kóní, Bee ádee ha'oodzíi'ii yíní'įįdgo bee aha'deet'áanii k'ííníti'ígíí, t'áá éí bik'ehgo ts'ídá íínít'įįdígíí bee naa nídéesht'įįł. 
26:16:060:0	Azhą́ ákót'ée nidi, ániid nanináago níyoołkááł yę́ędą́ą́' nił aha'dinisht'áanii bénáshniih doo áádóó hool'áágóó aha'deet'áanii ná ádeeshłííł. 
26:16:061:0	Áko nádí índa nideezhí éí t'áá áłah bił háíníjé'ígíí yiiłtsood áádóó nich'é'é nilį́į doogo naa deeshnił, áko índa íínít'įįdii béédíílnihgo baa yánínízin doo, nidi shił aha'díínít'áanii éí bee dooda. 
26:16:062:0	Áádóó nił ahadi'deesht'áałgo Bóhólníihii nishłį́įgo nił bééhodoozįįł. 
26:16:063:0	Áko íínít'įįdii t'áá ałtso nits' ánídiní'ą́ągo íínít'įįdii béédíílnihgo índa t'óó bik'ee nił ahayói doo áádóó biniinaa ádaa yánínídzinígíí doo bee hanáádíídzih da, ní Bóhólníihii Diyin God.
