20:6:001:1	Ił hóyéé' áádóó ina'adlo' bik'ijį' ha'oodzíí'
20:6:023:0	Háálá bik'eh ó'oo'níiłii éí bee hool'iní át'é, áádóó bee haz'áanii éí adinídíín át'é, áádóó nich'ahodishkéego nandi'nitinii éí iiná bá honít'i'ii át'é. 
20:6:024:0	Áko asdzání doo yá'áshóonii, asdzání doo bééhonísinii bizaad łikango yáłti'ii yits'ąą naa áhályą́ą doo. 
20:6:025:0	Ayóó ánoolnin nidi nijéí biyi'dóó t'áadoo bidáninilníní, índa bináá' yee nółnééł lágo. 
20:6:026:0	Háálá diné ła' ałjiłnii bíkazhnigo'go hahojoobá'í áhodoolííł, áádóó asdzání adiléii iiná ílíinii deeshchxǫǫł nízingo haintá. 
20:6:027:0	Dinéésh ła' kǫ' ádíiyiiltsoodgo bi'éé' doo didoolił da? 
20:6:028:0	Éí doodaii' dinéésh ła' tsííd bikáá' nijiyáago doo hakee' jididoołił da? 
20:6:029:0	Diné ła' bił kééhojit'íinii be'asdzą́ą́ bił yah ajííyáago ákóhodi'doolnííł; t'áá háiida éí asdzání baa nídzíst'įįdgo atíhodi'doolnííł. 
20:6:030:0	Ani'įįhii dichin nilį́įgo, hwiih dooleeł biniyé aneez'į́į'go diné doo dabiiłkóoh da, 
20:6:031:0	nidi bééhoozįįhgo tsosts'idi ahą́ą́h nániilá bíighahgo niná'doodlééł; bighan góne' hólóonii t'áá ałtso eidoonił. 
20:6:032:0	Nidi diné ła' azhdííláago bee ak'i'diitįįhii hwee ádin; t'áá hó shii' sizíinii deeshchǫǫł nízinii ákót' į́. 
20:6:033:0	Tíhodi'doolnííł áádóó doo ił jílį́į da dooleeł, índa t'óó bee haa yáhóósįįdii doo baa hodiyoo'nah da. 
20:6:034:0	Háálá ahastiin nilíinii łe'dí'nóozįįłgo báhodoochįįł; éí bąągo bainíłką́ągo doo haisti'góó k'ééhodidoodlííł. 
20:6:035:0	Nályééh doo bił sih da doo, índa azhą́ bee naho'diiniihii daashíínéelą́ą́' baa nínííł nidi doo k'é nándidoo'niił da.
