20:8:001:1	Hódzą́ éí ayóó ánóolnin áádóó hool'áágóó hólǫ́
20:8:018:0	Yit'íinii índa ił ídlį́ shee hólǫ́; t'áá aaníí, yódí ałtaas'éí dadina'ii índa t'áá ákogi ádaat'éii shee hólǫ́. 
20:8:019:0	Shineest'ą' éí óola biláahgo yá'át' ééh; t'áá aaníí, óola bąąh nídoolyį́į'ii biláahgo yá'át'ééh; shá bilááh násdlį́į'ii éí béésh łigaii bitahaasdláa'ii biláahgo yá'át'ééh. 
20:8:020:0	T'áá ákogi át'éego áhoot'éégóó índa doo haada yit'éii bee dahonít'i'góó yishááł. 
20:8:021:0	Áko ayóó'ádashó'níinii badadi'yoodi łígíí biyódí bá dahooghangóó yódí hadadeezbingo ádadeeshłííł. 
20:8:022:0	Hodeeyá bilááhdę́ę́' Bóhólníihii bíí' nishłį́; t'ah doo t'áadoo le'é íílééhdą́ą́' bíí' nishłį́. 
20:8:023:0	Hool'áádę́ę́' hasht'e'nishi'deelkid; hodeeyáádę́ę́', doodaii' t'ah doo nahasdzáán álnééhdą́ą́' honishłǫ́. 
20:8:024:0	Tónteel t'ah ádindą́ą́' áádóó tó hadaazlį́į́góó tó t'ah doo hadaanééhdą́ą́' yit'íní áshi'diilyaa. 
20:8:025:0	Dził t'ah doo ádaalnééhdą́ą́', dah daask'idígíí t'ah doo ádaalnééhdą́ą́' yit'íní áshi'diilyaa. 
20:8:026:0	T'ah doo nahasdzáán íílééhdą́ą́', kédaayahii t'ah doo íílééhdą́ą́', nahasdzáán bikáá'dóó łeezh t'ah doo íílééhdą́ą́' honishłǫ́. 
20:8:027:0	Yót'ááh hiníláii áyiilaadą́ą́' ákwii honishłǫ́; tónteel ahééhiníyį́įgo áyiilaadą́ą́' ákwii honishłǫ́. 
20:8:028:0	K'os dah deílzhoodgo áyiilaadą́ą́', tó lą'í hadaazlį́įgo áyiilaadą́ą́' honishłǫ́. 
20:8:029:0	Bóhólníihii bibee haz'áanii éí tó bik'eh dahół'į́į dooleełgo, T'áá kódíjį' tónteel nihiníyį́į dooleeł, dííniidą́ą́' honishłǫ́; nahasdzáán niłdzilgo niiní'ą́ą́dą́ą́' honishłǫ́. 
20:8:030:0	Naanish yiyiichįįhii nishłį́įgo bíighahdóó honishłǫ́ǫ́ nít'éé'; t'áá áłahjį' bidááhdóó shił hózhǫ́ǫgo shaa bił nihoozhǫǫh nít'éé'. 
20:8:031:0	Diné kéédahat'į́į́góó shił nihoozhǫǫh áádóó dine'é danilíinii baa shił nihoozhǫǫh. 
20:8:032:0	Áko k'ad shiyázhí danohłíinii, dashíínółts'ą́ą́'; ádíshníinii bik'eh dahojíł'íinii éí hak'idahojidlí. 
20:8:033:0	Bínanihinishtinii deísínółts'ą́ą'go dahonohsą́ą doo, áádóó doo dadínóosįįłígíí éí dooda. 
20:8:034:0	Shighan bich'é'étiingi t'áá ákwíí jį́ diné shíká déez'į́į'ii, shighan bidáádílkałgi shiba' sidáii, shíists'ą́ą'ii díí lą́ą bik'ihojidlí ni. 
20:8:035:0	Háálá diné shik'íníyáii iiná yik'íníyáa dooleeł, áádóó Bóhólníihii hach'oo'níi doo. 
20:8:036:0	Nidi shich'į' ádił nidziilzíihii éí hwii' sizíinii atíjíł'į́; shik'ee dadiniihii t'áá ałtso aniné ayóó'ádayó'ní.
