5:11:001:1	Bóhólníihii yee ayóó át'éii
5:11:014:0	baa náhwiilzhíishgo nihikéyahgi nihidahałtį́įhgo áádóó akée'di ninádaháłtį́hígíí nihá ánéish'įįh doo, áko nihitł'oh naadą́ą́' áádóó nihiwáin ániidíii índa áliv tsin naazkaadii bineest'ą' bik'ah hééł áńdaoł'įįh doo. 
5:11:015:0	Nihikéyah bikáá'góó nihinaaldlooshii bá ch'il nidanise'go ánéish'įįh doo, áko da'ohsą́ągo hwiih danohłį́į doo. 
5:11:016:0	T'áá nihí ádaa dahonohsą́ągo nihijéí doo bida'doodloh da; éí doodago łahjigo nídasooyizgo diyin dabidi'níinii bá nihídadidooł'aałgo bich'į' nidahohłáa doo. 
5:11:017:0	Éí biniinaa Bóhólníihii hashké nídzingo bik'e'íyée'go nihik'ijį' nilį́į dooleeł, áádóó yót'ááhdę́ę́' nahałtinígíí áidoosįįł, áádóó nihikédaayah doo bikáá' nida'nit'ą'góó íidoolííł, índa Bóhólníihii nilíinii kéyah yá'át'éehii nihaidiní'áanii bikáa'gi t'ahaa'go ałtso ádoohdįįł.  
5:11:018:0	Éí bąą díí shizaadígíí nihijéí bii' índa nihii' sizíinii bii' hazhó'ó hasht'e'nidahidohnííł, áádóó díí saad bee ééhózinii át'éego nihíla' índa nihináta'gi bídahaastł'ǫ́. 
5:11:019:0	Áádóó éí saadígíí bee niha'áłchíní nidanohtin, áádóó nihighan góne' bił nidahisóotą́ągo éí baa yádaałti', áádóó bił tádadohkááhgóó áádóó danohjeehgo índa nídahidoohjeehgo bee bich'į' yádaałti'. 
5:11:020:0	Áádóó nihikin bich'é'étiin bá siláii índa yah ada'iiztiingi dáń'dítį́hí bikáa'gi bee ak'eda'ashchį́įgo ádaahłe' doo. 
5:11:021:0	Áko nihí áádóó nihada'áłchíní ałdó' as'ahgóó nihídeidéeską́; Bóhólníihii nilíinii danihizhé'é yę́ę kéyah yeididoo'áałgo yich'į' yee ádee hadoodzíí'; nahasdzáán bik'igi yádiłhił as'ahgóó abíyííłkánígi át'éego nihídayéełkaah doo. 
5:11:022:0	Jó, díí bik'eh ó'oo'níiłii bee nihich'į' haasdzí'ígíí haleebee bik'eh dahonoł'į́įgo, éí Bóhólníihii nihiDiyin God ayóó'ádeínóh'níigo, áádóó bik'ehgo deínóhkáahgo, índa bąąh dashoojée'go. 
5:11:023:0	Áko Bóhólníihii díí ał'ąą dine'é t'áá ałtso nihilą́ąjį' ch'íiniiłkaad doo áádóó ał'ąą dine'é nihiláahgo ayóó ádaat'éii áádóó nihiláahgo ayóó ádabóodziilii daabíhígíí danihíí' doo. 
5:11:024:0	T'áá ałtsogóó kéyah bikáá' deínóhkáhígíí nihíí' dooleeł; éí honoojíídóó Lébanan hoolyéejį' índa tooh Yufréítiiz hoolyéédóó tónteel siyíníjį' nihá hoodzo doo. 
5:11:025:0	Diné doo ła' nihich'į' woozįįh át'ée da doo, háálá Bóhólníihii nihiDiyin God éí kéyah bikáá' t'áá ałtsogóó deínóhkáahgi nihik'ee hóyée'go índa nihik'e'íyée'go ánihidoolííł; jó, ákót'éego Bóhólníihii nihich'į' yee haadzíi' ni'. 
5:11:026:0	Shoo, díí jį́ nihidáahgi ak'ihojidlíii índa hóyée'go á ha'doodzihii hólǫ́ǫgo áshłaa. 
5:11:027:0	Jó, nihik'idahojidlí, Bóhólníihii nihiDiyin God bibik'eh ó'oo'níiłii bik'eh dahonoł'į́įgo t'éiyá; éí díí jį́ nihich'į' bee haasdziih. 
5:11:028:0	Áádóó hóyée'go nihá ha'oodzíí'; Bóhólníihii nihiDiyin God bibik'eh ó'oo'níiłii doo bik'eh dahonoł'į́į́góogo t'éiyá, nidi díí jį́ nihich'į' bee haasdziihii t'óó bits'áhisoohkaigo, diyin dabidi'níinii doo béédahonohsinígíí bikéé' yóó'ahisoohkaigo hóyée'go nihá ha'doodzih. 
5:11:029:0	Áko kót'ée doo: Bóhólníihii nihiDiyin God éí kéyah nihíí' dooleełjį' anihíí'eezhgo Dzi ł Gérazim hoolyéii bighą́ą́'dóó ak'ihojidlíii baa dahołne' doo índa Dził Ííbal hoolyéii bighą́ą́'dóó hóyée'go á ha'iidziih baa dahołne' doo. 
5:11:030:0	Éí Jórdan tooh wónaanídi sinil; bita'gi yíldzisgo iná'át'áhíjigo, Kéínan dine'é kéédahat'ínígóó Gílgal kin shijaa'ígíí binaashiijí Móreh hoolyéegi chéch'il sikaadígíí t'áá áyídígi sinil. 
5:11:031:0	Áko Bóhólníihii nihiDiyin God éí kéyah danihíí' dooleełgo nihaidiní'ánígíí bich'į' Jórdan tooh ha'naa nidoohnééł, áádóó ádíí' ádadoohłííł, índa ákwii kéédahoht'į́į doo. 
5:11:032:0	Áko yee nihwiiz'áanii índa yee nihodii'aahii t'áá át'é bik'eh dahonoł'į́įgo ádaa daahsįįh; éí díí jį́ nihidááhgóó ninílá.
