5:19:001:1	Kin hadaas'áii bii'jį' yisdá'niichéehii
5:19:011:0	Nidi diné ła'da yił kééhat'íinii yik'ee deeznihgo áádóó yaa niheedzáago áádóó yił adoodiłgo yił niizníłhaalgo índa bí t'éí díí ła' kin haal'áajį' adínóochéełgo, 
5:19:012:0	áko hakin haal'áhídóó hastóí aląąjį' naazíinii háká ida'dooł'aałgo nihodi'doodlóós áádóó dił biniinaa k'ééhodidléehii yaa dahodidoo'áałgo hodiyoołhééł. 
5:19:013:0	Dooyéí haa a'áhí dadínóohsįįł da nidi diné doo ádihodiilt'i'ii seesyį́įgo bidił bits'ánílį́įgo éí bee ádihodidoot'ihii Ízrel dine'é bitahdóó nahjį' kódaał'į́į doo, áko nihá yá'át'éehgo áhooníił doo. 
5:19:002:1	Oo'íinii k'ehgo halne'ii bá bee haz'áanii
5:19:014:0	Bił kééhót'íinii bikéyah bikáa'gi tsé adeiztsih yę́ę doo łahgo anáádahidoohtsih da; éí náshiinídą́'ídi danihizhé'é yę́ę kéyah bee bééhózin doo biniyé tsé yee dahodeezo nít'éé'. Jó, Bóhólníihii nihiDiyin God nilíinii kéyah nihíí' dooleełgo nihaidiní'ánígíí ádíí' ádadoohłííł. 
5:19:015:0	Oo'íinii t'ááłá'ígo éí, Doo ákwii ájíít'įįd da, doodaii', Ádił adzisiihii bee ádił adzisiih, jiníigo éí doo bik'ehgo diné baa náhódóot'įįł da, nidi oo'íinii naaki, doodaii' táa'dago t'éiyá baa náhódóot'įįł. 
5:19:016:0	Ła'da t'áá ádzaagóó diné yide nídiidzáago yik'i hodii'aahgo, Doo yá'áshónígi ájíít'įįd, níigo 
5:19:017:0	éí diné t'áá ájíłah saad ahíjít'áhígíí éí Bóhólníihii áádóó nááda'iiłniihii áádóó ándahwii'aahii ákwii hólǫ́ǫgo yoołkáłígíí bidááhdóó nizhdoo'ash. 
5:19:018:0	Ándahwii'aahii ts'ídá haleebee nidahodoołkah; jó, hojilne'ígíí t'áá áhoodzaagóó hojilne'go hak'is t'áá ádzaagóó baa hojilne'go hwééhodoozįįł. 
5:19:019:0	Áko diné biyooch'íidii kódahodoohłííł: Shik'is ádeeshłííł, dzinízin yę́ęgi át'éego, jó, hóda ákódahodoohłííł; kót'éego nihitahdóó doo yá'áshóonii nahjį' kódaał'į́į doo. 
5:19:020:0	Áádóó t'áá ákǫ́ǫ́ kéédahojit'ínígíí éí da'dzíists'ą́ą' doo índa hoł daayée' doo, áko kodóó nihitahgi doo yá'áshóonii doo ła' ánáádazhdoodlíił da. 
5:19:021:0	Dooyéí haa a'áhí dadínóohsįįł da; iiná hąąh yiz'įįdii iiná bąąh nídoot'įįł, bináá' atíjiilaago hanáá' atínídoolnííł, biwoo' atíjiilaago hawoo' atínídoolnííł, bíla' atíjiilaago hála' atínídoolnííł, bikee' atíjiilaago hakee' atínídoolnííł.
