5:4:001:1	Mózes éí Ízrel dine'é ak'eh dahonoł'į́, yiłní
5:4:020:0	Nidi nihí Bóhólníihii dah nihidii'eezh áádóó kǫ' bits'á honigahii bii'dóó hanihíí'eezh; t'áá Ííjip kéyahgi kǫ' bit'ááh dahalchxíi'ii bii'dę́ę́' hanihíí'eezhii; díí jį́ t'áá bí bidine'é bíí' dooleełii danohłį́į doo biniyé tánihidi'éésh. 
5:4:021:0	T'ah nááyówehgo nihiniinaa shich'į' Bóhólníihii báhóóchįįdgo shich'į' haadzíi'go, Jórdan tooh doo ha'naa nideesháał da lá, índa kéyah ayóó áhonóolninígíí doo biih deesháał da lá. Bóhólníihii nihiDiyin God nilíinii nihí t'éí kéyah ádíí' ádadoohłíiłgo nihaidiní'ą́ą́ lá. 
5:4:022:0	Nidi shí t'éí t'áá kwe'é díí kéyahgi dadeestsaał; Jórdan tooh ha'naagóó doo déyáa da, nidi nihí ákǫ́ǫ́ ha'naa nidoohnéełgo kéyah ayóó áhonóolninígíí ádíí' ádadoohłííł. 
5:4:023:0	Hazhó'ó ádaa ádahołyą́; t'ááká Bóhólníihii nihiDiyin God bibee aha'deet'áanii bee bił ahadadi'nooht'áanii baa dayoohnééh lágo, baa dasiyoonahgo Bóhólníihii nihiDiyin God éí eda'alyaii doo ádá ádadoohłíił da, nihiłní yę́ę ádá ádaołyaa doo, doodaii' bééda'oohdlaa doo. 
5:4:024:0	Háálá Bóhólníihii nihiDiyin God éí kǫ' ó'oołdįįłígi át'éii nilį́; Diyin God bidine'é yaa łe'nízinii nilį́. 
5:4:025:0	Niha'áłchíní dahazlį́į'go áádóó ba'áłchíní náádahasdlį́į'go kéyah bikáá' as'ahgóó dahonohłǫ́ǫgo áádóó t'áá nihí ádadidoołchxǫǫłgo eda'alyaii, doodaii' t'áadoo le'é bida'alyaii ádá ádaał'į́įgo áádóó Bóhólníihii nihiDiyin God binááł badaa'ihii baa nidaahkaigo doo bił aaníígóó ádadoohłíiłgo bá dahodoołchįįłgo, 
5:4:026:0	yá'ąąsh áádóó nahasdzáán bíká ádíshníigo díí jį́ oo'íinii k'ehgo nihaa halne' doo; Jórdan tooh wónaanídi kéyah nihíí' dadooleełgo nihaa deet'ánígíí bikáa'gi ts'ídá ałtso ádoohdįįł; éí kéyah bikáá' doo as'ahgóó anihídeidiyoołkáał da, nidi ts'ídá ałtso ánihidi'dooldįįł. 
5:4:027:0	Áádóó ał'ąą dine'é bitahgóó Bóhólníihii tanihidínóołkał; doo Ízrel dine'é danilíinii bitahgóó Bóhólníihii nihideezh'eezhgóó t'áá díkwíí dadoohdzih. 
5:4:028:0	Áko áadi diyin dabidi'níinii bá nidaał'a' dooleeł; éí diné t'áá bí bíla' yee yindaalnishgo tsin nideizk'ęę'go áádóó tsé nideik'aashgo ádayiilaii; éí diyin dabidi'níigo ádaalne'ii doo da'oo'į́į da, doo nidi da'diits'a' da, doo nidi da'ayą́ą da, doo nidi da'ałchin da. 
5:4:029:0	Nidi áádóó Bóhólníihii nihiDiyin God hádaoht'į́įgo béédahodoohsįįł; nihijéí t'áá át'é bee áádóó nihii' sizíinii t'áá át'é bee hádaoht'į́įgo béédahodoohsįįł. 
5:4:030:0	Áko ti'dahoohnííh hazlį́į'go áádóó éí t'áá ałtso nihik'i dahwiidooleełii beiníłką́ągo, Bóhólníihii nihiDiyin God bich'į' nináhisoohkaigo índa biinéé' bik'eh dahonoł'į́įgo t'éiyá; 
5:4:031:0	(Bóhólníihii nihiDiyin God éí Diyin God aa a'ááh nízinii nilį́;) éí doo yóó'anihididoo'áał da, doo nidi ánihidoołdįįł da, doo nidi danihizhé'é yę́ę bibee aha'deet'áanii yich'į' yee ádee hadoodzíi'ii yeidiyoonah da. 
5:4:032:0	Jó, yoołkááł bił adahwiishzhiizhígíí éí nihítséedi dahólǫ́ǫ́ nít'é'ígíí bínda'ídółkid; Diyin God éí nahasdzáán bikáa'gi diné áyiilaadóó wóshdę́ę́' yádiłhił nidahonees'ą́ąjį' bínda'ídółkid, Díí ayóó át'é ádahoodzaaígíí ayóogo ádahoodzaago daats'í baa dahwéenííh, doodaii' t'óó bináłt'éego áhoodzaago baa hane'ii daats'í baa dahozdiizts'ą́ą́'? 
5:4:033:0	Da' ła' dine'é éí Diyin God nilíinii kǫ' yii'dóó yáłti'go yidiizts'ą́ą́'? Nihí éí dasidoots'ą́ą'go dahinohnánígi át'éegoósh yidiizts'ą́ą́'? 
5:4:034:0	Doodaii' da' Diyin God kóhoolaaígíí náánáła' dine'é bitahdę́ę́' náhodiinilgo t' áá bí bidine'é jidooleełgo, na'íhonitaah yee, bee éédahózinii yee, álílee k'ehgo áhooníłígíí yee, anaa' hwiindzin yee, bíla' yee ayóó ábóodziilgo yee, bigaan bits'áhoníyée'ii yee, ts'ídá t'áá íiyisí bik'e'íyé'ígíí yee ádáásh náhodiinil? Éí Bóhólníihii nihiDiyin God nilíinii Ííjip kéyahgi t'áá ałtsojį' nihinááł nihá ákwáát'įįd. 
5:4:035:0	Nihí nihich'į'go yit'íní ályaa, áko Bóhólníihii Diyin God nilį́įgo nihił béédahodoozįįł. Jó, doo ła' Diyin God nááhódlǫ́ǫ da. 
5:4:036:0	Yót'ááhdę́ę́' biinéé' dadoohts'a'go áyiilaa, áko éí nanihintin; nahasdzáán bikáa'gi nihich'į' bikǫ' ayóó át'éii yit'íní áyósin nít'éé', índa kǫ' bii'dóó bizaad dadoohts'a' nít'éé'. 
5:4:037:0	Danihizhé'é yę́ę ayóó'ájó'níigo bąą bada'áłchíní náás ahoolchíiłii hodine'é danilį́į doo biniyé nízhdiinil áádóó t'áá hó hániik'ehgo habee adziilii ayóó át'éii bee Ííjip kéyahdę́ę́' ch'ínihizhní'eezh. 
5:4:038:0	Áko ał'ąą dine'é nihiláahgo ayóó ádaat'éii áádóó nihiláahgo ádabóodziilii nihinááł ch'íiniiłkaad áádóó yah anihidoo'ishgo bikédaayah íí' dooleełii nihaididoo'ááł yiniyé át'į́. Díí jį́į́góó t'áá ákót'é. 
5:4:039:0	Éí bąą díí jį́ díí nihił béédahoozįįh áádóó nihijéí biyi'di baa nitsídaohkees: Bóhólníihii éí wódahgo yádiłhił biyi'di áádóó nahasdzáán bikáa'gi t'áá bí t'éí Diyin God nilį́, áádóó doo ła' Diyin God nááhódlǫ́ǫ da. 
5:4:004:1	Jórdan tooh nílíní ha'a'aahjígo kin hadaas'áágóó biniit'aa da'niichéehii
5:4:040:0	Éí bąą yee nihodiiz'áanii áádóó bibik'eh ó'oo'níiłii bik'eh dahonoł'į́į dooígíí díí jį́ bee nihich'į' haasdziih, áko éí bee nihá yá'át'éehgo áhooníił doo áádóó nihikéédę́ę́' niha'áłchíní náás da'ahílchííhgóó ałdó' bá ákót'ée doo, índa kéyah bikáa'gi as'ahgóó anihídayiiłkaah dooígíí Bóhólníihii nihiDiyin God nihaidiní'ą́ągo ahóyéel'áa doo. 
5:4:041:0	Áko Mózes éí Jórdan tooh nílínídóó háá'át'áahjigo kin hadaas'áhígíí táa'go bits'ąą hasti'go neidiní'ą́. 
5:4:042:0	Áko diné iisxíinii ákwii yah ahinichéeh doo; éí yił kééhat'íinii doo t'áá ákwíílééhgóó yiyiisxį́įgo índa doo bijoołáágóó hoolzhiizhgo díí kin hadaas'áhígíí ła' yich'į' adínóochéełgo yisdádoogááł. 
5:4:005:1	Bee haz'áanii hach'į' ninááyéélta'
5:4:043:0	Bíízer kin haal'áhígíí honoojí dził aghádaaz'áagi, t'áá éí Rúben dine'é bikéyahgi áádóó Gíliyad kéyahgi Réímath kin haal'áhígíí, t'áá éí Géed dine'é bikéyahgi, índa Béíshan kéyahgi Gólan kin haal'áhígíí t'áá éí Manáseh dine'é bikéyahgi iisxíinii yisdáhinichééh bá nahaz'ą́.  
5:4:044:0	Mózes éí díí bee haz'áanii yee Ízrel dine'é yich'į' hahaasdzíí'. 
5:4:045:0	Bee ha'iisdzíi'ii áádóó bee nihwiist'áanii índa bee nihodiit'aahii, Mózes éí Ízrel dine'é yich'į' díí yee hahaasdzíí'; Ííjip kéyahdę́ę́' ch'íná'náago ákódzaa. 
5:4:046:0	Jórdan tooh ha'a'aahjí Beth-píyor honíteel binaashiijí Ámor dine'é aláahgo binanit'a'í Sáíhan wolyéii kéyahgi Héshban kin haal'áago ákwii kééhat'į́įgo, Mózes áádóó Ízrel dine'é Ííjip kéyahdę́ę́' ch'ínínáádóó bik'ijį' Sáíhan wolyéii yik'eh dadeesdlį́į́'. 
5:4:047:0	Áádóó bikéyah índa Béíshandóó aláahgo naat'áanii Ag wolyéii bikéyah ałdó' bíí' daazlį́į́'. Díí Ámor dine'é binanit'a'í nidilt'éego Jórdan toohdóó ha'a'aahjigo bikéyah nít'éé'. 
5:4:048:0	Aró'er kin shijaa'ígíí éí Árnan tooh bibąąhgi haz'ánídóó Dził Záíyangóó, t'áá éí Dził Hérman hoolyéego haz'áníjį' bikéyah nít'éé'. 
5:4:049:0	Áádóó Jórdan tooh ha'a'aahjigo t'áá át'é nidzisgaigo Dził Pízgah biyaadóó tónteel siyíníjį' ałdó' bikéyah nít'éé'.
