5:28:001:1	Ak'eh hól'į́ binahjį' ak'ihojidlíii
5:28:013:0	Bóhólníihii éí atsiits'iin danohłį́įgo ánihidoolííł, atsee' éí dooda, áko adeídi t'éiyá danohłį́į doo, ayaaídi éí dooda. Bóhólníihii nihiDiyin God bibik'eh ó'oo'níiłii díí jį́ nihich'į' bee haasdziihígíí deísółts'ą́ą'go áádóó ádaa daahsįįhgo índa bik'eh dahonoł'į́įgo ákónihidoolííł. 
5:28:002:1	Doo ak'eh hól'į́į́góó biniinaa atí'él'íinii
5:28:014:0	Saad bits'ą́ąjį' doo t'áá ádzaagóó naa nánoojah da doo, nihósh'níigo, díí saadígíí díí jį́ nihich'į' bee haasdziih; t'ááká nish'náajigo, doodaii' nishtł'ajigo diyin dabidi'níinii bikéé' dah dahidoohkáahgo bich'į' nidahohłá yíila'.  
5:28:015:0	Áko kót'ée doo: Bóhólníihii nihiDiyin God áníinii doo deísółts'ą́ą́'góó, bibik'eh ó'oo'níiłii áádóó yee nihwiiz'áanii t'áá ałtso díí jį́ nihich'į' bee haasdziihígíí doo ádaa daohsį́į́' ádanoht'éégóó, díí hóyée'go á hada'iidziihii t'áá át'é nihik'iidoot'ih índa nihik'éidoot'ih: 
5:28:016:0	Kin haal'áagi kéédahoht'į́įgo hóyée'go nihá hada'iidziih doo, áádóó dadzígaigi kéédahoht'į́įgo hóyée'go nihá hada'iidziih doo. 
5:28:017:0	Nihits'iizis bii' nooh nída'ałchíihii hóyée'go bá hada'iidziih doo, áádóó nihibii' táá'oo'nihí hóyée'go bá hada'iidziih doo. 
5:28:018:0	Nihits'ą́ą́dóó nidahachíihii hóyée'go bá hada'iidziih doo, áádóó nihidáda'ak'eh bits'ą́ą́dóó aneest'ą', nihibéégashii índa nihidibé k'ee'ąą deílzhíishii hóyée'go bá hada'iidziih doo. 
5:28:019:0	Yah anídaohkahgo hóyée'go nihá hada'iidziih doo, áádóó ch'éédaohkahgo hóyée'go nihá hada'iidziih doo. 
5:28:020:0	Bóhólníihii éí hóyée'go á hada'iidziihii áádóó bił ałtaa hół'aahii índa aditeh nihik'ijį' kwíidoolííł; éí bíndadoołnishígíí t'áá át'é baa nídoohkaigo hóyée'go bá hada'iidziih doo; ałtso ádoohdįįłjį' índa t'áadoo hodina'í ałtso ásoohdįįdjį' nihik'ijį' kwíidoolííł, háálá Bóhólníihii éí doo yá'ádaashóonii baa nidaahkaigo t'óó yóó'adashisidoo'ą́. 
5:28:021:0	Áádóó Bóhólníihii éí naałniih doo nihits'ą́ąjį' dah dooldóóh át'éégóó íidoolííł; kéyah yits'ąą ałtso ánihisdįįdjį' kéyah biih woonáago ádíí' ádaahłaa nidi ákónihidoolííł. 
5:28:022:0	Bóhólníihii éí díí yee atínihoolíił doo: ni'iiłgan áádóó tahoniigááh áádóó nida'nichaad áádóó yéego náhoniigah áádóó diltłish áádóó naałniih nanise' neiniłna'ii índa dláád bik'ee nidanohchée doo; ałtso ánihisdįįdjį' ákót'ée doo. 
5:28:023:0	Yádiłhił nihikáa'di dah sikaadígíí béésh łitsoigi át'ée dooleeł índa nahasdzáán bik'i naołdeehígíí béésh nitł'iziigi át'ée dooleeł. 
5:28:024:0	Bóhólníihii éí nihikéyahgi nídahodiłtį́įhgo ánáyiil'įįhígíí łeezh dibahí índa séí nináhádleehgo áyósin doo; wót'ááhdę́ę́' nihik'i náhoodleehgo ałtso ásoohdįįdjį' ákót'ée doo. 
5:28:025:0	Bóhólníihii éí nihida'ana'í bilą́ąjį' danihéełtséedgo ánáyiil'įįh doo; t'ááłáhídę́ę'go bich'į' náádadoohbah doo, áádóó bits'ą́ąjį' tsosts'idgóó tanídanoohchéeh doo índa nihokáa'gi bee ídahólníihii t'áá ałtso bił nahaz'ą́ą́góó adanihidiyoo'ish. 
5:28:026:0	Áádóó danoonáago éí naat'agii t'áá ałtso índa nihokáá'góó naaldlooshii da'ałchinii danihits'íís deilghał doo áádóó doo ła'da nihik'iidínóołkałí da. 
5:28:027:0	Áko Bóhólníihii éí díí yee atínihidoolííł: Ííjip kéyahdi ch'ozh áádóó chách'osh áádóó łóód índa akáá' yihę́ę́s doo nídaodziih ádaat'éii. 
5:28:028:0	Bóhólníihii éí díí yee atínihidoolííł: tsi'hahodiyoołáałii áádóó anáá' bee doo oot'į́ índa ił hódlą́. 
5:28:029:0	Áádóó doo da'oo'íinii t'áá tł'éé'góó nidaakaígi át'éego ałné'é'áahgo nidi ákódanoht'ée doo áádóó ádanoht'ée dooleełgóó doo yá'át'éehgo nihá ádahooníił da doo, áádóó nihide ádahólzingo índa nihigha'da'ii'níiłgo ahool'áa doo; diné ts'ídá t'áadoo nihíká adoolwołí da. 
5:28:030:0	Asdzání bił ahaa dooht'ashgo bił ahadi'dooht'áłígíí diné náánáła' bił dínóotish; kin ła' óohłaa nidi doo bii' kééhoht'į́į da doo; ch'il na'atł'o'ii k'idooláa nidi doo bąąh nída'íínóhbeeh da doo. 
5:28:031:0	T'áá nihinááł nihibéégashii nidaatseed doo, nidi bitsį' doo dadoołghał da; nihitélii t'áá na'níle'dii nihits'ą́ą́' yóó'adahat'éesh doo áádóó doo nát'ą́ą́' nihaa nídooltéeł da; nihidibé éí nihi'ana'í baa dahidoo'nił, áko diné ła' ts'ídá t'áadoo nihá yisdáyóníłí da doo. 
5:28:032:0	Nihiye'ké áádóó nihitsi'ké éí náánáła' dine'é baa dabidi'doo'nił, áko ch'ééh bídin danohłį́įgo shá bíighah bíká dadíínóh'į́į'go nihináá' ch'ééh nídadikah doo; t'áadoo bee ła' daohłe'í da doo. 
5:28:033:0	Áádóó nihikéyah bikáá' aneest'ą' bindashoołnishii náánáła' dine'é doo béédahonohsinii deiyą́ą doo, índa t'áá áłahjį' nihide ádahósingo bik'ee niséédaahkah doo. 
5:28:034:0	Áko tsi'hadahosidiyoosáago nihináá' bee deidoołtséełgo bik'ee nihił dahalą́ągo danół'į́į doo. 
5:28:035:0	Áko Bóhólníihii éí díí yee atínihidoolííł: nihigod áádóó nihijáád bikáá'góó naałniih łóód ats'íís yiyáanii naałdzidii índa nihikétł'ááhdóó nihitsiit'áajį' nihaa didoolzhish. 
5:28:036:0	Bóhólníihii éí nihí áádóó aláahgo naat'áanii nihinanit'a'í ádaohłaaígíí náánáła' dine'é doo bééhonohsinii, doodaii' danihizhé'é yę́ę ałdó' doo yéédahósinii yaa nihidoo'ishgo áadi diyin dabidi'níinii bá nidaoł'a' doo; tsin bee eda'alyaii índa tsé bee eda'alyaii bich'į' nidahohłáa doo. 
5:28:037:0	Áko nihik'ee diné t'óó bił adahayóigo danihiníł'į́į dooleeł áádóó nihá nidahałt'i' dooleeł índa nihee niyá'ádahodilti' dooleeł. Ákót'éego ał'ąą dine'é t'áá ałtso bitahgóó Bóhólníihii nihi'iiłníih doo. 
5:28:038:0	Dáda'ak'ehgóó álástsii' lą'í k'éédadohdlééh, nidi t'įįhdígo áłah áńdaoł'įįh doo, háálá nahachagiitsoh baa nahodikai doo. 
5:28:039:0	Ch'il na'atł'o'ii k'éédadohdlééh áádóó baa ádahołyą́ą nidi bąąhdóó wáin doodlį́įłii ádin doo, doodaii' bineest'ą' bąąh ádin doo, háálá ch'osh ałtso nídabidį́įhgo bineest'ą' bąąh ádin doo. 
5:28:040:0	Nihikéyah nidanees'ą́ą́góó t'áá át'é áliv tsin deíl'áa doo, nidi bits'ą́ą́dóó ak'ah ák'i yáádaohdzi' dooígíí ádin doo, háálá bineest'ą' ałtso bąąh náádandah doo. 
5:28:041:0	Áádóó nihiye'ké índa nihitsi'ké nihá nidahachíih doo, nidi doo t'áá baa nihił dahózhǫ́ǫ da dooleeł, háálá nihits'ą́ą́' yisnááh nidahaleeh doo. 
5:28:042:0	Nihikéyah bikáá'góó tsin naazkaadii índa aneest'ą' t'áá át'é éí nahachagiitsoh ałtso nídeidį́įh doo. 
5:28:043:0	Áádóó dé'éyóní nihitahgi nidaakaígíí nihiláahgo ayóó ádabóodziil yileeł doo, nidi nihí éí ts'ídá t'óó yaa noohdahí t'éiyá dooleeł. 
5:28:044:0	Áko yáál nihada'iiníił doo, nidi nihí éí doo yáál bada'ayohníił da doo, bí éí atsiits'iin danilį́į doo, nihí éí atsee' danohłį́į doo. 
5:28:045:0	Náá'áłdó' díí hóyée'go á hada'iidziihii t'áá át'é nihik'iidoot'ih áádóó nidanohchée doo índa nihik'éidoot'ih; ałtso ásoohdįįdjį' ákót'ée doo, háálá Bóhólníihii nihiDiyin God doo deísółts'ą́ą́'góó bibik'eh ó'oo'níiłii áádóó yee nihwiiz'áanii nihich'į' yee haadzíi'ii doo bik'eh dahonoł'į́į́góó bąą ákót'ée doo. 
5:28:046:0	Áko éí bee ééhózinii áádóó ayóó át'éego áhooníiłii át'éego nihik'i hwiileeh dooleeł índa niha'áłchíní náás ahoolchíiłii bik'i hwiileehgo ahool'áa doo. 
5:28:047:0	Háálá Bóhólníihii nihiDiyin God doo baa nihił nidahoozhǫǫhgóó áádóó doo nihił dahóshǫ́ǫ́góó bá chodaoh'į́įgo, azhą́ t'áá ałtsoní łą́ągo yee nihik'ijidlíi nidi, 
5:28:048:0	éí bąą nihida'ana'í nihik'ijį' danilį́į dooleełígíí bá chodaoh'į́į doo biniyé Bóhólníihii nihik'ijį' yi'doołnih; dichin áádóó dibáá' danohłį́į doo, áádóó nihi'éé' ádaadin doo, índa t'áá ałtsoní bééda'ooh'níih doo; Bóhólníihii éí béésh nihizéédéetą́ągo ánihósin doo; ánihisdįįdjį' ákót'ée doo. 
5:28:049:0	Bóhólníihii éí ła' dine'é nízaadę́ę́', nahasdzáán nineel'ą́ą́dę́ę́' atsá yit'ahígi át'éego tsxį́įłgo nihik'ijį' yi'doołnih; éí bizaad doo bik'ida'doohtįįh da. 
5:28:050:0	Éí dine'é t'óó báádahadzid danoolnin; éí hadaastihii doo yaa daazid da doo, doodaii' ániid nidaakaii doo yich'odaaníi da doo. 
5:28:051:0	Áko nihilį́į́' ał'ąą ádaat'éii índa nihikéyah bits'ą́ą́dóó nídaneest'áanii ásoohdįįdjį' nihits'ą́ą́' deiyą́ą doo, áádóó nihitł'oh naadą́ą́', doodaii' wáin, doodaii' ak'ah, doodaii' nihibéégashii, nihidibé dah danéelkaadiida ánihi'disdįįdjį' doo ła' nihá áádeidoosįįł da. 
5:28:052:0	Áádóó nihik'iijee'go nihikin hadaas'áagi t'áá át'é nihinídahidoolzhishgo wódahgo tsé ditą́ągo binaa ahéédaastł'inígíí ałtso naa'adeiniiłkaad doo; éí bada'íínóhłíí nít'éé' yę́ę nihikéyah nidahonees'ą́ą́góó nihinídahidoolzhish; nihik'iijee'go nihikin hadaas'áagi t'áá ałtsogóó nihikéyah t'áá át'é Bóhólníihii nihiDiyin God éí kéyah nihaidiní'áanii ałtso yinídoolzhish. 
5:28:053:0	Áko niha'áłchíní nidahołchíhígíí, éí nihiye'ké índa nihitsi'ké danilíinii Bóhólníihii t'áá bí yee nihik'ijisdli'ii nídaohdą́ą doo; éí nihi'ana'í nihinídahaashzhiizhgo áádóó nihich'į' dahodiyiisnáa'go éí binih ákódadoohnííł. 
5:28:054:0	Áádóó nihitahgi diné t'áá íiyisí bił ahojooba'í nít'ée'ii índa oosą́ nít'ée'ii éí bik'is áádóó be'asdzą́ą́ ayóó'áyó'nínígíí índa ba'áłchíní yidziihígíí yich'į' baa'ihígi át'į́įgo yich'į' aanichį' doo, 
5:28:055:0	áko doo t'áá k'ad ła'da ya'níłtsoodgóó t'áadoo yee hodólts'ídígóó hoo'a' góne' ana'í binídahaashzhiizhgo índa bich'į' hodiisnáa'go nihida'ana'í ti'danihiyoołníih doo; nihikin hadaas'áagi t'áá ałtsogóó ákódahat'į́į doo. 
5:28:056:0	Áádóó nihitahgi asdzání t'áá íiyisí bił ahojoobá'ígo índa oosą́ągo biniinaa doo t'áá k'ad t'áá łeeshtahgi yiizį'góó oosą́ nít'ée'ii índa bił ajooba'í nít'ée'ii éí bahastiin ayóó'áyó' nínígíí áádóó biyáázh índa bich'é'é yich'į' baa'ihígi át'į́įgo yich'į' aanichį' doo. 
5:28:057:0	Áádóó be'awéé' biyaałáii bijáágiizhdę́ę́' haalts'idígíí índa niyiiłchíhígíí yíká dichin yéé'oo'níihgo nitsinádáahgo doo boo'ínígóó t'áá bizááká néídą́ągo t'áá ałtsoní yéé'oo'níihgo ana'í t'éí binídahaashzhiizh góne' índa bich'į' dahodiisnáá' góne' nihi'ana'í ti'nidanihiyoołníihgo nihikin hadaas'áagi ákódahat'į́į doo. 
5:28:058:0	Díí bee haz'áanii bits'ą́ą́dóó díí naaltsoos biyi' bee ak'eda'ashchínígíí doo ádaa daahsįįhgo bik'eh ádaahnééhgóogo, jó, díí ts'ídá ayóó át'éii índa ts'ídá bits'ąą hasti'go yízhí diyinii, Bóhólníihii nihiDiyin God bee bi'dójíii dadíínóhsin doo biniyé bee ak'e'ashchį́. 
5:28:059:0	Bóhólníihii éí naałniih ayóogo bik'e'íyée'ii yee atínihidoolííł áádóó niha'áłchíní t'áá bił naałniih nihaa hodoołnih; éí naałniih ts'ídá ayóó át'éii áádóó nízaadgóó nihitaałniihii áádóó bik'ee ka oodáałii át'éego nízaadgóó bił ahwiilzhíishii át'é. 
5:28:060:0	T'ah nááyówehgo Ííjip kéyahdi naałniih béédaołdzid nít'é'ígíí t'áá át'é nihik'ijį' kónéidoodlíiłgo doo nihits'ádooldoh da. 
5:28:061:0	Tah honiigááh índa naałniih t'áá át'é éí díí bee haz'áanii naaltsoos bee si'ánígíí doo bik'inídaháasdzoii Bóhólníihii t'áá bí nihik'ijį' yi'doołnihgo ałtso ádoohdįįł. 
5:28:062:0	T'áá díkwíí nołt'éhígo doohdzih; azhą́ yádiłhił biyi'di sǫ' yíl'áhígi ánóołą́ą́' nít'éé' nidi, háálá Bóhólníihii nihiDiyin God áníinii doo bik'eh dahonoł'į́į da. 
5:28:063:0	Áádóó kót'ée doo: Bóhólníihii nihaa bił nihoozhǫǫhgo yá'át'éhígi ánihiilaaígi át'éego áádóó k' ee'ąą nihidínéest'ánígi át'éego t'áá ákót'éego Bóhólníihii ánihidoołdįįłgo índa nanihísdįįdgo yaa bił nihoozhǫǫh doo áádóó kéyah nihíí' dooleełgo biih woonáá nít'éé' yę́ędóó nahjį' hanihidiyoołtł'ił. 
5:28:064:0	Áko Bóhólníihii éí nahasdzáán nidahonees'ą́ą́góó ał'ąą dine'é bitahgóó tanihidínóołkał; áadi diyin dabidi'níinii bá nidaoł'a' doo, éí nihí doo bééhonohsinii, doodaii' danihizhé'é yę́ę doo yéédahósinii, tsin, doodaii' tsé bee eda'alyaii bich'į' nidahohłáa doo. 
5:28:065:0	Éí ał'ąą dine'é dabitahgi doo hasht'edadínóht'ée da doo, doodaii' doo hazhó'ó kéédahoht'į́į da doo, áko Bóhólníihii éí nihitah dahoditłidgo áádóó nihináá' bee ch'ééh dadohaałgo índa baa yínííł danohłíinii t'áá diniidzaa nít'ée'go ánihidoolííł. 
5:28:066:0	Náásgóó nihe'iina' t'áá naaki nilį́įgo bá haz'ą́ą doo; jį́įgo áádóó tł'ée'go nihił daayée' doo, índa nihe'iina' doo bá hasihgóó haz'ą́ą doo. 
5:28:067:0	Abínígo ádadohníi doo, I'íí'ą́ laanaa nisin. E'e'áahgo ádadohníi doo, Abíní doo yę́ę nisin. Háálá bik'ee hóyée'ii bik'ee nihił daayée' doo índa bik'eda'íyée'ii baa ákódanohsin doo. 
5:28:068:0	Bóhólníihii éí tsinaa'eeł bee Ííjip kéyahgóó nínáánihidoojihgo nihich'į' bee haasdzíi'ii, K'ad éí doo áajį' nínáádahwiidoołtséeł da índa nihi'ana'í bich'į' nanihidi'yoonihgo diné áádóó asdzání nohłíinii naalte' dadoohłeeł, nidi diné doo ła' nanihidiyoołnih da.
