66:2:001:1	Ephesus Kwaiik'it Gwachoo gwizhit Tr'igiinkhii Zheh Eenjit Gwadanakhwatł'oo
66:2:013:0	Nijin Satan gwats'ą' k'eedeegwaadhat ąįį zhit gohch'įį nakhwaashandaii . Izhit dinjii Antipas oozhii deeshi'yaa gwah'ya' ts'ą' łi'deegwidlii haa geegwaandak zhat giiłkhwąįį dąį' gaa nihk'it shats'ą' łi'dohdlii ts'ą' nakhwagwik'injigwiighit akhohnyąą kwaa .
66:2:014:0	Gaa jii kwaii t'ee gwiizųų t'akhwazhit nakhwaihnyąą : nakhwatee nakhwalak nąįį jidii Balaam geech'agwąąhtan k'it gwagwandaii , ąįįt'ee nats'ahts'ą' Israel gwich'in nąįį , jidii shih ch'ik'itiltsį' ts'ą' ataiinjii gahtsii ąįį gihee'aa ts'ą' juu eegaadii kwaa haa giłchųų haa tr'agwaanduu googwitr'it gweheelyaa geenjit jyąhts'ą' dinjii Balak goołtin t'inchy'aa .
66:2:015:0	Ąįį gwik'it nakhwatee dinjii lat nąįį Nicolaitans nats'ahts'ą' geech'agwąąhtan gwik'it gwagwandaii .
66:2:016:0	Nakhwatr'agwaanduu gwats'an an-needǫǫ'ee ! Ąįį gwik'it t'akhwa'in kwaa ji' niighit kwaa ji' nakhwats'ą' hihshyaa ts'ą' shighit gwats'an shrii choo veek'i' neekwaii gwanlii haa nich'itsahałthat t'oonchy'aa .
66:2:004:1	Thyatira Kwaiik'it Gwachoo Eenjit Gwadanakhwatł'oo
66:2:017:0	Nakhwadzee gwanlii ji' Ch'anky'aa Shroodiinyąą tr'igiinkhii zheh kwaii dahnyąą gwadǫǫhk'ii : “ Zhit juu gwik'injigwiighit zhit gaiiyiigwiłtsąįį nąįį . Manna geegoh'ik dhidlii lat goovantł'eehałchaa ts'ą' gootee gwagwaanchy'aa ts'ą' kii daagąįį kat goovoozhri' k'eejit adan zhrįh veenjit danakhwatł'oo goovantł'eehih'aa t'oonchy'aa . ”
66:2:018:0	“ Thyatira kwaiik'it gwachoo geenjit danakhwatł'oo : Thyatira kwaiik'it gwachoo gwizhit tr'igiinkhii zheh gwats'an zheekat gwich'in nąįį diiyaantł'oo : Jii gwandak t'ee Vit'eegwijyąhchy'aa Gwiti' , vandee kǫ' k'it ch'ąhndit ts'ą' vakwai' brass ch'ahdok k'it t'inchy'aa .
66:2:019:0	Deekhwa'in nakhwaashandaii . Nakhweech'eet'igwiniindhan , shik'injuhkhit akhagohnyąą kwaa , sheenjit gwitr'it t'agoh'in ts'ą' łi'didlii shaa ǫhłįį nakhwaashandaii . Tr'ookit shik'injuhkhit dąį' deekhwa'ya' ąįį andaa t'akhwa'in nakhwaashandaii .
66:2:020:0	Gaa jii t'ee gwiizųų t'akhwa'in nakhwaihnyąą : Tr'injaa Jezebel doo'ya' nindhan datthak gwik'it t'ini'in zhyaa nǫh'in , Vit'eegwijyąhchy'aa eenjit ginkhii adaanyąą . Sheenjit gwitr'it t'agwah'in nąįį juu gooveedhidii kwaa haa giłchųų ts'ą' shih , ch'ik'itiltsį' ts'ą' ataiinjii gahtsii chan ga'aa ąįį geegoovąąhtan k'it t'igihee'yaa geenjit tsinteegoovahkaii .
66:2:021:0	Datr'agwaanduu gwats'an an-neehaa'ee geenjit jyaa vaihnyąą gaa juu yeedhidii kwaa haa dhichįį ąįį akhagoonyąą giitr'ii'ee .
66:2:022:0	Ąįįts'ą' ąįį tr'injaa ts'ą' juu yeedhidii kwaa haa dhichįį nąįį khaiinjich'igiheeghit geenjit ąįį chehkit gwats'ą' t'ee goohałdhal . Jii juk gwik'it t'ishi'yaa , jidii Jezebel haa tr'agwaanduu googwitr'it gwanlii akhagagoonyąą ji' gwizhrįh nakwaa .
66:2:023:0	Juu yaagwitr'it t'agwah'in nąįį datthak goovęhdaa tr'igwihih'aa , ąįį ji' t'ee tr'igiinkhii zheh kwaii datthak , shįį t'ee nats'ahts'ą' ninjich'agadhat ts'ą' k'eegwiichy'aa gwishi'įį ji' giindhan gaashandaii gaageheendaii . Nats'ąą googwitr'it gwiinli' gwik'it gooteegwagwaanchy'aa ts'ą' goots'an gwahałtsyaa t'oonchy'aa .
66:2:024:0	Gaa Thyatira kwaiik'it gwachoo gwizhit gah dinjii nąįį tr'agwaanduu geech'agwąąhtan gwik'it nakhwagwitr'it gwiinli' kwaa ; Satan jidii gwintsii gwizhit nagwah'įį ąįį gaakhwandaii kwaa . Chan duuyeh jidii gwagwantrii t'akhwa'ya' nohthan kwaa nakhwats'an gwałtsii nakhwahaihjyaa kwaa .
66:2:025:0	Gaa jidii akhwa'įį , ąįį k'ineeheedik gwats'ą' gwint'aii ohtą' .
66:2:026-028:0	Zhit juu gwik'injigwiighit zhit gaiiyiigwiłtsąįį nąįį ndaagwąą'ąį' gwats'ą' datthak deegoo'ya' goovohnyąą nąįį , Shiti' vats'an t'aih shii'įį ąįį goovantł'eehih'aa : nahkat gwats'ą' k'eedeegwagwahaadhat goovantł'eehih'aa , ch'iitsii ts'injyaa haa gwats'ą' k'eedeegwagwahaadhat ts'ą' tyah łųh ch'ant'at haa iltsąįį tr'akhal ts'ą' ch'aazhoo k'it t'igiheenjyaa . Są' vanh nee'aa chan goovantł'eehih'aa gaiiyiigwigwiłtsąįį gwigweheechy'aa geenjit .
66:2:029:0	Nakhwadzee gwanlii ji' , Ch'anky'aa Shroodiinyąą tr'igiinkhii zheh kwaii dahnyąą gwadǫǫhk'ii ! ”
