66:21:001:1	Zhee , Nan Haa K'eejit Neekhwadlit
66:21:015:0	Ąįį zheekat gwich'in shats'ą' khaginkhee ąįį vaagwagoohaadri' gal kii gold haa iltsąįį haa kwaiik'it gwach'oohahdri' , gweelin tthał khyųų ts'ą' nihdeegweedii haa gwach'oohahdri' geenjit haltin .
66:21:016:0	Ąįį kwaiik'it gwachoo tthał niin'ee datthak gwiinzii nihk'it gwadoohahdri' , k'iidąą dahjyaa gwik'it gwagwahjyaa , zheekat gwich'in dii gwach'oohahdri' haa kwaiik'it gwadoohahdrya' gweelin gwikhyųų ts'ąįį 1500 miles nilii k'iidak ts'ąįį chan 1500 miles nilii .
66:21:017:0	Zheekat gwich'in zhit gweelin tthał niin'ee chan gwadoohahdri' ts'ą' k'iidak ts'ąįį 216 ft . nilii . Nijin vaa gwagoorihildri' haa gwadoohahdri' dąį' .
66:21:018:0	Kwaiik'it gwachoo gold vakat shrąįh kwaa , vinjyaa'yaa gwinzii vinju' gwaraah'in k'it t'inchy'aa haa gwiltsąįį ts'ą' ąįį gweelin tthał niin'ee kii chan Jasper oozhii haa gwiltsąįį .
66:21:019:0	Ąįį kwaiik'it gwachoo gweelin tthał niin'ee ąįį kii daatł'oo nihłehjuk t'iichy'aa haa gwiltsąįį kat dagoo'aii , tr'ookit kii Jasper oozhii kat dagoo'aii , ąįįtł'ęę gwats'ąįį kii ch'ahtł'oo sapphire oozhii tik gwats'ąįį chan kii agate oozhii . Gwats'ąįį dǫǫ chan kii dats'an tł'oo ( green ) emerald oozhii .
66:21:020:0	Ch'ihłoanli' dagoo'aii chan kii zhrąįh onyx oozhii , nihk'iitik ( 6th ) dagoo'aii chan kii Carnelian oozhii , ch'ats'ateets'įį neekwaii ( 7th ) chan kii atsǫǫ quartz oozhii , nihk'iidǫǫ ( 8th ) chan kii beryl oozhii . Vanchoh nak'ah kwaa ( 9th ) chan kii topaz oozhii , ch'ihłoodaatin ( 10th ) chan kii chalcedony oozhii , ch'ihłoodaatin ch'ihłak chan kii turquoise oozhii ąįįtł'ęę ndaagwaa'ee ch'ihłoodaatin ąįįts'ą' neekwaii ( 12th ) kii amethyst oozhii . Jii kii kwaii datthak kat dagoo'aii gwiłtsąįį .
66:21:021:0	Nihdeegweedii , gich'ideiintin ch'ihłoodaatin ąįįts'ą' neekwaii ( 12 ) ąįį kii pearl oozhii kwaii haa gwiltsąįį , jii pearl ch'ihłak haa zhrįh gwiltsąįį . Ąįį kwaiik'it gwachoo gwizhit tąįį gwin'ee gold vakat shrąįh kwaa haa gwizhrįh gwiltsąįį , vijyaa'yaa vinju' gwaraah'in k'it t'inchy'aa .
66:21:022:0	Ąįį kwaiik'it gwachoo gwizhit Kharigidiinjii Zheh łąą gwał'in kwaa , Vit'eegwijyąhchy'aa K'eegwaadhat jiintsii ts'ą' Divii Gii nąįį haa gwakharigidiinjii zheh geenjit giinlii geh'an t'oonchy'aa .
66:21:023:0	Jii kwaiik'it gwachoo shree drin nee'aa akwat tǫǫ oozhrii haa t'aahchy'aa kwaa , Vit'eegwijyąhchy'aa vich'eegwąhndit vak'aa adrii geh'an ts'ą' Divii Gii chan khwaiidaak'a' geenjit nilii .
66:21:024:0	Dzaa nankat gwidinjii nąįį ąįį adrii k'iighai' gwigweheendaii , ts'ą' nankat dinjii k'eedeegwaadhat choh nąįį chan jidii gwintsii geegoo'aii kwaii zhat kwaiik'it gwachoo nideegiheelyaa ts'ą' gwahaatł'oo .
66:21:025:0	Kwaiik'it gwachoo gweelin tthał niin'ee , nihdeegweedii drin datthak gehdeiinheechyaa ts'ą' duuyeh eeneedigichįį , zhat tǫǫ gweheekwaa geh'an .
66:21:026:0	Dzaa nankat , gwanahkat datthak jiintsii ts'ą' jidii gwintsii geegoo'aii kwaii zhat kwaiik'it gwachoo nideegiheelyaa ts'ą' gwahaatł'oo .
66:21:027:0	Gaa jidii shroodiinyąą kwaa duuyeh ąįį kwaiik'it gwachoo nihdąhkhaii , akwat juu oozhii gwahchy'aa t'ii'in akwat oots'it haa ginkhii nąįį gaa t'arahnyąą . Zhit juu Divii Gii dęhtły'aa kat voozhri' danakhwatł'oo nąįį gwandaii ndaanąą'ąį' kwaa dii'įį zhrįh jii kwaiik'it gwachoo nihdeeheedaa t'igwinyąą .
