66:16:001:1	Tyah Ghoo Kwaii Zhit Vit'eegwijyąhchy'aa Zhyaants'įį Deedąą'ąį' .
66:16:011:0	ts'ą' ąįį gookat gwakaii gwanlii gwits'ik geh'an , zheekat gwats'an Vit'eegwijyąhchy'aa gwiizųų eeginkhii , gaa nihk'it tr'agwaanduu t'igii'in gwats'an łihts'eedagaa'ee kwaa .
66:16:012:0	Ąįįtł'ęę zheekat gwich'in sixth nilii tyah ghoo oozhak Euphrates han gwachoo gwinjik gwakat neeyaanjaa . K'eedeegwaadhat choo ( Kings ) nąįį , k'ach'ahah'ak gwats'an geedaa , ąįį nąįį zhak gwideetaa neegeheedaa geenjit han chųų kwaa goodlit .
66:16:013:0	Ąįįtł'ęę ch'anky'aa iizųų tik ( 3 ) , neeghaii gwigwich'in nał'in . Dragon vighit gwats'an ch'ihłak tr'iinzhii , nin iizųų ch'atthąįįn choh vighit gwats'an chan ch'ihłee , ts'ą' Vit'eegwijyąhchy'aa eenjit ginkhii adaa'įį vighit gwats'an chan ch'ihłak tr'iinzhii .
66:16:014:0	Jii ch'anky'aa iizųų nąįį gwiindal gwahchy'aa t'igihee'yaa geenjit t'aih goots'an dhidlit t'iginchy'aa . Jii ch'anky'aa iizųų tik nąįį t'ee dzaa nankat datthak k'eedeegwaadhat choo nąįį khaihłan nigiheelyaa , Vit'eegwijyąhchy'aa Jiintsii deehee'yaa goo'aii zhit drin nagwaanąįį ji' nich'itsagahahthat geenjit .
66:16:015:0	K'eegwaadhat jyaa nyąą , “ Ch'oodǫǫhk'įį ! Dinjii ch'iheen'įį geenjit neech'ahaan'ik k'it k'ineehihdik t'oonchy'aa ! Juu dhichįį kwaa ts'ą' dagwach'aa k'ąąhtii t'ee vaashroonchy'aa , oozhii nilii geh'an duuyeh ts'ehdan dinjii gwanlii gwitee neehihdik t'inchy'aa ! ”
66:16:016:0	Ąįįtł'ęę ch'anky'aa iizųų nąįį , Hebrew ginjik zhit Armageddon goaazhii gwats'ą' nahkat k'eedeegwaadhat choo nąįį gahaadlii .
66:16:017:0	Ąįįtł'ęę zheekat gwich'in seventh tyah ghoo oodak datthak naanjaa . Kharigidiinjii Zheh gwizhit k'eedeegwaadhat ts'ą' yakat doodii ts'an gwideezhuh gwint'aii jyaa dinyąą , “ It'ee gwik'it goodlit ! ” nyąą .
66:16:018:0	Nahtan kwan haadhak , gwideezhuh hahchik , ts'ą' nahtan gwint'aii hahchik ts'ą' nan gwint'aii daatrat . Tr'ookit dinjii tr'iłtsąįį dąį' gwats'an ch'ihłok gaa jyaa gwahtł'oo nan daatrat kwaa ; jii t'ee łyaa gwandaa nan diltrat .
66:16:019:0	Kwaiik'it gwachoo tik agwaanchy'aa nihtr'aanaii ts'ą' nahkat datthak . kwaiik'it gwachoo kwaii an goodlit . Babylon kwaiik'it gwachoo gwintsii chy'aa Vit'eegwijyąhchy'aa ganaandaii , ts'ą' dichųų tyah gwats'an jak chų' dinįį yiłtsąįį , zhyaants'įį gwats'an jak chų' t'arahnyąą .
66:16:020:0	Nankat njuu datthak k'igwaanaii , ddhah kwaii datthak k'igwaajil .
66:16:021:0	Ch'anlųh nitsii , ch'ihłak gaa hundred pound ahdii , oodaa zheezhit gwats'an dinjii nąįį kat ninjil , ch'anlųh haa goovaa googwantrii geh'an Vit'eegwijyąhchy'aa nehts'į' giginkhii , łyaa zhyaa goovaagogwantrii geh'an .
