3:25:001:0	And the spake unto Moses in mount Sinai , saying ,
3:25:028:0	But if he be not able to restore it to him , then that which is sold shall remain in the hand of him that hath bought it until the year of jubilee : and in the jubilee it shall go out , and he shall return unto his possession .
3:25:029:0	And if a man sell a dwelling house in a walled city , then he may redeem it within a whole year after it is sold ; within a full year may he redeem it .
3:25:030:0	And if it be not redeemed within the space of a full year , then the house that is in the walled city shall be established for ever to him that bought it throughout his generations : it shall not go out in the jubilee .
3:25:031:0	But the houses of the villages which have no wall round about them shall be counted as the fields of the country : they may be redeemed , and they shall go out in the jubilee .
3:25:032:0	Notwithstanding the cities of the Levites , and the houses of the cities of their possession , may the Levites redeem at any time .
3:25:033:0	And if a man purchase of the Levites , then the house that was sold , and the city of his possession , shall go out in the year of jubilee : for the houses of the cities of the Levites are their possession among the children of Israel .
3:25:034:0	But the field of the suburbs of their cities may not be sold ; for it is their perpetual possession .
3:25:035:0	And if thy brother be waxen poor , and fallen in decay with thee ; then thou shalt relieve him : yea , though he be a stranger , or a sojourner ; that he may live with thee .
3:25:036:0	Take thou no usury of him , or increase : but fear thy God ; that thy brother may live with thee .
3:25:037:0	Thou shalt not give him thy money upon usury , nor lend him thy victuals for increase .
3:25:038:0	I am the your God , which brought you forth out of the land of Egypt , to give you the land of Canaan , and to be your God .
3:25:039:0	And if thy brother that dwelleth by thee be waxen poor , and be sold unto thee ; thou shalt not compel him to serve as a bondservant :
3:25:040:0	But as an hired servant , and as a sojourner , he shall be with thee , and shall serve thee unto the year of jubilee :
3:25:041:0	And then shall he depart from thee , both he and his children with him , and shall return unto his own family , and unto the possession of his fathers shall he return .
3:25:042:0	For they are my servants , which I brought forth out of the land of Egypt : they shall not be sold as bondmen .
3:25:043:0	Thou shalt not rule over him with rigour ; but shalt fear thy God .
3:25:044:0	Both thy bondmen , and thy bondmaids , which thou shalt have , shall be of the heathen that are round about you ; of them shall ye buy bondmen and bondmaids .
3:25:045:0	Moreover of the children of the strangers that do sojourn among you , of them shall ye buy , and of their families that are with you , which they begat in your land : and they shall be your possession .
3:25:046:0	And ye shall take them as an inheritance for your children after you , to inherit them for a possession ; they shall be your bondmen for ever : but over your brethren the children of Israel , ye shall not rule one over another with rigour .
3:25:047:0	And if a sojourner or stranger wax rich by thee , and thy brother that dwelleth by him wax poor , and sell himself unto the stranger or sojourner by thee , or to the stock of the stranger 's family :
3:25:048:0	After that he is sold he may be redeemed again ; one of his brethren may redeem him :
3:25:049:0	Either his uncle , or his uncle 's son , may redeem him , or any that is nigh of kin unto him of his family may redeem him ; or if he be able , he may redeem himself .
3:25:050:0	And he shall reckon with him that bought him from the year that he was sold to him unto the year of jubilee : and the price of his sale shall be according unto the number of years , according to the time of an hired servant shall it be with him .
3:25:051:0	If there be yet many years behind , according unto them he shall give again the price of his redemption out of the money that he was bought for .
3:25:052:0	And if there remain but few years unto the year of jubilee , then he shall count with him , and according unto his years shall he give him again the price of his redemption .
3:25:053:0	And as a yearly hired servant shall he be with him : and the other shall not rule with rigour over him in thy sight .
3:25:054:0	And if he be not redeemed in these years , then he shall go out in the year of jubilee , both he , and his children with him .
3:25:055:0	For unto me the children of Israel are servants ; they are my servants whom I brought forth out of the land of Egypt : I am the your God .
