11:13:001:1	Júdah dine'é bitahdóó Diyin God yá halne'ii éí Jerobówam bich'į' áhodooníłígíí yee yi'níłnii'
11:13:019:0	Áko bighangóó t'ą́ą́' bił níjít'áazhgo bighandi bááh jííyą́ą́' áádóó tó joodlą́ą́'. 
11:13:020:0	Nít'éé' bikáá' adání bich'į' dzizkéego Diyin God yá halne'ii hoł nát' ázhígíí éí Bóhólníihii bich'į' haadzíí', 
11:13:021:0	áádóó Júdahdę́ę́' Diyin God yá halne'ii yich'į' yéego haadzíi'go ání, Bóhólníihii kóní, Bóhólníihii ándííniidígíí doo bik'eh hwííníł'įįd dago biniinaa Bóhólníihii niDiyin God bik'ehgo ádííníiłgo yee nich'į' haadzí' ígíí t'áadoo bi'iinilaa dago, 
11:13:022:0	nidi Bóhólníihii nich'į' haadzíi'go, Kwe'é bááh doo dííyį́įł da índa tó doo díídlį́įł da, nidííniid yę́ę t'ą́ą́' néínídzáago bááh áádóó tó bił yíníyą́ą́'; éí biniinaa nizhé'é danilíinii yę́ę bitséní'ootséél góne' nits'íís doo yóó'ádoolníił da. 
11:13:023:0	Nít'éé' bááh jííyą́ą'go áádóó tó joodlą́ą́'dóó bik'ijį' Diyin God yá halne'ii t'ą́ą́' bił níjít'ázhígíí bá télii bik'i dah adziznil. 
11:13:024:0	Áádóó dah nídiidzáago náshdóítsoh bitsiijį' ditł'ooígíí bidááh níyáago biisxį́, áko hats'íís atiingóó sitį́įgo télii bíighahgóó sizį́; náshdóítsoh bitsiijį' ditł'ooígíí ałdó' ats'íís yíighahgóó sizį́. 
11:13:025:0	Diné ła' yíighahgóó hidikáahgo, shoo, ats'íís atiingóó sitį́įgo áádóó náshdóítsoh bitsiijį' ditł'ooígíí ats'íís yíighahgóó sizį́įgo dayiiłtsą́, áko kin haal'áadi Diyin God yá halne'ii haastihígíí kééhat'į́įdi yíkaigo yaa dahoolne'. 
11:13:026:0	Áko nít'éé' Diyin God yá halne'ii nát'ą́ą́' hoł nát'ázhígíí yiyíínii'go ání, Diyin God yá halne'ii yę́ę Bóhólníihii doo yik'eh hóół'įįdígíí át'į́; éí bąą Bóhólníihii t'áá hach'į' yee haadzí'ígíí bik'ehgo Bóhólníihii éí náshdóítsoh bitsiijį' ditł'ooígíí yaa hodiní'ą́ągo nahwiizhnizhgo hwiisxį́. 
11:13:027:0	Áádóó biye'ké yich'į' haadzíi'go ání, Télii shá bik'i dah asohnííł. Áko há yik'i dah da'aznil. 
11:13:028:0	Nít'éé' ákǫ́ǫ́ jiníyáago atiingóó ats'íís sitį́įgo áádóó télii índa náshdóítsoh bitsiijį' ditł'ooígíí bíighahgóó sizį́įgo baazhníyá, áko náshdóítsoh bitsiijį' ditł'ooígíí ats'íís t'ah doo yiyą́ą da lá, télii nidi doo niyiizhnizh da lá. 
11:13:029:0	Diyin God yá halne'ii éí Diyin God yá halne'ii yę́ę bits'íís néidiiłtį́įgo télii yikáá' dah yistį́įgo yee nát'ą́ą́' néiníłtį́, áádóó Diyin God yá halne'ii haastihígíí éí haa doocha áádóó yóó'ahodoolííł biniyé kin haal'áajį' nádzá. 
11:13:030:0	Áko t'áá hó hatséní'ootséél góne' bits'íís yóó'ájiilaago haa dajichago ádajiní, Aháláane', shik'is! 
11:13:031:0	Áko yóó'ájiilaadóó bik'ijį' haye'ké bich'į' hadzoodzíi'go ájíní, Dasétsą́ągo díí Diyin God yá halne'ii tséní'ootséél góne' yóó'ályaaígi bits'in bíighahgóó shits'in yóó'ádadoohłííł, 
11:13:032:0	háálá Bóhólníihii yee haadzí'ígíí éí Béthelgi bikáá' náá'iiniihí áádóó Samériya kéyahgi kin hadaas'áágóó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaaígi kin naaznilii yik'ijį' haadzíi'ii t'áá aaníí bohodoolnííł. 
11:13:033:0	Ákódahóót'įįdóó bik'ijį' Jerobówam doo yá'áshǫ́ǫ́góó ááníłígíí doo yits'ą́ąjį' kónéeh da, nidi diné bitahdóó éí ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaadi bá nááda'iiłniihii ánááyoo'nil; t'áá háiida náá'iiłniihii nishłį́į doo danízinígíí ats'ábi'diltééh áádóó ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaadi nááda'iiłniihii atah yileeh. 
11:13:034:0	Áko díí Jerobówam ba'áłchíní náás ahoolchíłígíí nihokáá'dóó áhodi'dooldįįłgo áádóó nahjį' kóhodi'doolnííł biniyé hak'ijį' ádił oodzíí' silį́į́'.
