11:16:001:0	Nít'éé' Hanéínai biye' Jííhu éí Bóhólníihii bich'į' haadzíi'go Béíyasha yik'ijį' nilį́įgo kóní, 
11:16:020:0	Áko łahjį' Zímrai yaa naayáhígíí áádóó Íílah yik'ijį' nilį́įgo nahaz'ánígíí éí Ízrel dine'é aláahgo yinanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
11:16:021:0	Áko nít'éé' Ízrel dine'é ałts'áákai: ałníí'dóó dine'é éí Gínath biye' Tíbnai aláahgo naat'áanii ádeidoolííł biniyé yikéé' dah diikai; łahjį' ałníí'dóóígíí éí Ámrii yikéé' dah diikai. 
11:16:022:0	Nidi dine'é Ámrii yikéé' dah diikaígíí éí Gínath biye' Tíbnai yikéé' dah diikaígíí yik'eh dadeesdlį́į́', áko Tíbnai daaztsą́, áádóó Ámrii éí aláahgo naat'áanii náánásdlį́į́'. 
11:16:023:0	Éísa éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo tádiindóó ba'aan t'ááłá'í náhááh binih Ámrii éí Ízrel dine'é aláahgo yinanit'a'í náánásdlį́į́' áádóó nant'áago naakits'áadah nááhai; Térzah kin haal'áagi nant'áago hastą́ą́h nááhai. 
11:16:024:0	Áádóó Samériya dah yisk'idígíí éí béésh łigaii tálent wolyéhígíí naakigo yee Shíímer wolyéii yaa nayiisnii'go bighą́ą'gi kin haal'á áyiilaa, áko kin haal'áago áyiilaaígíí bee wójíi dooígíí éí dah yisk'id Shíímer wolyéii bí nít'é'ígíí Samériya yee yiyíízhi'. 
11:16:025:0	Nidi Ámrii éí Bóhólníihii binááł doo yá'áshóonii baa nijiyá, áádóó halą́ąjį' naat'áanii danilį́į́ nít'é'ígíí éí t'áá ałtso dabiláhígo ájíít'įįd. 
11:16:026:0	Háálá Nííbat biye' Jerobówam jideeskáa'go ni'iisí'ígíí áádóó éí bee Ízrel dine'é ádił nida'iisíihgo ádayiilaa; éí eda'alyaii daahóhígíí bee Bóhólníihii Ízrel dine'é biDiyin God yádahóółchįįd. 
11:16:027:0	K'ad łahjį' Ámrii yaa naayáhígíí índa yee ayóó át'éii ííshją́ą́ áyiilaii éí Ízrel dine'é aláahgo yinanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo. 
11:16:004:1	Éíhab nant'áá nít'éé'
11:16:028:0	Áko Ámrii éí dabizhé'é yę́ę ada'iishxaazhígi át'éego i'jííłhaazhgo Samériyagi yóó'áho'diilyaa, áádóó haye' Éíhab hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́'. 
11:16:029:0	Éísa éí Júdah dine'é aláahgo yinanit'a'í nilį́įgo tádiindóó ba'aan tseebíí náhááh binih Ámrii biye' Éíhab éí Ízrel dine'é aláahgo yinanit'a'í náánásdlį́į́', áko Ámrii biye' Éíhab Samériyagi Ízrel dine'é yinant'áago naadiin naaki nááhai. 
11:16:030:0	Áádóó Bóhólníihii binááł Ámrii biye' Éíhab doo yá'áshóonii baa nijiyá, halą́ąjį' naat'áanii danilį́į́ nít'é'ígíí éí t'áá ałtso dabiláhígo ájíít'įįd. 
11:16:031:0	Áko nít'éé' Nííbat biye' Jerobówam yee ádił ni'iisí'ígíí t'įįhdígo át'é nahalingo jideeskáa'go Sáídan dine'é aláahgo binanit'a'í Ethbéíyal bitsi' Jézebel hwe'asdzą́ą́ ájiilaago Béíyal bá chojoo'į́įgo bich'į' nahojiłá. 
11:16:032:0	Índa Béíyal bikin Samériyadi ájiilaaígíí biyi' góne' bikáá' náá'iiniihí Béíyal bá ájiilaa. 
11:16:033:0	Áádóó Éíhab éí asdzání be'elyaii áyiilaago halą́ąjį' Ízrel dine'é aláahgo yinanit'a'í danilį́į́ nít'é'ígíí t'áá ałtso t'ah biláhídi át'éego Éíhab yaa naayáhígíí yee Bóhólníihii Ízrel biDiyin God yáhóółchįįd. 
11:16:034:0	Hóyoołkááł yę́ędą́ą́' Bétheldóó diné Háíyel wolyéii Jériko kin haal'á áyiilaa: Bóhólníihii bizaad Nan biye' Jáshowa yee haadzí'ígíí bik'ehgo Jériko kin bitł'ááh nástł'in ííléehgo biye' átsé bá yizhchínígíí Abáíram daaztsą́ índa bidáń'daditį́hígíí áyiilaago biye' akéédę́'ígíí Síígab daaztsą́.
