1:18:001:1	Áízak doochíłígíí bee nihoot'ą́
1:18:021:0	éí bąą k'ad ákóyaa deesháałgo dínéesh'įįł ; t'áá daats'í aaníí bik'ee jóchaaígi áhooníiłgo diséts'ą́ą́' ; doodaii' éí shił bééhodoozįįł .
1:18:022:0	Áko diné hats'ą́ąjį' t'áá áłah názyizgo Sádam kin haal'áajigo dah dii'áázh , áko Éíbraham t'éiyá Bóhólníihii t'ahdii yich'į' sizį́ .
1:18:023:0	Ákohgo Éíbraham áháníjį' hach'į' niníyáago ádííniid , Da' diné t'áá ákogi át'éiísh diné doo yá'áshóonii t'áá bił ádííłdįįł ?
1:18:024:0	Díí kin haal'áhígi ashdladiin diné t'áá ákogi ádaat'éii hólǫ́ǫgoósh t'áá bił ádííłdįįł ; ashdladiin diné t'áá ákogi ádaat'éii daats'í biniinaa doo ádííłdįįł da ?
1:18:025:0	Diné t'áá ákogi ádaat'éii diné doo yá' áshóonii t'áá bił ádííłdįįłígíí éí doo ákóone' ánít'ée da ! Ákwíindzaago diné t'áá ákogi ádaat'éii diné doo yá'áshóonii bił aheełt'éego ákóníléehgo doo ákóone' ánít'ée da ! Nahasdzáán bikáa'gi t'áá át'éé nít'éé' Ánihwii'aahii nilíinii , da' éísh doo t'áá ákwii ádooníił da ?
1:18:026:0	Áko Bóhólníihii ádííniid , Sádam kin haal'áhígi ashdladiingo diné t'áá ákogi ádaat'éii bik'íníyáago hó hanahjį' kin haal'áii doo ádeeshdįįł da .
1:18:027:0	Áko Éíbraham haadzíi'go ání , Jó , k'ad t'áá shí shíniik'ehgo azhą́ łeezh índa łeeshch'iih t'éiyá nishłį́į nidi shiBóhólníihii bich'į' haasdziih .
1:18:028:0	Diné t'áá ákogi ádaat'éii ashdladiin dooleełjį' ashdla' bee bi'ohgoshą' , da' ashdla' bee bi'oh nidiísh kin haal'áii t'áá át'é ałdó' ádííłdįįł ? Áko ádííniid , Dízdiindóó ba'aan ashdla' bik'íníyáago lá kin haal'áii doo ádeeshdįįł da ni .
1:18:029:0	Hach'į' haadzíi'go ánááhodoo'niid , Dízdiin yik'íníyáagoshą' ? Áko áhodííniid , Dízdiin ázhnéelą́ą'go biniinaa doo áhodeeshdįįł da .
1:18:030:0	Áko ánááhodoo'niid , T'áá shǫǫdí , Bóhólníihii , t'áadoo shá díílnihí , áko hanáádeesdzih . Tádiin yik'íníyáagoshą' ? Áko ánááhodoo'niid , Tádiin bik'íníyáago doo áhodeeshdįįł da .
1:18:031:0	Áko ázhdííniid , Jó , k'ad t'áá shí shíniik'ehgo Bóhólníihii bich'į' hanáánásdziih . Naadiin yik'íníyáagoshą' ? Áko ánáádoo'niid , Naadiin jilt'éego biniinaa doo áhodeeshdįįł da .
1:18:032:0	Áádóó ánáázhdoo'niid , T'áá shǫǫdí , Bóhólníihii , t'áadoo shá díílnihí , áko t'ááłáhídi hanáádeesdzih . Ákwe'é neeznáá jilt'éego yik'íníyáagoshą' ? Áko ánáádoo'niid , Neeznáá jilt'éego biniinaa doo áhodeeshdįįł da .
1:18:033:0	Áádóó Bóhólníihii dah náhodiile' ; jó , Éíbraham ałtso bił ahił nahodzisne' , áádóó Éíbraham bighangóó anáádzá .
