1:32:001:1	Jéíkab éí Íísa yidááh doogáałgo hasht'e'ádiilyaa
1:32:017:0	Alą́ąjį'ígíí ábizhdííniid , Shínaaí Íísa nidááh níyáago áádóó nanídééłkidgo , Háishą' bíí' nílį́ ? Háágóoshą' díníyá ? índa , Díí nííłkałígíishą' háí bí ? nidííniidgo
1:32:018:0	kódidííniił , Ná naal'a'í Jéíkab bí ; shinanit'a'í Íísa yeínííł , áádóó ałdó' t'áá bí nihikéédę́ę́' yinééł .
1:32:019:0	Naaki góne'ígíí áádóó náá'ákéédę́'ígíí áádóó t'áá ałtso ałkéé' da'néełkaadígíí ałdó' ákódabizhdidooniił , Íísa bidááh noohkaigo kót'éego bił nidahodoołnih ,
1:32:020:0	áádóó ánáádadidooh'niił , Ná naal'a'í Jéíkab ałdó' nihikéédę́ę́' yinééł . Háálá ání , Haa deeshniłígíí shilą́ąjį' yikahgo binahjį' shich'į' k'énízdínóodzįįł , áádóó bik'ijį' índa náhwiideestsééł , áko daats'í k'énáshididoo'niił .
1:32:002:1	Jéíkab éí Piináíyeldi diné léi' yił na'ahíneestą́ą́'
1:32:021:0	Ákohgo aazhdooléłígíí halą́ąjį' danéelkaad ; hó éí oonéłígíí t'áá ákwe'é bił dahwiiską́ .
1:32:022:0	T'áá éí bitł'éé' nízhdii'na'go hwe'asdzą́ą́ t'áá áłah dashdii'eezh , índa asdzání á naal'a'í t'áá áłah índa haye'ké ła'ts'áadahígíí ałdó' , áádóó tooh Jábak ha'naa nideetiin gónaa ha'naa nijíkai .
1:32:023:0	Dah yidii'eezhgo tó nílínígíí tsé'naa ajiis'a' áádóó jit'ínígíí t'áá ałtso tsé'naa ájiilaa .
1:32:024:0	Áko Jéíkab t'áá sáhí jiida' , áko ákwe'é hayííłką́ąjį' diné léi' hoł na'ahíneeztą́ą́' .
1:32:025:0	Áko diné doo hak'eh dódle' át'éégóó bił bééhoozingo hak'ai' hooldzisígi yideelchid , áko bił na'ahízhnítaahgo Jéíkab hak'ai' hááwod .
1:32:026:0	Áko áháłní , Shidíchííd , háálá hayííłką́ . Nidi ábijiní , Shik'ijiisínídli'go índa nidideeshchił .
1:32:027:0	Áko ánááhodi'ní , Haashą' yinílyé ? Jéíkab yinishyé , bijiní .
1:32:028:0	Áko áháłní , Jéíkab doo náánéinílyée da doo , nidi Ízrel yinílyée doo , háálá naat'áanii t'áá aké'égoígíí nahalingo Diyin God bich'į' nidziil ; diné ałdó' bich'į' nidziil , áko bíni' bá áhwiinilaa .
1:32:029:0	Áko Jéíkab nahódééłkidgo ání , Nízhi' bee shił hólne' , t'áá shǫǫdí . Áko áháłní , Ha'át'íishą' biniyé shízhi' bína'ídíłkid ? Áádóó ákwe'é hak'ijisdli' .
1:32:030:0	Áko Jéíkab ákwe'é Piináíyel hoolyée doo jidííniidgo ájíní , Diyin God bił ahiistsą́ , nidi t'ah hinishná .
1:32:031:0	Áko Piinúwel bitis jííyáago hwee ha'íí'ą́ , áko hak'ai' hááwodgo adíznéesxod .
1:32:032:0	Áko Ízrel dine'é díí jį́į́góó ak'ai' hooldzisígi ats'idígíí doo deiyą́ą da , háálá Jéíkab bik'ai' hooldzisígi ats'id bizhdeelchidgo ahaneheetah .
