1:21:001:1	Áízak bi'dizhchį́
1:21:017:0	Áko Diyin God nilíinii ashkii yichago yidiizts'ą́ą́' , áko Diyin God bidiyingo naal'a'í yá'ąąsh biyi'dę́ę́' Héígar yiyíízhi'go áyidííniid , Héígar , haashą' yinidzaa ? T'áadoo nił yé'í ; Diyin God éí ashkii sitínígíí yichago yidiizts'ą́ą́' .
1:21:018:0	Nídiidááh , ashkii nídiiłteehgo dah yíłtééł , háálá ła' dine'é ayóó át'éii áhodeeshłííł .
1:21:019:0	Ákohgo Diyin God hahoyííłhalgo tó hahaasnilgo dziiłtsą́ ; ákǫ́ǫ́ jiníyáago tó abid bii' tó hazhdééłbįįdgo ashkii baazhníłtsoozgo yoodlą́ą́' .
1:21:020:0	Áko Diyin God éí ashkii yaa áhályą́ągo dínéesą́ ; kéyah bii' doo naagháhídi kééhat'į́ , áádóó t'áá íiyisí doo na'asi'góó k'aa' yee adiłt'oh silį́į́' .
1:21:003:1	Éíbraham éí Abímelek yił aha'deet'ą́
1:21:021:0	Péran hoolyéedi kéyah bii' doo naagháhídi kééhat'į́ ; Ííjip kéyahdę́ę́' asdzání hwe'asdzą́ą́ dooleełígíí hamá há yił nát'áázh .
1:21:022:0	Íídą́ą́' Abímelek áádóó bisiláo binanit'a'í Fáíkal wolyéii Éíbraham yich'į' haadzíi'go ání , T'áá ha'át'íhída t'áá ałtso baa nanináago Diyin God nił hólǫ́ .
1:21:023:0	Éí bąą k'ad Diyin God binááł shich'į' ádee hadídziihgo t'áadoo shina'ílo'í doo ; shiye' ałdó' dooda , shinálí ałdó' dooda ; naa jooshba'ígi át'éego ni ałdó' shich'į' t'áá ákónít'ée doo , áádóó kéyah bikáá' níínínánígi ałdó' bich'į' ákónít'ée dooleeł .
1:21:024:0	Éíbraham ádííniid , Ádee hadideesdzih .
1:21:025:0	Áádóó Éíbraham tó hahaas'nilígíí biniinaa Abímelek yideezteh , háálá Abímelek bá nidaal' a'í t'áá na'níle'dii haghadeideest'ą́ ,
1:21:026:0	áko Abímelek ádííniid , Doo shił bééhózin da ; háí shį́į́ át'ínígíí t'áadoo bee shił hwíínílne' da ; doo diists'a' da nít'éé' ; díí jį́ índa yínii' .
1:21:027:0	Áko Éíbraham éí dibé índa béégashii ałdó' Abímelek yeinínil , áádóó ahazhdeet'ą́ .
1:21:028:0	Áko Éíbraham éí hadibé yázhí dabi'ádígíí tsosts'idgo t'áá sahdii ats'ázhnínil .
1:21:029:0	Áádóó Abímelek éí Éíbraham áyidííniid , Ha'át'íishą' biniyé díí dibé yázhí dabi'ádígíí ats'éinínil ?
1:21:030:0	Áko ázhdííniid , Díí dibé yázhí dabi'ádígíí tsostsidgo shits'ą́ą́dóó nídidíínił ; éí díí tó hahánilígíí shí ásht'į́įgo shá bee bééhózin doo .
1:21:031:0	Díí biniinaa ákwe'é Bíyer-shííba hoosye' , háálá ákwe'é ałch'į' ádee hazdoodzíí' .
1:21:032:0	Kót'éego Bíyer-shííba hoolyéegi ahazhdeet'ą́ , ákohgo Abímelek índa hasiláo binanit'a'í Fáíkal wolyéii Filístiya dine'é bikéyahgóó dah nízhdiit'áázh .
1:21:033:0	Áádóó Éíbraham éí Bíyer-shííba hoolyéegi k'ai' łichíí' k'izhdíílá ; ákwe'é Bóhólníihii éí hool'áágóó Diyin God nilíinii bízhi' józhíigo sozdoolzin .
1:21:034:0	Éíbraham éí Filístiya dine'é bikéyahgi t'óó átsééd kééhojit'į́įgo lą'í yiską́ .
