1:9:001:1	Diyin God éí Nóah yił aha'deet'ą́
1:9:012:0	Áádóó Diyin God ádííniid , Ni áádóó dahináanii nináneel'ą́ąjį' índa náásgóó da'ahílchíihii t'áá ałtso nihił ałha'dinisht'aah ; díí bee ééhózin doo ;
1:9:013:0	éí k'os biyi' shinááts'íílid ninílá , áko shí áádóó nahasdzáán bił nihita'gi aha'deet'ą́ągo bee bééhózin doo .
1:9:014:0	Ííshją́ą́ kót'ée doo , nahasdzáán bikáa'gi k'os ánásh'įįhgo biyi' nááts'íílid néiltséeh dooleeł ,
1:9:015:0	áko shí lá índa ni lá áádóó bits'íís dahináanii nináneel'ą́ąjį' nihił ahada'di'nisht'áanii bénáshniih doo , áko tó nídaadląąhgo bits'íís dahólóonii t'áá ałtso doo tó áńdabiłdįįh da doo .
1:9:016:0	K'os biyi' nááts'íílid ninádiłgo nánísh'įįh doo , áko Diyin God áádóó nahasdzáán bikáa'gi bits'íís dahináanii nináneel'ą́ąjį' hool'áágóó bił ahadi'nisht'ą́ągo bénáshniih doo .
1:9:002:1	Nóah áádóó biye'ké
1:9:017:0	Áádóó Diyin God éí Nóah ánéídoo'niid , Díidí shí áádóó nahasdzáán bikáa'gi bits'íís dahináanii t'áá ałtso nihita'gi bił ahadi'nisht'ą́ągo bee bééhózinii át'é .
1:9:018:0	Nóah biye'ké éí tsinaa'eeł biyi'dę́ę́' ch'ékaígíí éí Shem áádóó Ham índa Jéífeth ádaat'į́ . Áko Ham éí Kéínan bizhé'é jílį́ .
1:9:019:0	Díí tált'éego Nóah biye'ké danilį́ ; éí bits'ą́ą́dóó nahasdzáán bikáá'góó t'áá át'éé nít'éé' diné k'ee'ąą náádínéest'ą́ .
1:9:020:0	Nóah éí k'éédídléehii dzizlį́į́' , áko ch'il na'atł'o'ii k'izhdíílá .
1:9:021:0	Áko wáin joodlą́ą'go hoł honiiłdoi , áko haníbaal góne' ha'éé' hazhdiiltsoozgo t'áá jilchí'ígo dziztį́ .
1:9:022:0	Nít'éé' Ham éí Kéínan bizhé'é jílíinii hazhé'é t'áá łichí'ígo sitį́įgo dziiłtsą́ , áko tł'óo'di hak'isóó bił hojoolne' .
1:9:023:0	Áko Shem índa Jéífeth beeldléí hata'gi hawosjį' naníbaalgo t'ą́ąjigo yah ajíí'áázh , áko hazhé'é t'áá łichí'ígo sitį́įgo bik'ídzísti' , áko bits'ą́ąjį' hanii'go hazhé'é t'áá łichí'ígo sitínígíí t'áadoo jinééł'į́į' da .
1:9:024:0	Áko Nóah bił énáhoosdzingo haye' akéédę́'ígíí áhóół'įįdígíí hoł bééhoozingo
1:9:025:0	ázhdííniid , Kéínan hóyée'go há ha'oodzíí' ; hak'isóó binaalte' jílį́į doo .
1:9:026:0	Áádóó ánáázhdoo'niid , Shem biDiyin God Bóhólníihii baa ha'niih ; háni'dii Kéínan hanaalte' doo .
1:9:027:0	Diyin God éí Jéífeth agháago ayóó át'é íidoolííł , áko Shem dabiníbaal góne' kééhojit'į́į doo ; Kéínan éí hanaalte' doo .
1:9:028:0	Tó nahwéskaidóó bik'ijį' Nóah táadi neeznádiindóó ba'aan ashdladiin binínáánááhai .
1:9:029:0	Áko Nóah bíídíiską́ą́dóó náhást'éidi neeznádiindóó ba'aan ashdladiin binááhaigo daaztsą́ .
