1:24:001:1	Áízak be'asdzą́ą́ dooleełígíí bá nídiiltį́
1:24:030:0	Yoostsah índa látsíní hadeezhí bílátsíín sinilgo dziiłtsą́ áádóó hadeezhí Rebékah bizaad dzidiizts'ą́ą'go , Diné kóshíłní , níigo éí diné bich'į' jiníyáago tó hahadleehdi ghą́ą́'ask'idii yíighahgóó sizį́įgo baazhníyá .
1:24:031:0	Áko ábijiní , Bóhólníihii bik'ijidlíii nílíinii , yah aninááh . Ha'át'íishą' biniyé tł'óo'di sínízį́ ? Kin góne' ná hasht'ehooshłaa áádóó ghą́ą́'ask'idii ałdó' bá hasht'ehooshłaa .
1:24:032:0	Áko kin góne' diné yah ííyáago Léíban éí haghą́ą́'ask'idii yik'i na'iiznil , áádóó tł'oh naadą́ą́' bitsǫz índa łį́į́' bich'iyą' bił ghą́ą́'ask'idii yá ni'níłjool , áádóó tó bee hakee' tázdoogisii índa diné bił nijikaígíí dabikee' ałdó' yee táádeidoogisii baazhníką́ .
1:24:033:0	Áko azhdooyį́į́ł biniyé hayaa nizh'níką́ , nidi , Biniyé níyáhígíí baa hweeshne'go índa adeeshį́į́ł , jiní . Hágoónee' , hólne' , hozhdííniid .
1:24:034:0	Áko ájíní , Éíbraham binaal'a'í nishłį́ .
1:24:035:0	Bóhólníihii éí shinanit'a'í ayóó át'éego yik'ijisdli' , áko ayóó át'éii dzizlį́į́' , áádóó dibé naazhjé'ígíí beinínil , áádóó béégashiida , béésh łigaiida , óolada , diné há nidaalte' , asdzání há nidaalte' , ghą́ą́'ask'idii índa téliida beinínil .
1:24:036:0	Áko shinanit'a'í be'asdzą́ą́ Sárah haastihgo shinanit'a'í biye' yishchį́ , áko t'áá bee hólónígíí t'áá ałtso yeidiní'ą́ .
1:24:037:0	Shinanit'a'í ádee hashiyííłdzíí' kóníigo , Kéínan dine'é bikéyah biyi' kééhasht'ínígíí dabitsi'ké shiye' be'asdzą́ą́ dooleełígíí doo ła' bá nídidííłtéeł da .
1:24:038:0	Shizhé'é bik'éí bidine'é bitahgóó díínááł , áádę́ę́' shiye' be'asdzą́ą́ dooleełígíí bił nídíít'ash .
1:24:039:0	Áádóó shinanit'a'í ábidííniid , Asdzání doo shikéé' bíni'góoshą' ?
1:24:040:0	Áko áshidííniid , Bóhólníihii binááł naasháhígíí bidiyingo naal'a'í nił yidooł'aał , éí níká adoolwołgo shizhé'é bik'éí bidine'é bitahdę́ę́' shiye' be'asdzą́ą́ dooleełígíí bił nídíít'ash .
1:24:041:0	Áko shik'éí bitahgóó ch'ééh nisíníyáago áádóó doo ła' naa deistį́į́góó éí doo nihodiit'i'góó ch'ídíínááł .
1:24:042:0	Áko jį́į́dą́ą́' tó hahadleehgi níyá , áádóó ádíshní , Éíbraham shinanit'a'í biDiyin God Bóhólníihii nílíinii , biniyé yisháłígíí bee shíká anilyeed .
1:24:043:0	Jó , tó hahadleeh bíighahgóó sézį́ , áko bíni' ákónééh ; ch'ikę́ę́h tó haidooloh yiniyé ch'ídoogáałgo ábidideeshniił , T'áá shǫǫdí , tó áłch'į́į́dígo nitóshjeeh biyi'dę́ę́' ła' shaa nízííd .
1:24:044:0	Áádóó ch'ikę́ę́h áshididooniił , Ídlą́ índa nighą́ą́'ask'idii ałdó' bá tó hahideesh'ááł ; ííshją́ą́ asdzání éí Bóhólníihii shinanit'a'í biye' yá néidiiłtínígíí át'į́į dooleeł .
1:24:045:0	Áko t'áá shiyi'ídi t'ah doo niyáníshtééhgóó Rebékah éí tóshjeeh hawosgi dah si'ą́ągo ch'ízhníyá ; tó hahadleeh góyaa ajííyáago tó hajíílo' , áko áhodishní , T'áá shǫǫdí tó ła' shaa nízííd .
1:24:046:0	T'áá áko hatóshjeeh hawosdóó nizhdii'ą́ índa , Nighą́ą́'ask'idii ałdó' bá tó hahideesh'ááł , shizhdííniid , áko eeshdlą́ą́' áádóó ghą́ą́'ask'idii ałdó' bá tó hadziiz'ą́ .
1:24:047:0	Áádóó nahódíshkidgo áhodishní , Háishą' bitsi' nílį́ ? Áko ájíní , Néíhor hwe'asdzą́ą́ Mílkah haye' há yishchínígíí Biithúwel bitsi' nishłį́ . Áko yoostsah háchį́į́h bąąh dah sé'ą́ , áádóó látsíní hálátsíín ninínil .
1:24:048:0	Áádóó yaa ásdzaago Bóhólníihii bich'į' sodeeszingo Éíbraham shinanit'a'í biDiyin God Bóhólníihii bich'į' ahééh niizį́į́' , háálá shinanit'a'í bitsilí bitsi' éí haye' bá nídideeshtéełgo yá'át'éehgo shilą́ąjį' hólǫ́ǫgo níyá .
1:24:049:0	Áko k'ad dajiinohba'go shinanit'a'í t'áá aaníí bił ákóda'ahidoołníiłgo bee shił dahołne' ; doodago ałdó' éí bee shił dahołne' , ákohgo háajigo shį́į́ dah dideeshááł ; nish'náájí daats'í , doodaii' , nishtł'ají daats'í .
1:24:050:0	Ákohgo Léíban índa Biithúwel hach'į' haadzíi'go áhodííniid , Díidí Bóhólníihii bits'ą́ą́dę́ę́' át'éé lá , áko nichǫ́'ígo doodaii' yá'át'éehgoda doo nich'į' hadaodziih át'ée da .
1:24:051:0	Jó , kǫ́ǫ́ Rebékah hoł nihiní'aash , áko ninanit'a'í biye' be'asdzą́ą́ jidooleeł . Jó , ákót'éego Bóhólníihii haadzíí' lá .
1:24:052:0	Ákódzaago Éíbraham binaal'a'í hazaad yidiizts'ą́ą'go ni'jį' yaa ádzaago Bóhólníihii yich'į' nahasá .
1:24:053:0	Áádóó naal'a'í éí yódí ałtaas'éí béésh łigaii áádóó óola bee ádaalyaii índa éé'da hayiiznilgo Rebékah yeinínil , áádóó yódí da'ílínígíí ałdó' hánaaí índa hamá yeinínil .
1:24:054:0	Ákohgo diné bił nijikaígíí bił da'jííyą́ą́' , índa t'áá ákwii jineezhjéé' . Abínígo nízhdiijée'go ájíní , Shinanit'a'í bich'į' náshidoł'á .
1:24:055:0	Ch'ikę́ę́h bínaaí índa bimá ałdó' ádííniid , Bíni' átsééd t'áá díkwíí yiskáníjį' ch'ikę́ę́h bił naháatą́ą doo ; neeznáá yiską́ąjį'da , áádóó bik'ijį' índa ákǫ́ǫ́ jidoogááł .
1:24:056:0	Áko ábijiní , Bóhólníihii shíká aalwodígíí bąą t'áadoo nidashinoh'iní ; náshidoł'á ; shinanit'a'í bich'į' nídeeshdááł .
1:24:057:0	Áko ádaaní , Ch'ikę́ę́h hágo dabididii'niiłgo nideídídíilkił .
1:24:058:0	Áko Rebékah hágo dayidííniidgo ádeiłní , Díí diné daats'í bił nihéédíít'ash ? Áko ázhdííniid , Ákǫ́ǫ́ lá deesháał ni .
1:24:059:0	Áko hadeezhí Rebékah áádóó asdzání Rebékah bineesánígíí índa Éíbraham binaal'a'í áádóó diné yił naakaígíí t'áá ałtso bił bida'dzisnii' .
1:24:060:0	Áádóó Rebékah bá sodazdoolzingo ádabizhdííniid , Nihideezhí nílį́ , t'óó ahayóídi miiltsoh bimá dííleeł , áádóó na'áłchíní náás da'ahílchíihii dabijoołáhígíí yik'eh dadidlį́į doo .
1:24:061:0	Áádóó Rebékah hasht'e'ádiilyaago ch'ikę́ę́h ła' biłgo diné bił dashdiikaigo ghą́ą́'ask'idii bee nihijíkai , áko naal'a'í éí Rebékah yił nihiní'áázh .
1:24:062:0	Áízak éí Laháíroigi tó hahadleehdę́ę́' jiníyá , háálá kéyah Shádi'ááh hoolyééjí kééhojit'į́ .
1:24:063:0	Áko i'íí'ą́ągo Áízak halgaigóó joogáałgo na'ák'ítsídzílkeesgo áádóó ajííghal , nít'éé' , shoo , ghą́ą́'ask'idii náákahgo dziiłtsą́ .
1:24:064:0	Áko Rebékah ałdó' ajííghal , nít'éé' Áízak dziiłtsą́ągo ghą́ą́'ask'idii bik'i nijííyá .
1:24:065:0	Áko naal'a'í ábizhdííniid , Níléí diné nihidáahjį' yigáłígíishą' háí át'į́ ? Áko naal'a'í ání , Shinanit'a'í át'į́ . Ákohgo ch'ikę́ę́h binii'jį' yik'é'ésti' .
1:24:066:0	Áádóó naal'a'í naho'dis'a'góó ájíít'įįdígíí t'áá ałtso bee Áízak bił hojoolne' .
1:24:067:0	Áízak éí ch'ikę́ę́h yił dah dii'áazhgo bimá Sárah yę́ę biníbaal góne' yił yah íí'áázh , áádóó be'asdzą́ą́ dzizlį́į́' , áko Áízak ayóó'áhó'níigo bimá daaztsą́ą́dóó bik'ijį' ha'oosniid .
