1:35:001:1	Bétheldi Diyin God éí Jéíkab yik'ijisdli'
1:35:011:0	Áko Diyin God ánáábidoo'niid , Diyin God Aláahgo Ayóó'ábóodziilii nishłį́ ; náásgóó na'áłchíní k'ee'ąą yilzhish doo ; k'ee'ąą nooht'į́įł doo ; dadine'é índa ał'ąą dine'é nits'ą́ą́dóó hodooleeł , índa nits'ą́ą́dóó naat'áanii ch'íhidookah .
1:35:012:0	Éíbraham índa Áízak éí kéyah baa diní'áanii naa dideesh'ááł , índa na'áłchíní náás da'ahílchíihii ałdó' baa dideesh'ááł .
1:35:013:0	Áádóó índa Diyin God hach'į' yáłti' yę́ę hats'ą́ą́' dah náhodiidle' .
1:35:014:0	Áádóó Jéíkab éí Diyin God hach'į' haadzí'ígi tsé ajíítsigo bik'ijį' yanáadzi'go nááhániihii yajiiziid , índa ak'ah ałdó' yajiiziid .
1:35:002:1	Réíchel daaztsą́
1:35:015:0	Áko Jéíkab ákwe'é Diyin God hach'į' haadzí'ígi Béthel hoolyée doo , jidííniid .
1:35:016:0	Áádóó Bétheldóó dah náázhdii'ná , áko Éfrath t'áá áyídí hadziihgo Réíchel awéé' bídii'na'go t'áá íiyisí bich'į' nahwiisnáá' .
1:35:017:0	Ákódzaago t'áá íiyisí bich'į' nahwii'náago asdzání ha'niyóodii áhodííniid , T'áadoo nił yé'í , niyáázh k'ad ła' nááhodoodleeł .
1:35:018:0	Ákódzaago hwii' sizíinii hwii' haalyeedgo Benónai joolyée doo , jidííniid , háálá dadziztsą́ , nidi bizhé'é éí Bénjamin yidííniid .
1:35:019:0	Áko Réíchel daaztsą́ągo Éfrathgóó atiinígíí bíighahgi łeeh bi'dooltį́ ; t'áá ákwe'é Béthlehem hoolyé .
1:35:020:0	Áko Jéíkab jishcháá' bikáa'gi tsé yeidíníishin ; éí díí jį́į́góó Réíchel bijishcháá' bikáa'gi tsé yadíníilzhin át'é .
1:35:003:1	Jéíkab biye'ké
1:35:021:0	Áádóó Ízrel dah náázhdii'náago Ííden kin nineezgo yaa'áhígíí biláahdi honíbaal nizhnínil .
1:35:022:0	Áko ákódzaago Ízrel éí kéyah yiyi'gi kééhat'į́įgo Rúben dah diiyáago Bílhah , hazhé'é be'asdzą́ą́ yíł'íní , bił jineezhtéézh , áko éí Ízrel yiyíínii' . Jéíkab biye'ké éí naakits'áadah .
1:35:023:0	Líyah biyáázhké : Jéíkab bá alą́ąjį' yizhchíinii éí Rúben wolyéii áádóó Símiyan áádóó Líívai áádóó Júdah áádóó Ísakar índa Zébyulan daolyé .
1:35:024:0	Réíchel biyáázhké éí Jóseph índa Bénjamin wolyé .
1:35:025:0	Áádóó Réíchel bá naal'a'í Bílhah biyáázhké éí Dan índa Náftalai wolyé .
1:35:004:1	Áízak daaztsą́
1:35:026:0	Líyah bá naal'a'í Zílpah biyáázhké éí Géed índa Ásher wolyé . Díidí Jéíkab biye'ké ádaat'į́ ; éí Péídan-éíram hoolyéegi bá niheezhchį́ .
1:35:027:0	Áádóó Mámre hoolyéegi Árbah bikin haal'áhígíí éí Hííbran hoolyéedi Jéíkab bizhé'é Áízak yaa níyá . Ákwe'é Éíbraham índa Áízak t'óó átsééd kééhat'į́į́ nít'éé' .
1:35:028:0	Áko Áízak bíídíiską́ą́dóó neeznádiindóó ba'aan tseebídiin binááhai .
1:35:029:0	Áko Áízak honíłch'i hwii' haalwodgo dadziztsą́ ; hwíídíiską́ą́dóó lą'í hwiiską́ągo hadzistihgo hak'éí yę́ę ahikááhgóó dzizlį́į́' , áko haye' Íísa índa Jéíkab łeeh hóółtį́ .
