4:26:001:1	Mó'ab kéyahgi Ízrel dine'é dabi'déélta'
4:26:011:0	Kórah ba'áłchíní t'éiyá t'áadoo ábi'disdįįd da. 
4:26:012:0	Díí Símiyan biye'ké bada'áłchíní náás ahideeshchínígíí ádaat'į́: Símiyan biye' Nému'el ba'áłchíní Nému'el dine'é danilį́. Símiyan biye' Jéímin ba'áłchíní Jéímin dine'é danilį́. Símiyan biye' Jéíkin ba'áłchíní Jéíkin dine'é danilį́. 
4:26:013:0	Símiyan biye' Zíírah ba'áłchíní Zíírah dine'é danilį́. Símiyan biye' Shéíyal ba'áłchíní Shéíyal dine'é danilį́. 
4:26:014:0	Díí éí Símiyan dine'é bada'áłchíní náás ahoolchíiłii ádaat'į́; éí naadiin naakidi mííldóó ba'aan naakidi neeznádiingo ánéelą́ą́'. 
4:26:015:0	Díí Géed biye'ké bada'áłchíní náás ahideeshchínígíí ádaat'į́: Géed biye' Zíífan ba' áłchíní Zíífan dine'é danilį́. Géed biye' Hágai ba'áłchíní Hágai dine'é danilį́. Géed biye' Shúnai ba'áłchíní Shúnai dine'é danilį́. 
4:26:016:0	Géed biye' Áznai ba'áłchíní Áznai dine'é danilį́. 
4:26:017:0	Géed biye' Éírad ba'áłchíní Éírad dine'é danilį́. Géed biye' Aríílai ba' áłchíní Aríílai dine'é danilį́. 
4:26:018:0	Díí éí Géed dine'é bada'áłchíní náás ahoolchíiłii ádaat'į́; éí dízdiindi mííldóó ba'aan ashdladi neeznádiingo ánéelą́ą́'. 
4:26:019:0	Díí Júdah biye'ké Er áádóó Ónan wolyé: áko Er áádóó Ónan éí Kéínan kéyahdi jineezná. 
4:26:020:0	Áádóó díí Júdah biye'ké náánáła' bada'áłchíní náás ahideeshchínígíí ádaat'į́: Júdah biye' Shíílah ba'áłchíní Shíílah dine'é danilį́. Júdah biye' Píírez ba'áłchíní Píírez dine'é danilį́. Júdah biye' Zíírah ba'áłchíní Zíírah dine'é danilį́. 
4:26:021:0	Áádóó Píírez biye'ké Hézran áádóó Héímal wolyé. Hézran ba'áłchíní Hézran dine'é danilį́. Héímal ba'áłchíní Héímal dine'é danilį́. 
4:26:022:0	Díí éí Júdah dine'é bada'áłchíní náás ahoolchíiłii ádaat'į́; éí tsosts'idiindóó ba'aan hastą́ądi mííldóó ba'aan ashdladi neeznádiingo ánéelą́ą́'. 
4:26:023:0	Díí Ísakar biye'ké bada'áłchíní náás ahideeshchínígíí ádaat'į́: Ísakar biye' Tóla ba'áłchíní Tóla dine'é danilį́. Ísakar biye' Púwa ba'áłchíní Púwa dine'é danilį́. 
4:26:024:0	Ísakar biye' Jéíshab ba'áłchíní Jéíshab dine'é danilį́. Ísakar biye' Shímran ba'áłchíní Shímran dine'é danilį́. 
4:26:025:0	Díí éí Ísakar dine'é bada'áłchíní náás ahoolchíiłii ádaat'į́; éí hastą́diindóó ba'aan dį́įdi mííldóó ba'aan táadi neeznádiingo ánéelą́ą́'. 
4:26:026:0	Díí Zébyulan biye'ké bada'áłchíní náás ahideeshchínígíí ádaat'į́: Zébyulan biye' Sííred ba'áłchíní Sííred dine'é danilį́. Zébyulan biye' Íílan ba'áłchíní Íílan dine'é danilį́. Zébyulan biye' Jáliiyel ba'áłchíní Jáliiyel dine'é danilį́. 
4:26:027:0	Díí éí Zébyulan dine'é bada'áłchíní náás ahoolchíiłii ádaat'į́; éí hastą́diindi mííldóó ba'aan ashdladi neeznádiingo ánéelą́ą́' lá. 
4:26:028:0	Áádóó díí Jóseph biye'ké Manáseh áádóó Íífreiyim wolyéii bada'áłchíní náás ahideeshchínígíí ádaat'į́: 
4:26:029:0	díí Manáseh biye'ké bada'áłchíní náás ahoolchíiłii ádaat'į́: Manáseh biye' Méíkir ba'áłchíní Méíkir dine'é danilį́. Áko Méíkir éí Gíliyad yizhé'é nilį́. Gíliyad ba'áłchíní Gíliyad dine'é danilį́. 
4:26:030:0	Díí Gíliyad dabiye'ké bada'áłchíní náás ahoolchíiłii ádaat'į́: Gíliyad biye' Jeyíízer ba'áłchíní Jeyíízer dine'é danilį́. Gíliyad biye' Híílek ba'áłchíní Híílek dine'é danilį́, 
4:26:031:0	áádóó Gíliyad biye' Ásriyel ba'áłchíní Ásriyel dine'é danilį́. Gíliyad biye' Shííkem ba'áłchíní Shííkem dine'é danilį́, 
4:26:032:0	índa Gíliyad biye' Shiimáída ba'áłchíní Shiimáída dine'é danilį́. Gíliyad biye' Híífer ba'áłchíní Híífer dine'é danilį́. 
4:26:033:0	Áko Híífer biye' Ziilófehad t'áadoo biye'ké hazlį́į' da, nidi hatsi'ké t'éí hólǫ́. Díí Ziilófehad bitsi'ké kódaolyé: Mála, Nóah, Hágla, Mílka índa Térza. 
4:26:034:0	Díí éí Manáseh dine'é bada'áłchíní náás ahoolchíiłii ádaat'į́; éí ashdladiindóó ba'aan naakidi mííldóó ba'aan tsosts'idi neeznádiingo ánéelą́ą́'. 
4:26:035:0	Díí Íífreiyim biye'ké bada'áłchíní náás ahideeshchínígíí ádaat'į́: Íífreiyim biye' Shuthíílah ba'áłchíní Shuthíílah dine'é danilį́. Íífreiyim biye' Bííker ba'áłchíní Bííker dine'é danilį́. Íífreiyim biye' Téíhan ba'áłchíní Téíhan dine'é danilį́. 
4:26:036:0	Áko díí Shuthíílah biye'ké bada'áłchíní náás ahoolchíiłii ádaat'į́: Shuthíílah biye' Ííran ba'áłchíní Ííran dine'é danilį́. 
4:26:037:0	Díí éí Íífreiyim biye'ké bada'áłchíní náás ahoolchíiłii ádaat'į́; éí tádiindóó ba'aan naakidi mííldóó ba'aan ashdladi neeznádiingo ánéelą́ą́'. Áko díí éí Jóseph biye'ké bada'áłchíní náás ahideeshchínígíí ádaat'į́. 
4:26:038:0	Díí Bénjamin biye'ké bada'áłchíní náás ahideeshchínígíí ádaat'į́: Bénjamin biye' Bííla ba'áłchíní Bííla dine'é danilį́. Bénjamin biye' Áshbel ba'áłchíní Áshbel dine'é danilį́. Bénjamin biye' Aháíram ba'áłchíní Aháíram dine'é danilį́. 
4:26:039:0	Bénjamin biye' Shúfam ba'áłchíní Shúfam dine'é danilį́. Bénjamin biye' Húfam ba'áłchíní Húfam dine'é danilį́. 
4:26:040:0	Áádóó Bííla biye'ké Ard áádóó Néíyaman wolyé. Bííla biye' Ard ba'áłchíní Ard dine'é danilį́. Bííla biye' Néíyaman ba'áłchíní Néíyaman dine'é danilį́. 
4:26:041:0	Díí éí Bénjamin dine'é bada'áłchíní náás ahoolchíiłii ádaat'į́; éí dízdiindóó ba'aan ashdladi mííldóó ba'aan hastą́ądi neeznádiingo ánéelą́ą́'. 
4:26:042:0	Díí éí Dan biye'ké bada'áłchíní náás ahideeshchínígíí ádaat'į́: Dan biye' Shúham ba'áłchíní Shúham dine'é danilį́. Díí éí Dan bada'áłchíní náás ahoolchíiłii ádaat'į́. 
4:26:043:0	Shúham dine'é bada'áłchíní t'áá ałtso hastą́diindóó ba'aan dį́įdi mííldóó ba'aan dį́įdi neeznádiingo ánéelą́ą́'. 
4:26:044:0	Díí Ásher biye'ké bada'áłchíní náás ahideeshchínígíí ádaat'į́: Ásher biye' Jímna ba'áłchíní Jímna dine'é danilį́. Ásher biye' Jésowai ba'áłchíní Jésowai dine'é danilį́. Ásher biye' Biiráíyah ba'áłchíní Biiráíyah dine'é danilį́. 
4:26:045:0	Biiráíyah biye'ké ła': Biiráíyah biye' Hííber ba'áłchíní Hííber dine'é danilį́. Biiráíyah biye' Málkiyel ba'áłchíní Málkiyel dine'é danilį́. 
4:26:046:0	Ásher bitsi' éí Sárah wolyé. 
4:26:047:0	Díí éí Ásher dine'é bada'áłchíní náás ahoolchíiłii ádaat'į́; éí ashdladiindóó ba'aan táadi mííldóó ba'aan dį́įdi neeznádiingo ánéelą́ą́'. 
4:26:048:0	Díí Náftalai biye'ké bada'áłchíní náás ahideeshchínígíí ádaat'į́: Náftalai biye' Jáhziyel ba'áłchíní Jáhziyel dine'é danilį́. Náftalai biye' Gúnai ba'áłchíní Gúnai dine'é danilį́. 
4:26:049:0	Náftalai biye' Jíízer ba'áłchíní Jíízer dine'é danilį́. Náftalai biye' Shíllem ba'áłchíní Shíllem dine'é danilį́. 
4:26:050:0	Díí éí Náftalai dine'é bada'áłchíní náás ahoolchíiłii ádaat'į́; éí dízdiindóó ba'aan ashdladi mííldóó ba'aan dį́įdi neeznádiingo ánéelą́ą́'. 
4:26:002:1	Yáá'iilt'e' bik'ehgo kéyah ahádaasdzo
4:26:051:0	Díí éí Ízrel dine'é dabi'déélta'ígíí ádaat'į́: éí hastą́ądi neeznádiindóó ba' aan t'ááłáhídi mííldóó ba'aan tsosts'idi neeznádiindóó ba'aan tádiingo ánéelą́ą́'. 
4:26:052:0	Bóhólníihii éí Mózes ííłní, 
4:26:053:0	Díí daházhi'ígíí bik'ehgo kéyah daahó dooleełígíí há ahádadíízoh. 
4:26:054:0	Dabidine'é lą'í daalt'éhígíí éí kéyah bí dadooleełii dahótsaago bitaa dadidíí'aał, áádóó dabidine'é ádaałch'į́dígíí éí kéyah bí dadooleełii ádahoołts'ísígo bitaa dadidíí'aał. Áko dabidine'é t'áá ałtso ádanéelą́'ígíí dabik'ehgo kéyah daabí dadooleełígíí bitaa dadidíí'aał. 
4:26:055:0	Nidi kéyah éí yáá'iilt'e' bik'ehgo ahádahidoodzoh; dahazhé'é yę́ę bits'ą́ą́dóó hodine'é dabízhi'ígíí bik'ehgo daahóó' dadooleeł. 
4:26:003:1	Líívai dine'é
4:26:056:0	Áko yáá'iilt'e' bik'ehgo kéyah daahóó' dadooleełii dajilą'ígíí áádóó ádajíłch'į́dígíí há ałts'ádahidíízoh.  
4:26:057:0	Áádóó díí Líívai dine'é bada'áłchíní náás ahideeshchínígíí dabi'déélta': Líívai biye' Gérshan ba'áłchíní Gérshan dine'é danilį́. Líívai biye' Kóhath ba'áłchíní Kóhath dine'é danilį́. Líívai biye' Miirárai ba'áłchíní Miirárai dine'é danilį́. 
4:26:058:0	Díí ałdó' Líívai dine'é bada'áłchíní náás ahoolchíiłii ádaat'į́: Líbnai dine'é, Hííbran dine'é, Málai dine'é, Múshai dine'é índa Kórah dine'é ádaat'į́. Áádóó Kóhath éí Ámram bá yizhchį́. 
4:26:059:0	Áko Ámram be'asdzą́ą́ éí Jákebed wolyé; éí Líívai bitsi', áko éí Ííjip kéyahdi hamá Líívai yá hashchį́, áko Éran áádóó Mózes índa bilah Míriyam éí Ámram bá nijiishchį́. 
4:26:060:0	Áádóó Néídab, Abáíhu, Eliyéízar índa Íthamar éí Éran bá niheezhchį́. 
4:26:061:0	Nidi Bóhólníihii binááł Néídab áádóó Abáíhu éí kǫ' doo dílzingóó náádziisnii'ígíí biniinaa t'áá ákǫ́ǫ́ dzineezná. 
4:26:004:1	Kéíleb áádóó Jáshowa t'éiyá ch'éé'áázh
4:26:062:0	Díí Líívai dine'é dayéélta'ígíí éí naadiin táadi mííl; éí t'áá át'é ashiiké t'ááłá'í bee nídadeezidóó yówehgoígíí; éí doo Ízrel dine'é bił dabi'déélta' da, háálá Ízrel dine'é bitahgi kéyah daahóó' dadooleełii doo ła' haa dadeest'ą́ą da. 
4:26:063:0	Díí daho'déélta'ígíí éí Mó'ab kéyah dzígai Jórdan tooh nílíní bíighahgi Jériko binaashiijí Ízrel dine'é dajílíinii Mózes áádóó náá'iiłniihii Eliyéízar hóółta'. 
4:26:064:0	Áko Mózes áádóó náá'iiłniihii Éran éí Dził Sáínai honoojíigi Ízrel dine'é yiyííłta' yę́ędą́ą́' éí díí dayéélta'ígíí bitahdóó doo ła' hoł da'éélta' da nít'éé'. 
4:26:065:0	Háálá éí Bóhólníihii hainít'į́įgo ádííniid, T'áá aaníí honoojítahgi dazhdínóonééł. Áko íídą́ą́' dinéhígíí doo ła' ch'ééyáa da; t'áá hazhó'ó Jiifáneh biye' Kéíleb áádóó Nan biye' Jáshowa t'éiyá ch'éé'áázh.
