4:7:001:1	Bikáá' náá'iiniihí dílzingo bá náádahaniihii nideet'ą́
4:7:023:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Zú'er biye' Niithániyel nááyiisnii'. 
4:7:024:0	Tágí jį́ aleeh góne' Zébyulan dine'é naat'áanii nilíinii Híílan biye' Iiláíyab náá'iisnii': 
4:7:025:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii'; 
4:7:026:0	óola łeets'aa' nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:027:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo, didlidgo nááhidoonihii ádaat'é; 
4:7:028:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
4:7:029:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Híílan biye' Iiláíyab nááyiisnii'. 
4:7:030:0	Dį́'í jį́ aleeh góne' Rúben dine'é naat'áanii nilíinii Shédiyer biye' Iiláízer náá'iisnii': 
4:7:031:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii'; 
4:7:032:0	óola łeets'aa nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:033:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo, didlidgo nááhidoonihii ádaat'é; 
4:7:034:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
4:7:035:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Shédiyer biye' Iiláízer nááyiisnii'. 
4:7:036:0	Ashdla'a jį́ aleeh góne' Símiyan dine'é naat'áanii nilíinii Zúrishádai biye' Shiilúmiyel náá'iisnii': 
4:7:037:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii'; 
4:7:038:0	óola łeets'aa' nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:039:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo didlidgo náádahidoonihii ádaat'é; 
4:7:040:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
4:7:041:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Zúrishádai biye' Shiilúmiyel nááyiisnii'. 
4:7:042:0	Hastą́ą́h jį́ aleeh góne' éí Géed dine'é naat'áanii nilíinii Dúwel biye' Iiláíyasaf náá'iisnii': 
4:7:043:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii'; 
4:7:044:0	óola łeets'aa' nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:045:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo éí didlidgo náádahidoonihii ádaat'é; 
4:7:046:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
4:7:047:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Dúwel biye; Iiláíyasaf nááyiisnii'. 
4:7:048:0	Tsosts'id jį́ aleeh góne' Íífreiyim dine'é naat'áanii nilíinii Amáíhad biye' Iilíshama náá'iisnii': 
4:7:049:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii', 
4:7:050:0	óola łeets'aa' nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:051:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo, didlidgo náádahidoonihii ádaat'é; 
4:7:052:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
4:7:053:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Amáíhad biye' Iilíshama nááyiisnii'. 
4:7:054:0	Tseebíí jį́ aleeh góne' Manáseh dine'é naat'áanii nilíinii Piidázer biye' Gaméíliyel náá'iisnii': 
4:7:055:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii', 
4:7:056:0	óola łeets'aa' nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:057:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo, didlidgo náádahidoonihii ádaat'é; 
4:7:058:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
4:7:059:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Piidázer biye' Gaméíliyel nááyiisnii'. 
4:7:060:0	Náhást'éí jį́ aleeh góne' Bénjamin dine'é naat'áanii nilíinii Gídiyónai biye' Abáídan náá'iisnii': 
4:7:061:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii', 
4:7:062:0	óola łeets'aa' nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:063:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo, didlidgo náádahidoonihii ádaat'é; 
4:7:064:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
4:7:065:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Gídiyónai biye' Abáídan nááyiisnii'. 
4:7:066:0	Neeznáá jį́ aleeh góne' Dan dine'é naat' áanii nilíinii Amishádai biye' Eihaiyíízer náá'iisnii': 
4:7:067:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii', 
4:7:068:0	óola łeets'aa' nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:069:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo, didlidgo náádahidoonihii ádaat'é; 
4:7:070:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
4:7:071:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Amishádai biye' Eihaiyíízer nááyiisnii'. 
4:7:072:0	Ła'ts'áadah jį́ aleeh góne' Ásher dine'é naat'áanii nilíinii Ákran biye' Péígiyel náá'iisnii': 
4:7:073:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii', 
4:7:074:0	óola łeets'aa' nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:075:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo, didlidgo náádahidoonihii ádaat'é; 
4:7:076:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
4:7:077:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Ákran biye' Péígiyel nááyiisnii'. 
4:7:078:0	Naakits'áadah jį́ aleeh góne' Náftalai dine'é naat'áanii nilíinii Íínan biye' Aháíra náá'iisnii': 
4:7:079:0	díí nááyiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí t'ááłá'ígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh bíighahgo áádóó béésh łigaii łeets'aa' nímazí t'ááłá'ígo éí níbaal bii' hodílzingi shékel choo'íinii tsosts'idiin dah hidiidloh bíighahgo, díí t'áá áłah bii' ak'áán hadeezbingo ak'ah bił ałtahgo éí ak'áán nááhániihii át'éego nááyiisnii'; 
4:7:080:0	óola łeets'aa' nímazí t'ááłá'ígo shékel wolyéii neeznáá dah hidiidloh bíighahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadeezbingo, 
4:7:081:0	dóola yázhí t'ááłá'ígo, deenásts'aa' t'ááłá'ígo, dibé yázhí biką'ii ła' binááhaaí t'ááłá'ígo, didlidgo náádahidoonihii ádaat'é; 
4:7:082:0	tł'ízíchǫǫh t'ááłá'ígo éí ádił oodzíí'jí nááhidoonihii át'é, 
4:7:083:0	áádóó náádahidoonihii hózhǫ́ǫ́jí nááhániihii ádaat'éego éí béégashii naakigo, deenásts'aa' ashdla'go, tł'ízíchǫǫh ashdla'go, dibé yázhí biką'ii ła' béédááhaii ashdla'go, díí éí Íínan biye' Aháíra nááyiisnii'. 
4:7:084:0	Díí kót'éego bikáá' náá'iiniihí ak'ah yik'i yayiiziidgo yilzį́į́' bijį́į́dą́ą́' Ízrel dine'é naat'áanii danilíinii náádayiisnii'ígíí éí béésh łigaii łeets'aat'ą́hí naakits'áadahgo, áádóó béésh łigaii łeets'aa' nímazí naakits'áadahgo, índa óola łeets'aa' nímazí naakits'áadahgo náádayiisnii'; 
4:7:085:0	béésh łigaii łeets'aat'ą́hí t'ááłá'í ní'ánígo éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan tádiin dah hidiidloh, índa łeets'aa' nímazí t'ááłá'í ní'ánígo éí shékel wolyéii tsosts'idiin dah hidiidloh; béésh łigaii łeets'aa' t'áá át'é ahídawóltą'go éí níbaal bii' hodílzingi shékel choo'íinii naakidi mííldóó ba'aan dį́įdi neeznádiin dah hidiidloh. 
4:7:086:0	Óola łeets'aa' nímazí naakits'áadahgo éí bii' tsin bijeeh dilidgo łikání halchinii hadadeezbingo łá'í ní'ánígo níbaal bii' hodílzingi shékel choo'íinii neeznáá dah hidiidloh; éí óola łeets'aa' nímazí t'áá át'é ahídawóltą'go éí shékel wolyéii t'ááłáhídi neeznádiindóó ba'aan naadiin dah hidiidloh. 
4:7:087:0	Didlidgo náádahidoonihii éí alį́į́' t'áá át'é éí dóola yázhí naakits'áadahgo, deenásts'aa' naakits'áadahgo, dibé yázhí biką' ii ła' béédááhaii naakits'áadahgo éí ak'áán nááhániihii bił náádahaaz'nii' áádóó tł'ízíchǫǫh naakits'áadahgo ádił oodzíí'jí náádahaaz'nii'. 
4:7:088:0	Áádóó náádahidoonihii éí hózhǫ́ǫ́jí náádahaaz'nii'ii t'áá át'égo dóola yázhí naadiin dį́į́', deenásts'aa' hastą́diin, tł'ízíchǫǫh hastą́diin, dibé yázhí biką'ii ła' béédááhaii hastą́diin. Kót'éego bikáá' náá'iiniihí ak'ah yik'i yayiiziidgo nideet'ą́ą́dą́ą́' díí náádahaaz'nii'. 
4:7:089:0	Áádóó Mózes éí Bóhólníihii bich'į' hazdoodzih biniyé níbaal bii' dahozdísinii góne' yah ajííyáago tsits'aa' dílzinii éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii bikáa'gi diyingo naal'a'í chérabim wolyéii naakigo bita'gi aa a'ááh hasingo haz'ánídóó hach'į' ha'oodzíi'go dzidiizts'ą́ą́'.
