4:3:001:1	Líívai dine'é yéélta'go ánéelą́'ígíí áádóó yindaalnishígíí
4:3:026:0	áádóó níbaal bii' hodílzinii índa bikáá' náá'iiniihí binaa haz'ánígi daníbaalígíí índa bich'é'étiingi dáádiníbaalígíí áádóó bitł'óolda índa bina'anishgi t'áá át'é yaa ádahalyą́ą doo. 
4:3:027:0	Áádóó Kóhath bits'ą́ą́dóó Ámram dine'é, Ízxar dine'é áádóó Hííbran dine' é índa Azáíyel dine'é ahidideeshchį́; díí Kóhath dine'é bada'áłchíní ádaat'į́. 
4:3:028:0	Díí éí bits'ą́ą́dóó ashiiké dayéélta'ígíí t'áá ałtso t'ááłá'í bee nídadeezidóó yówehgo béédááhaii dabi'déélta'go tseebíidi mííldóó ba'aan hastą́ądi neeznádiingo ánéelą́ą́'; éí hodiyingo haz'ą́ą́ góne' nidaalnish doo. 
4:3:029:0	Kóhath ba'áłchíní da'ahílchíihii éí níbaal bii' hodílzinii shádi'ááhjígo ninádaa'néeh doo. 
4:3:030:0	Kóhath dine'é nilíinii éí bizhé'é ba'áłchíní da'ahílchíihii yá aląąjį' sizínígíí Azáíyel biye' Iilízafan wolyé. 
4:3:031:0	Áko tsits' aa' dílzinii, bikáá' adání, bee hool'iní bá yadaa'áhí índa naakigo bikáá' náá'iiniihígíí áádóó hodiyingo haz'ą́ą́ góne' chodao'íinii nááda'iiłniihii chonídayool'įįhígíí, áádóó ata'naníbaalígíí índa t'áá át'é ákwii binda'anishii bindajil'a' doo. 
4:3:032:0	Áko náá'ii łniihii Éran biye' Eliyéízar éí Líívai dine'é aląąjį' naazíinii yinanit'a'í nilį́ áádóó hodiyingo haz'ą́ą́ góne' yaa ádahalyánígíí bee hóhólníih doo. 
4:3:033:0	Áádóó Miirárai bits'ą́ą́dóó Málai dine'é índa Múshai dine'é ahidideeshchį́; díí Miirárai dine'é bada'áłchíní ádaat'į́. 
4:3:034:0	Éí bits'ą́ą́dóó ashiiké dayéélta'ígíí t'áá ałtso t'ááłá'í bee nídadeezidóó yówehgo béédááhaii dabi'déélta'go hastą́ądi mííldóó ba'aan naakidi neeznádiingo ánéelą́ą́'. 
4:3:035:0	Áádóó Miirárai dine'é nilíinii bizhé'é éí ba'áłchíní da'ahílchíihii yá aląąjį' sizínígíí Ábiheil biye' Zúriyel wolyé; díí éí níbaal bii' hodílzinii náhookǫsjígo ninádaa'néeh doo. 
4:3:036:0	Áko Miirárai ba'áłchíní ahoolchíiłii éí níbaal bii' hodílzinii bá tsin neheeshjíí' ahééneelkálígíí áádóó tsin níyizii naaniigo bąąh daní'áhígíí áádóó bíyah danii'áii áádóó bitł'ááh naaznilgo t'ááłáhíjí biih dahasdzánígíí áádóó bił chodao'íinii índa ákwii binináda'anishígíí t'áá át'é bee hódaho'doos'níi'go bindajil'a' doo. 
4:3:037:0	Índa binaa haz'ánígíí bá ííyah danii'áii áádóó bitł'ááh naaznilgo t'ááłáhíjí biih dahasdzánígíí áádóó bá anídaalkałígíí índa dabitł'óolda bee hódaho'doos'níi'go baa ádahojilyą́ą doo. 
4:3:038:0	Nidi níbaal bii' hodílzinii bidááhdóó ha'a'aahjigo ninádaa'néhígíí t'áá níbaal bii' dahozdísinii si'ánígíí háá'át'ááh bich'ijígo éí Mózes áádóó Éran índa biye'ké ninádaa'néeh doo; éí hodiyingo haz'ą́ą́ góne' honaanish ádadzósinii Ízrel dine'é bá baa ádahojilyą́ą doo; doo náá'iiłniihii nilíinii áajį' eelwodígíí bidi'yoolyééł. 
4:3:002:1	Líívai dine'é áádóó alą́ąjį' daazhchíinii bik'é nidoolyéełii
4:3:039:0	Áko Líívai dine'é dayéélta'ígíí éí Mózes áádóó Éran hach'į' Bóhólníihii yee haadzí'ígíí bik'ehgo ha'áłchíní ahii' háá'ahiyoolchíiłii t'áá ałtso, ashiiké t'áá ałtso t'ááłá'í bee nídadeezidóó yówehgo béédááhaii dabi'déélta'go naadiin naakidi míilgo ánéelą́ą́'. 
4:3:040:0	Áádóó Bóhólníihii éí Mózes ííłní, Ízrel dine'é bitahgóó ashiiké alą́ąjį' nidahaazhchíinii t'áá ałtso t'ááłá'í bee nídadeezidóó yówehgo béédááhaii yíníłta', áádóó dabízhi' ałkéé' dadíízoh. 
4:3:041:0	Áádóó Ízrel dine'é bitahgóó alą́ąjį' nidahaazhchíinii t'áá ałtso bitsák'ehgi Líívai dine'é shá nídidíínił (jó, shí Bóhólníihii nishłį́) áádóó Ízrel dine'é dabilį́į́' bitahdóó átsé daazhchíinii bitsásk'ehgi Líívai dine'é dabilį́į́' shá nídidíínił. 
4:3:042:0	Ákót'éego Mózes éí Bóhólníihii hach'į' yee haadzí'ígi át'éego Ízrel dine'é alą́ąjį' nidahaazhchíinii t'áá ałtso jííłta'. 
4:3:043:0	Áko ashiiké alą́ąjį' nidahaazhchíinii t'áá ałtso t'ááłá'í bee nídadeezidóó yówehgo béédááhaii yéélta'go naadiin naakidi mííldóó ba'aan naakidi neeznádiindóó ba'aan tsosts'idiindóó ba'aan táa'go ánéelą́ą́'. 
4:3:044:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:3:045:0	Ízrel dine'é bitahgóó alą́ąjį' nidahaazhchíinii t'áá ałtso bitsásk'ehgi Líívai dine'é shá nídidíínił, índa dabilį́į́' bitsásk'ehgi éí Líívai dine'é dabilį́į́' shá nídidíínił; Líívai dine'é éí shíí' dooleeł; jó, shí Bóhólníihii nishłį́. 
4:3:046:0	Áádóó Ízrel dine'é alą́ąjį' nidahaazhchíinii bik'é ninádadi'yoolyeełígíí éí naakidi neeznádiindóó ba'aan tsosts'idiindóó ba'aan táá'dóó yówehjį' i'oolta'ígíí bee Líívai dine'é yilááh ánéelą́ą́'. 
4:3:047:0	Éí shékel wolyéii hodiyingo haz'ą́ą́ góne' choo'íinii bik'ehgo (éí gíírah wolyéii naadiin bíighahgo) ashdla'ígíí éí bik'eh ní'ą́ągo nídidíínił, 
4:3:048:0	áko béeso nídidííniłgo éí bee Líívai dine'é yilááh ánéelą́ą'go dabi' déélta'ígíí bik'é ni'doolyéełgo Éran áádóó dabiye'ké baa díínił. 
4:3:049:0	Kót'éego Líívai dine'é bee Ízrel dine'é náádabi'diiznii'ii ba'aan dzidínéezdee'ii béeso hak'é naalyáhígíí Mózes yaa deiznil. 
4:3:050:0	Ízrel dine'é alą́ąjį' nidahaazhchíinii bits'ą́ą́dóó béeso néidiinilígíí éí shékel t'ááłáhídi mííldóó ba'aan táadi neeznádiindóó ba'aan hastą́diindóó ba'aan ashdla'go hodiyingo haz'ą́ą́ góne' shékel choo'íinii néidiinil. 
4:3:051:0	Áko Mózes éí béeso bee náádaho'diiznii'ígíí néidiinilgo Éran áádóó biye'ké yeinínil; Bóhólníihii éí Mózes yich'į' saad yee haadzí'ígíí yi'iilaa.
